alpha,beta,lambda,j_parent_statement,u_overlap_max,u_overlap_p95,u_overlap_p50,xi_overlap_max,xi_overlap_p95
0.995,1.005,-0.08000000000000002,4.0782713681408664e-08,0.0008525370506631705,0.0008525368725618368,0.0008194441914071137,0.13320891416612032,0.13320888633778694
0.995,1.005,0.08000000000000002,4.0782713681408664e-08,0.0008525370506631705,0.0008525368725618368,0.0008194441914071137,0.13320891416612032,0.13320888633778694
1.0,1.005,-0.12000000000000001,4.138831027418509e-08,0.0019260185179423184,0.0019260181157428103,0.0018512019199936167,0.13375128596821653,0.13375125803769514
1.0,1.005,0.12,4.138831027418558e-08,0.001926018517942318,0.00192601811574281,0.001851201919993616,0.13375128596821653,0.13375125803769514
0.995,1.005,-0.03,4.191706351733684e-08,0.00011988802274950829,0.00011988799770400824,0.0001152343394166253,0.13320891416612032,0.13320888633778694
0.995,1.005,0.03,4.191706351733684e-08,0.00011988802274950829,0.00011988799770400824,0.0001152343394166253,0.13320891416612032,0.13320888633778694
1.005,1.0,-0.14500000000000002,4.289440917917402e-08,0.0028127226208655536,0.0028127220332209977,0.0027031465391923635,0.1337799106238075,0.13377988267400698
1.005,1.0,0.14500000000000002,4.289440917917402e-08,0.0028127226208655536,0.0028127220332209977,0.0027031465391923635,0.1337799106238075,0.13377988267400698
1.005,1.0,0.10499999999999998,4.3442485044350855e-08,0.0014749235146274773,0.0014749232064809267,0.0014174644753672196,0.1337799106238075,0.13377988267400698
1.005,1.0,-0.10500000000000001,4.3442485044350855e-08,0.001474923514627478,0.0014749232064809274,0.0014174644753672202,0.1337799106238075,0.13377988267400698
0.995,1.005,-0.024999999999999994,4.387469748503076e-08,8.325557135382516e-05,8.32555539611168e-05,8.002384681710087e-05,0.13320891416612032,0.13320888633778694
0.995,1.005,0.024999999999999994,4.387469748503076e-08,8.325557135382516e-05,8.32555539611168e-05,8.002384681710087e-05,0.13320891416612032,0.13320888633778694
0.995,1.005,0.01999999999999999,4.561090598085176e-08,5.3283565666448074e-05,5.328355453511472e-05,5.1215261962944525e-05,0.13320891416612032,0.13320888633778694
0.995,1.005,-0.020000000000000018,4.561090598085176e-08,5.3283565666448223e-05,5.3283554535114874e-05,5.1215261962944674e-05,0.13320891416612032,0.13320888633778694
0.995,1.005,-0.085,4.68660716515559e-08,0.0009624344048502195,0.0009624342037905108,0.0009250756692056867,0.13320891416612032,0.13320888633778694
0.995,1.005,0.08500000000000002,4.68660716515559e-08,0.0009624344048502197,0.000962434203790511,0.0009250756692056869,0.13320891416612032,0.13320888633778694
0.995,1.005,0.014999999999999986,4.704497375480874e-08,2.9972005687377016e-05,2.9971999426002e-05,2.880858485415627e-05,0.13320891416612032,0.13320888633778694
0.995,1.005,-0.015000000000000013,4.704497375480874e-08,2.9972005687377127e-05,2.9971999426002113e-05,2.880858485415638e-05,0.13320891416612032,0.13320888633778694
1.0,1.005,0.15999999999999998,4.766300946789707e-08,0.003424032920786342,0.0034240322057649945,0.0032910256355442053,0.13375128596821653,0.13375125803769514
1.0,1.005,-0.16,4.766300946789707e-08,0.0034240329207863435,0.003424032205764996,0.0032910256355442066,0.13375128596821653,0.13375125803769514
0.995,1.005,0.009999999999999981,4.811413390622957e-08,1.3320891416611983e-05,1.3320888633778644e-05,1.2803815490736097e-05,0.13320891416612032,0.13320888633778694
0.995,1.005,-0.010000000000000009,4.811413390622957e-08,1.3320891416612056e-05,1.3320888633778718e-05,1.2803815490736168e-05,0.13320891416612032,0.13320888633778694
0.995,1.005,-0.0050000000000000044,4.8773559162504143e-08,3.330222854153014e-06,3.3302221584446796e-06,3.200953872684042e-06,0.13320891416612032,0.13320888633778694
0.995,1.005,0.0050000000000000044,4.8773559162504143e-08,3.330222854153014e-06,3.3302221584446796e-06,3.200953872684042e-06,0.13320891416612032,0.13320888633778694
0.995,1.005,0.0,4.8996355650964594e-08,0.0,0.0,0.0,0.13320891416612032,0.13320888633778694
1.005,0.995,0.0,4.904895183896268e-08,0.0,0.0,0.0,0.13326596253692088,0.1332659346701531
1.0,1.0,-0.08000000000000002,4.910178192331242e-08,0.0008527405319873959,0.0008527403537588209,0.0008195441697703208,0.13324070812303054,0.1332406802748157
1.0,1.0,0.08000000000000002,4.910178192331242e-08,0.0008527405319873959,0.0008527403537588209,0.0008195441697703208,0.13324070812303054,0.1332406802748157
