D,eta,parent_blockdet_k11,parent_blockdet_k_bg,parent_blockdet_k22,parent_blockdet_c_parent,parent_blockdet_det_ratio,parent_blockdet_schur_norm,parent_blockdet_action,parent_blockdet_action_residual,parent_blockdet_coeff_share,parent_blockdet_tree_share,eymh_parented_prefactor_diag,parent_proxy_x,parent_proxy_g_schur,parent_proxy_y,parent_proxy_mix_norm_sq,parent_proxy_rank1_residual_abs,parent_proxy_lambda1,parent_proxy_lambda2,parent_proxy_lambda1_residual_abs,parent_proxy_lambda2_formula,parent_proxy_lambda2_residual_abs,parent_proxy_g,parent_proxy_active,omega1,delta_micro,tau_env,Szz_0,Sxx_delta,parent_proxy_Omega1,parent_proxy_Omega2,parent_proxy_r_on_shell,parent_proxy_q_on_shell,parent_proxy_q_single_pole,parent_proxy_delta_q_abs,parent_proxy_gap_separator,parent_proxy_eps_delta_factor
11.2,0.39,1.501890423104039,1.263616892757297,2.1820845183728226,0.678947792711294,2.5935486137705457,1.7268560834220628,0.9530270590988617,0.0,0.4267712997291666,0.5732287002708333,0.0459252722558148,0.5018904231040391,1.7268560834220628,0.7268560834220628,0.3648021072444438,0.0,1.0000000000000002,2.228746506526102,2.220446049250313e-16,2.228746506526102,0.0,1.492898692653357,True,,,,,,,,,,,,,
12.0,0.39,1.5025679899633055,1.324701506182844,2.2018187971975363,0.663936046549149,2.497455033399713,1.6621244762845666,0.9152722267337264,0.0,0.4448683416080256,0.5551316583919745,0.0457444417491334,0.5025679899633055,1.6621244762845666,0.6621244762845666,0.3327625671518411,1.1102230246251565e-16,0.9999999999999999,2.164692466247872,1.1102230246251565e-16,2.164692466247872,0.0,1.4712893890217085,True,1.8379915777816809,0.3581076515471522,0.5440721340012481,1.0881442680024962,1.048347709446824,1.8379915777816809,2.7042175055014552,0.19483639417943444,0.9634271302749896,0.9634271302749895,1.1102230246251565e-16,0.019338557892292774,0.47123214454599005
12.8,0.39,1.5279656298691038,1.114287005200122,1.905947160197134,0.6465054929196424,2.6135293147431247,1.7104634185829286,0.9607015357687806,-1.1102230246251563e-16,0.4412787751098329,0.5587212248901673,0.0392926809931249,0.5279656298691038,1.7104634185829286,0.7104634185829286,0.3751002662910926,0.0,1.0,2.2384290484520326,0.0,2.2384290484520326,0.0,1.4961380445841328,True,,,,,,,,,,,,,
13.6,0.39,1.5316503535312396,1.115277557945059,1.7973070669781106,0.6021637896753339,2.4683057458929256,1.6115334287634346,0.903531982443452,2.220446049250313e-16,0.471865772091167,0.5281342279088331,0.0396210022414701,0.5316503535312396,1.6115334287634346,0.6115334287634346,0.325121963598251,1.1102230246251565e-16,1.0,2.143183782294674,0.0,2.143183782294674,0.0,1.4639616737792946,True,,,,,,,,,,,,,
14.4,0.39,1.528823053425428,1.195999582362392,1.8918910426641384,0.6066328765319676,2.4183676008321613,1.5818492502540766,0.8830927674500044,0.0,0.4806949042073143,0.5193050957926857,0.0396846783076986,0.5288230534254279,1.5818492502540766,0.5818492502540766,0.3076952971526567,5.551115123125783e-17,1.0,2.1106723036795048,0.0,2.1106723036795048,0.0,1.4528153026725403,True,,,,,,,,,,,,,
15.2,0.39,1.5262903497000526,1.2635129579283289,2.08230518448267,0.6564468350483296,2.515369777779965,1.648028357300619,0.9224198216823634,1.1102230246251563e-16,0.4584031839992695,0.5415968160007306,0.0417242863639605,0.5262903497000526,1.648028357300619,0.6480283573006189,0.34105107077929336,0.0,1.0000000000000002,2.1743187070006718,2.220446049250313e-16,2.1743187070006718,0.0,1.4745571223254363,True,,,,,,,,,,,,,
16.0,0.39,1.522347926953087,1.3217878591111365,2.108845750133697,0.6411848857916905,2.4288292057234955,1.5954494782179598,0.8874093329012805,-2.220446049250313e-16,0.4735738246797253,0.5264261753202745,0.0435038855570558,0.5223479269530871,1.5954494782179598,0.5954494782179598,0.3110318005524487,5.551115123125783e-17,1.0,2.117797405171047,0.0,2.117797405171047,0.0,1.4552654071237476,True,1.8640207880637063,0.3135959776662465,0.5364747037176406,1.0729494074352812,1.0434170977946018,1.8640207880637063,2.7126449710286584,0.16823630920554344,0.9724755804551196,0.9724755804551197,1.1102230246251565e-16,0.014336103818119561,0.4791496403859238
16.8,0.39,1.5202307488638929,1.3729068193667715,2.143821891994659,0.6332880273174822,2.373871201106751,1.5615203171497525,0.864522040758959,-2.220446049250313e-16,0.4845013915802736,0.5154986084197263,0.0431099782091254,0.5202307488638929,1.5615203171497525,0.5615203171497525,0.29212013509310625,1.1102230246251565e-16,1.0,2.0817510660136453,0.0,2.0817510660136453,0.0,1.4428274553853089,True,,,,,,,,,,,,,
17.6,0.39,1.53334510636259,1.2679119024066776,1.946628624197221,0.6016562491767586,2.3541489508478253,1.5353027450111023,0.8561792824725557,0.0,0.4992548892628967,0.5007451107371033,0.0407600933091185,0.53334510636259,1.5353027450111023,0.5353027450111023,0.2855010994741328,5.551115123125783e-17,0.9999999999999999,2.0686478513736923,1.1102230246251565e-16,2.0686478513736923,0.0,1.438279476101113,True,,,,,,,,,,,,,
18.4,0.39,1.0,1.20297833384972,1.20297833384972,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0586804347402074,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,False,,,,,,,,,,,,,
