edge,edge_label,point_id,direction,rho_q,z_rel_q,rho_out,z_rel_out,coefficient,phi_exact,phi_barrier,phi_floor,barrier_minus_floor,component_exact,component_barrier,component_certified,component_barrier_minus_certified
outer_rho,out,31,rho_plus,0.69,-0.27500000000000213,0.75,-0.27500000000000213,200.0,0.017461380626034504,0.01746137189534419,0.01746,1.3718953441911597e-06,3.492276125206901,3.492274379068838,3.492,0.0002743790688382042
outer_rho,out,32,rho_plus,0.69,-0.245000000000001,0.75,-0.245000000000001,200.0,0.015306994233015552,0.015306986579518437,0.015300000000000001,6.986579518435468e-06,3.0613988466031103,3.061397315903687,3.06,0.0013973159036870797
outer_rho,out,33,rho_plus,0.69,-0.21499999999999986,0.75,-0.21499999999999986,200.0,0.013149469513557796,0.013149462938823039,0.01314,9.46293882303842e-06,2.6298939027115593,2.629892587764608,2.628,0.0018925877646078781
bottom,bot,1,z_minus,0.09,-1.205,0.09,-1.2350000000000012,100.0,0.07072294261499017,0.07072290725351886,0.07072,2.907253518855124e-06,7.0722942614990165,7.072290725351886,7.072000000000001,0.0002907253518849018
bottom,bot,2,z_minus,0.15,-1.205,0.15,-1.2350000000000012,166.66666666666666,0.07056725486742721,0.07056721958379977,0.07056000000000001,7.219583799761287e-06,11.7612091445712,11.761203263966628,11.760000000000002,0.001203263966626622
bottom,bot,3,z_minus,0.21,-1.205,0.21,-1.2350000000000012,233.33333333333334,0.07033395492345754,0.07033391975648008,0.07033,3.919756480078029e-06,16.41125614880676,16.411247943178687,16.410333333333334,0.0009146098453527429
bottom,bot,4,z_minus,0.27,-1.205,0.27,-1.2350000000000012,300.0,0.07002332431251419,0.07002328930085204,0.07002,3.289300852041266e-06,21.006997293754257,21.006986790255613,21.006,0.0009867902556131014
bottom,bot,5,z_minus,0.32999999999999996,-1.205,0.32999999999999996,-1.2350000000000012,366.66666666666663,0.06963574394096053,0.06963570912308856,0.06963000000000001,5.7091230885458755e-06,25.533106111685527,25.533093345132468,25.531000000000002,0.002093345132465174
bottom,bot,6,z_minus,0.39,-1.205,0.39,-1.2350000000000012,433.33333333333337,0.06917169822529166,0.06917166363944255,0.06917000000000001,1.663639442539555e-06,29.974402564293058,29.974387577091775,29.973666666666674,0.0007209104251018061
bottom,bot,7,z_minus,0.44999999999999996,-1.205,0.44999999999999996,-1.2350000000000012,499.99999999999994,0.06863177958675033,0.06863174527086054,0.06863000000000001,1.7452708605258938e-06,34.31588979337516,34.31587263543027,34.315000000000005,0.0008726354302623918
bottom,bot,8,z_minus,0.51,-1.205,0.51,-1.2350000000000012,566.6666666666667,0.06801669298086335,0.06801665897251687,0.06801,6.6589725168653136e-06,38.5427926891559,38.54277341775956,38.53900000000001,0.0037734177595538654
bottom,bot,9,z_minus,0.57,-1.205,0.57,-1.2350000000000012,633.3333333333333,0.06732726016198902,0.06732722649835894,0.06732,7.226498358936517e-06,42.64059810259304,42.64057678229399,42.635999999999996,0.004576782293995052
bottom,bot,10,z_minus,0.63,-1.205,0.63,-1.2350000000000012,700.0,0.06656442343138172,0.06656439014917001,0.06656000000000001,4.3901491700026885e-06,46.595096401967204,46.59507310441901,46.592000000000006,0.003073104419001993
corner_rb,rb,1,rho_plus,0.69,-1.205,0.75,-1.205,200.0,0.0644640583347702,0.06446402610274103,0.06446,4.026102741028215e-06,12.89281166695404,12.892805220548206,12.892000000000001,0.0008052205482051988
corner_rb,rb,1,z_minus,0.69,-1.205,0.69,-1.2350000000000012,766.6666666666666,0.06572924867792715,0.06572921581330281,0.06572,9.215813302806963e-06,50.39242398641081,50.39239879019882,50.38533333333333,0.007065456865490205
corner_lb,lb,1,z_minus,0.03,-1.205,0.03,-1.2350000000000012,33.333333333333336,0.07080083256491293,0.07080079716449665,0.0708,7.971644966492386e-07,2.3600277521637647,2.3600265721498888,2.3600000000000003,2.657214988843748e-05
