q_ss,q_bb,q_sb,p95_block11_rel_residual_identifiable,p95_block22_rel_residual,p95_trace_rel_residual,p95_det_rel_residual_identifiable,p95_anisotropy_abs_residual_identifiable,max_block11_rel_residual_identifiable,max_block22_rel_residual,max_trace_rel_residual,max_det_rel_residual_identifiable,max_anisotropy_abs_residual_identifiable,objective
-0.0625,0.0625,0.125,1.0,0.3978430653243955,0.39985567768432984,1.0,164.45397020395745,1.0,0.41996999901975895,0.4286694085482361,1.0,165.041515443811,167.2516689469662
-0.0625,0.0,0.125,1.0,0.3979251663428299,0.39993772165639585,1.0,164.45384198924668,1.0,0.41997380437294496,0.4286731568279506,1.0,165.04141331063394,167.2517048772459
-0.0625,-0.0625,0.125,1.0,0.39800725374694407,0.4000197520218516,1.0,164.4537137745359,1.0,0.4199776097011656,0.4286769050830741,1.0,165.04131117745686,167.25174078030471
-0.0625,-0.125,0.125,1.0,0.3980893275390149,0.40010176878297227,1.0,164.45358555982514,1.0,0.419981415004421,0.4286806533136067,1.0,165.04120904427978,167.25177665614714
-0.125,-0.125,-0.125,1.0,0.6204037464638109,0.6215991520499979,1.0,328.5358960651038,1.0,0.6597498786591767,0.6648530201219554,1.0,329.5876193048388,331.77789896361764
-0.125,-0.0625,-0.125,1.0,0.6203511651843145,0.6215466067141083,1.0,328.5360242798146,1.0,0.6597476463946805,0.6648508213374225,1.0,329.58772143801593,331.77792205171306
-0.125,0.0,-0.125,1.0,0.6202985751775334,0.6214940526558723,1.0,328.53615249452537,1.0,0.6597454141155394,0.664848622538464,1.0,329.587823571193,331.7779451223588
-0.125,0.0625,-0.125,1.0,0.6202459764420076,0.6214414898738305,1.0,328.53628070923617,1.0,0.659743181821753,0.66484642372508,1.0,329.58792570437004,331.777968175552
-0.125,0.125,-0.125,1.0,0.6201933689762767,0.6213889183665238,1.0,328.5364089239469,1.0,0.6597409495133213,0.6648442248972704,1.0,329.5880278375471,331.7779912112897
-0.125,-0.125,-0.0625,1.0,0.6233123742365514,0.6245042990720312,1.0,328.5978179790986,1.0,0.6603902420943704,0.6654837792543367,1.0,329.67011981318467,331.84563465240717
-0.125,-0.0625,-0.0625,1.0,0.6232602591014585,0.6244522196069076,1.0,328.5979461938093,1.0,0.6603880140310795,0.6654815846079982,1.0,329.6702219463618,331.8456586725177
-0.125,0.0,-0.0625,1.0,0.6232081353169512,0.6244001314972639,1.0,328.59807440852006,1.0,0.660385785953171,0.6654793899472615,1.0,329.67032407953883,331.8456826753343
-0.125,0.0625,-0.0625,1.0,0.6231560028815828,0.6243480347416546,1.0,328.59820262323086,1.0,0.660383557860645,0.6654771952721263,1.0,329.6704262127159,331.8457066608541
-0.125,0.125,-0.0625,1.0,0.623103861793906,0.624295929338633,1.0,328.5983308379416,1.0,0.6603813297535011,0.6654750005825928,1.0,329.67052834589293,331.8457306290741
-0.125,-0.125,0.0,1.0,0.6261959444730409,0.6273844060949892,1.0,328.6597398930933,1.0,0.6610294003416641,0.6661133512744742,1.0,329.75262032153057,331.9133202436613
-0.125,-0.0625,0.0,1.0,0.6261442913279228,0.6273327883485563,1.0,328.659868107804,1.0,0.6610271764716715,0.6661111607585422,1.0,329.7527224547077,331.9133451874805
-0.125,0.0,0.0,1.0,0.6260926296105661,0.6272811620347358,1.0,328.65999632251476,1.0,0.6610249525870888,0.666108970228239,1.0,329.75282458788473,331.91337011416005
-0.125,0.0625,0.0,1.0,0.6260409593195365,0.6272295271520946,1.0,328.66012453722556,1.0,0.6610227286879161,0.6661067796835645,1.0,329.7529267210618,331.9133950236972
-0.125,0.125,0.0,1.0,0.6259892804534001,0.627177883699199,1.0,328.6602527519363,1.0,0.6610205047741531,0.6661045891245185,1.0,329.75302885423883,331.9134199160889
-0.125,-0.125,0.0625,1.0,0.6290546791145691,0.6302396949291035,1.0,328.72166180708797,1.0,0.6616673556692667,0.6667417384165584,1.0,329.8351208298765,331.98095618113166
-0.125,-0.0625,0.0625,1.0,0.6290034838420646,0.6301885347863327,1.0,328.7217900217987,1.0,0.6616651359846806,0.6667395520232591,1.0,329.8352229630536,331.9809820404271
-0.125,0.0,0.0625,1.0,0.6289522800738082,0.6301373661526182,1.0,328.7219182365095,1.0,0.6616629162855316,0.6667373656156157,1.0,329.83532509623063,331.9810078827359
-0.125,0.0625,0.0625,1.0,0.628901067808379,0.6300861890265397,1.0,328.72204645122025,1.0,0.6616606965718201,0.666735179193628,1.0,329.8354272294077,331.9810337080552
-0.125,0.125,0.0625,1.0,0.6288498470443548,0.6300350034066762,1.0,328.722174665931,1.0,0.6616584768435458,0.666732992757296,1.0,329.83552936258474,331.981059516382
-0.125,-0.125,0.125,1.0,0.6318887981247913,0.6330703854080929,1.0,328.78358372108266,1.0,0.6623041103411182,0.6673689429105738,1.0,329.9176213382224,332.04854290461554
-0.125,-0.0625,0.125,1.0,0.6318380566442755,0.6330196787906714,1.0,328.78371193579346,1.0,0.6623018948340613,0.6673667606321484,1.0,329.9177234713994,332.0485696712284
-0.125,0.0,0.125,1.0,0.6317873067438122,0.6329689637580678,1.0,328.7838401505042,1.0,0.6622996793124691,0.6673645783394059,1.0,329.9178256045765,332.0485964210061
-0.125,0.0625,0.125,1.0,0.6317365484219927,0.6329182403088744,1.0,328.78396836521495,1.0,0.6622974637763419,0.667362396032346,1.0,329.91792773775353,332.0486231539458
-0.125,0.125,0.125,1.0,0.6316857816774081,0.632867508441683,1.0,328.78409657992574,1.0,0.662295248225679,0.6673602137109689,1.0,329.9180298709306,332.0486498700448
0.0625,-0.125,0.125,3.4887991193860417e+71,0.6120977366445006,1.7553239134210795e+68,5.32838022355382e+71,164.20641076268987,5.108986090086333e+71,0.7110952249209492,3.9224215371582724e+68,7.644053263768796e+71,164.7116155436053,8.818934666853283e+71
0.0625,-0.0625,0.125,3.4889341181702207e+71,0.6123124861008182,1.755380018066303e+68,5.329421902917302e+71,164.2062825479791,5.109239094175517e+71,0.7111064508305973,3.9226157809222805e+68,7.645591199435047e+71,164.7115134104282,8.820111401105589e+71
0.0625,0.0,0.125,3.489069122968435e+71,0.6125272711327961,1.7554361249421022e+68,5.330463786240512e+71,164.20615433326833,5.109492110793958e+71,0.7111176768138951,3.92281003430562e+68,7.647129444524546e+71,164.71141127725113,8.82128834533389e+71
0.0625,0.0625,0.125,3.4892041337809077e+71,0.6127420917463842,1.7554922340485563e+68,5.331505873563346e+71,164.20602611855756,5.109745139942136e+71,0.7111289028708425,3.923004297308658e+68,7.64866799909933e+71,164.71130914407408,8.822465499578302e+71
0.0625,0.125,0.125,3.4893391506078575e+71,0.612956947947534,1.7555483453857433e+68,5.332548164925705e+71,164.2058979038468,5.109998181620522e+71,0.7111401290014405,3.9231985699317574e+68,7.650206863221442e+71,164.711207010897,8.823642863878948e+71
