family,peak,center_D,sigma_D,D,eta,target_mu,cur_mu,mu_new,delta_mu,delta_log_mu,beta
pointamp3,0.25,6.1,0.03,6.169491525423729,0.39,75.88706648740947,101.71989748142053,101.27779074422274,25.39072425681327,0.28862087693992294,0.017092556585619437
pointamp3,0.25,6.1,0.03,6.169491525423729,0.5800000000000001,75.88758738947406,101.72345980128593,101.28133758112331,25.393750191649247,0.2886490330512919,0.017092556585619437
pointamp3,0.25,6.1,0.03,6.169491525423729,0.77,75.88810828669189,101.72702174102969,101.28488403955419,25.396775752862297,0.28867718431058403,0.017092556585619437
pointamp3,0.25,6.1,0.03,6.169491525423729,0.96,75.88862917944196,101.73058387038783,101.28843068677524,25.39980150733328,0.28870533631372175,0.017092556585619437
pointamp3,0.25,6.1,0.03,6.169491525423729,1.15,75.88915006749265,101.73414526849294,101.29197660592155,25.402826538428897,0.2887334800119425,0.017092556585619437
pointamp3,0.25,6.1,0.03,6.169491525423729,1.34,75.88967095098558,101.7377066662023,101.29552252467388,25.40585157368831,0.28876162258795973,0.017092556585619437
pointamp3,0.25,6.1,0.03,6.169491525423729,1.53,75.89019182979195,101.74126832919283,101.29906870755437,25.408876877762424,0.2887897666548533,0.017092556585619437
pointamp3,0.25,6.1,0.03,6.169491525423729,1.72,75.89071270405636,101.74483025760105,101.30261515469901,25.411902450642657,0.2888179122118708,0.017092556585619437
pointamp3,0.25,6.1,0.03,6.169491525423729,1.91,75.89123357370536,101.74839245138315,101.30616186606413,25.414928292358766,0.2888460592593586,0.017092556585619437
pointamp3,0.25,6.1,0.03,6.169491525423729,2.1,75.89175443865321,101.75195348690409,101.30970742420223,25.41795298554902,0.288874193807026,0.017092556585619437
pointamp3,0.25,6.1,0.03,6.169491525423729,2.29,75.89227529904913,101.7555135063635,101.31325197069492,25.42097667164579,0.2889023172516494,0.017092556585619437
pointamp3,0.25,6.1,0.03,6.169491525423729,2.4800000000000004,75.89279615477493,101.7590737908761,101.3167967810888,25.42400062631387,0.2889304421856039,0.017092556585619437
pointamp3,0.25,6.1,0.03,6.169491525423729,2.6700000000000004,75.89331700591597,101.76263434051147,101.32034185545314,25.427024849537162,0.28895856860825814,0.017092556585619437
pointamp3,0.25,6.1,0.03,6.169491525423729,2.8600000000000003,75.89383785243245,101.76619515528736,101.32388719380565,25.43004934137319,0.2889866965201222,0.017092556585619437
pointamp3,0.25,6.1,0.03,6.169491525423729,3.0500000000000003,75.89435869431634,101.76975623522823,101.32743279617063,25.433074101854288,0.28901482592135186,0.017092556585619437
pointamp3,0.25,6.1,0.03,6.169491525423729,3.24,75.8948795315887,101.7733175803839,101.33097866259766,25.43609913100896,0.2890429568119692,0.017092556585619437
pointamp3,0.25,6.1,0.03,6.169491525423729,3.43,75.8954003642338,101.77687919076558,101.33452479309817,25.439124428864375,0.2890710891921042,0.017092556585619437
pointamp3,0.25,6.1,0.03,6.169491525423729,3.62,75.89592119224632,101.78044106642113,101.33807118771921,25.44214999547289,0.2890992230621016,0.017092556585619437
pointamp3,0.25,6.1,0.03,6.169491525423729,3.81,75.89644201566317,101.78400320737107,101.34161784648182,25.445175830818656,0.28912735842149323,0.017092556585619437
pointamp3,0.25,6.1,0.03,6.169491525423729,4.0,75.8969628344524,101.7875656136448,101.34516476941494,25.44820193496254,0.2891554952707952,0.017092556585619437
pointamp3,0.25,6.1,0.03,6.4406779661016955,0.2,47.19141164055394,78.47601793108856,78.47601793108856,31.284606290534626,0.5085811547824803,2.4845094402576354e-29
pointamp3,0.25,6.1,0.03,6.4406779661016955,0.39,47.19153369844375,78.47622944196618,78.47622944196618,31.284695743522434,0.5085812635688183,2.4845094402576354e-29
pointamp3,0.25,6.1,0.03,6.4406779661016955,0.5800000000000001,47.19165575586128,78.47644095403476,78.47644095403476,31.28478519817348,0.5085813723797655,2.4845094402576354e-29
pointamp3,0.25,6.1,0.03,6.4406779661016955,0.77,47.1917778127194,78.47665246303025,78.47665246303025,31.284874650310847,0.5085814811628327,2.4845094402576354e-29
pointamp3,0.25,6.1,0.03,6.4406779661016955,0.96,47.19189986898862,78.47686397247853,78.47686397247853,31.284964103489905,0.5085815899635738,2.4845094402576354e-29
pointamp3,0.25,6.1,0.03,6.4406779661016955,1.15,47.19202192458663,78.47707547646753,78.47707547646753,31.2850535518809,0.5085816987083982,2.4845094402576354e-29
pointamp3,0.25,6.1,0.03,6.4406779661016955,1.34,47.192143979461505,78.47728697966835,78.47728697966835,31.285143000206844,0.5085818074579279,2.4845094402576354e-29
pointamp3,0.25,6.1,0.03,6.4406779661016955,1.53,47.19226603384187,78.47749848386297,78.47749848386297,31.285232450021105,0.5085819162300255,2.4845094402576354e-29
pointamp3,0.25,6.1,0.03,6.4406779661016955,1.72,47.192388087536685,78.4777099890408,78.4777099890408,31.28532190150412,0.5085820250286037,2.4845094402576354e-29
pointamp3,0.25,6.1,0.03,6.4406779661016955,1.91,47.19251014056074,78.47792149517807,78.47792149517807,31.285411354617324,0.5085821338530461,2.4845094402576354e-29
pointamp3,0.25,6.1,0.03,6.4406779661016955,2.1,47.192632192973605,78.47813299305346,78.47813299305346,31.28550080007986,0.5085822425845888,2.4845094402576354e-29
