D,level,dr,dz,mode_n,lambda_n,window_E_lo,window_E_hi,Nps_lambda_n,g_raw_n,g_hat_to_g3,grid_index
4.5423728813559325,fine,0.06,0.03,14,4.264319663792388,0.7311353826524483,4.264319663792388,157.01891164490348,106.45358281247414,12.024058975227582,2
4.5423728813559325,fine,0.06,0.03,15,4.279099992453155,0.7311353826524483,4.279099992453155,157.56862901861905,106.89554555827755,12.073979193786643,2
4.5423728813559325,fine,0.06,0.03,16,4.6605891183970005,0.7311353826524483,4.6605891183970005,171.75716333528558,118.30286845792524,13.362449902531596,2
4.5423728813559325,fine,0.06,0.03,17,5.034396032974005,0.7311353826524483,5.034396032974005,185.6599770056908,129.48047716735036,14.62497411987899,2
4.5423728813559325,fine,0.06,0.03,18,5.12979982202146,0.7311353826524483,5.12979982202146,189.20828242983825,132.3332500342613,14.947198213126201,2
4.5423728813559325,fine,0.06,0.03,19,5.668266595833021,0.7311353826524483,5.668266595833021,209.2352079148247,148.43453298538847,16.76585730064818,2
4.5423728813559325,fine,0.06,0.03,20,5.861374156194071,0.7311353826524483,5.861374156194071,216.41736085355308,154.20885300028178,17.418073624106466,2
4.5423728813559325,fine,0.06,0.03,21,6.280160841824646,0.7311353826524483,6.280160841824646,231.99308465886824,166.73145095701724,18.83251597895042,2
4.5423728813559325,fine,0.06,0.03,22,6.7604038312766335,0.7311353826524483,6.7604038312766335,249.85452204406127,181.0917209579433,20.454525580031625,2
4.5423728813559325,fine,0.06,0.03,23,6.963411067548109,0.7311353826524483,6.963411067548109,257.40486867908817,187.16206199160803,21.140177830149934,2
4.5423728813559325,fine,0.06,0.03,24,7.7194590447116145,0.7311353826524483,7.7194590447116145,285.52418306974175,209.76947807926615,23.69371240487969,2
4.5423728813559325,fine,0.06,0.03,25,7.7315091773720654,0.7311353826524483,7.7315091773720654,285.97235762871566,210.1298022533859,23.73441144952761,2
4.5423728813559325,fine,0.06,0.03,26,8.234622858986274,0.7311353826524483,8.234622858986274,304.68441323215205,225.17395379297287,25.433666284969917,2
4.5423728813559325,fine,0.06,0.03,27,8.330532661793804,0.7311353826524483,8.330532661793804,308.2515385730712,228.04185752983614,25.757599428000578,2
4.5423728813559325,fine,0.06,0.03,28,8.505470046829567,0.7311353826524483,8.505470046829567,314.7578972660137,233.27285129246476,26.348446404111222,2
4.5423728813559325,fine,0.06,0.03,29,8.545663079218368,0.7311353826524483,8.545663079218368,316.25277662313425,234.47470704035985,26.48419744236292,2
4.5423728813559325,fine,0.06,0.03,30,8.764747676834013,0.7311353826524483,8.764747676834013,324.4010805199541,241.0257948103135,27.22415060896113,2
4.5423728813559325,fine,0.06,0.03,31,8.773357072880511,0.7311353826524483,8.773357072880511,324.72128548241346,241.2832337620277,27.25322864519205,2
4.5423728813559325,fine,0.06,0.03,32,9.084548032552792,0.7311353826524483,9.084548032552792,336.29525525002475,250.58849443400678,28.304268921561512,2
4.5423728813559325,fine,0.06,0.03,33,9.444943581335307,0.7311353826524483,9.444943581335307,349.6992666981185,261.36507525105225,29.52149656080145,2
4.5423728813559325,fine,0.06,0.03,34,9.480776693509952,0.7311353826524483,9.480776693509952,351.031989722674,262.4365602640632,29.642522069263773,2
4.5423728813559325,fine,0.06,0.03,35,9.88807960075623,0.7311353826524483,9.88807960075623,366.1806031004312,274.6157692242878,31.018178227942176,2
4.5423728813559325,fine,0.06,0.03,36,9.948964589009984,0.7311353826524483,9.948964589009984,368.44506802605895,276.43635773787514,31.223815869049645,2
4.5423728813559325,fine,0.06,0.03,37,10.416494799854457,0.7311353826524483,10.416494799854457,385.833685392892,290.4164890646808,32.80288835410686,2
4.5423728813559325,fine,0.06,0.03,38,10.488966846042436,0.7311353826524483,10.488966846042436,388.52910197073834,292.58355484937147,33.04766101567355,2
4.5423728813559325,fine,0.06,0.03,39,11.07400469354263,0.7311353826524483,11.07400469354263,410.28812211388936,310.07741032543004,35.023612828575686,2
4.5423728813559325,fine,0.06,0.03,40,11.099986255029902,0.7311353826524483,11.099986255029902,411.2544413395047,310.85431336451165,35.11136495220694,2
4.813559322033898,fine,0.06,0.03,1,0.7288487443206848,0.7288487443206848,0.7288487443206848,25.95993974703041,1.0,0.11391497036815273,3
4.813559322033898,fine,0.06,0.03,2,0.8216055771147635,0.7288487443206848,0.8216055771147635,29.466148026646582,4.516996138341272,0.5145534812522063,3
4.813559322033898,fine,0.06,0.03,3,0.9889634890746808,0.7288487443206848,0.9889634890746808,35.79227709873146,8.778477462340371,1.0,3
4.813559322033898,fine,0.06,0.03,4,1.241908363822601,0.7288487443206848,1.241908363822601,45.35359336420285,16.526925153878384,1.8826641891807343,3
4.813559322033898,fine,0.06,0.03,5,1.5509336805372491,0.7288487443206848,1.5509336805372491,57.034750336016536,25.99328221808335,2.9610239736439965,3
4.813559322033898,fine,0.06,0.03,6,1.9338278792430907,0.7288487443206848,1.9338278792430907,71.50815104709736,37.722461048143714,4.297153032513087,3
4.813559322033898,fine,0.06,0.03,7,2.3885820441034364,0.7288487443206848,2.3885820441034364,88.69785847881842,51.65292262575436,5.884041150341294,3
4.813559322033898,fine,0.06,0.03,8,2.9096854600773363,0.7288487443206848,2.9096854600773363,108.3955676026318,67.61585749280579,7.702458402710209,3
4.813559322033898,fine,0.06,0.03,9,3.413033949159018,0.7288487443206848,3.413033949159018,127.4221404899194,83.03490657277203,9.458918921759658,3
