alpha_center,taper,taper_center_D,taper_sigma_D,D,slice_max_abs_delta_mu,slice_p95_abs_delta_mu,slice_acceptance_mismatch
0.85,0.02,5.9,0.4,6.4406779661016955,0.34198759712379,0.34197908724577103,0.0
0.85,0.02,5.9,0.4,6.711864406779661,20.70244009727755,20.70241480656152,0.0
0.85,0.02,5.9,0.4,7.254237288135593,0.137645584327037,0.13764557611792458,0.0
0.85,0.02,6.0,0.4,4.813559322033898,1.2371129091003805,1.2344480413944765,0.0
0.85,0.02,6.0,0.4,5.627118644067797,6.995202480746052,6.9949704503617225,0.0
0.85,0.02,6.0,0.4,5.898305084745763,40.06178028081711,40.06152980311338,0.0
0.85,0.02,6.0,0.4,6.169491525423728,30.223332910923126,30.22283211411286,0.0
0.85,0.02,6.0,0.4,6.4406779661016955,0.5328450913621907,0.5328367709987276,0.0
0.85,0.02,6.0,0.4,6.711864406779661,20.701193448111486,20.701168122162176,0.0
0.85,0.02,6.0,0.4,7.254237288135593,0.13755316216157887,0.1375531539715385,0.0
