D,eta,winner_baseline,winner_direct,winner_mismatch,R3_baseline,R3_direct,delta_R3,abs_delta_R3,mu_mumu_baseline,mu_mumu_direct,delta_mu_mumu,abs_delta_mu_mumu,chi2_mumu_baseline,chi2_mumu_direct,delta_chi2_mumu,abs_delta_chi2_mumu,underflow_fallback_baseline,underflow_fallback_direct
4.8,0.39,2,2,0,0.9288667001716504,0.9288649144381141,-1.7857335362636562e-06,1.7857335362636562e-06,8.726406918355806,8.726079488195444,-0.00032743016036285155,0.00032743016036285155,335.47648958332377,335.44650417098745,-0.02998541233631613,0.02998541233631613,0,0
5.6,0.39,2,2,0,0.9424146189087503,0.9424146026820547,-1.62266956538204e-08,1.62266956538204e-08,41.12337106463555,41.123354709243486,-1.6355392062905594e-05,1.6355392062905594e-05,9862.163804617028,9862.155683477353,-0.008121139675495215,0.008121139675495215,0,0
6.4,0.39,2,2,0,0.9477073938559228,0.9477073886766867,-5.17923615106497e-09,5.17923615106497e-09,48.7428502605852,48.74284485490042,-5.405684781578657e-06,5.405684781578657e-06,14008.4091924762,14008.40599346982,-0.003199006379873026,0.003199006379873026,0,0
7.2,0.39,2,2,0,0.949726714458277,0.9497267136448824,-8.133946849397944e-10,8.133946849397944e-10,3.2422939008214082,3.2422938559783794,-4.4843028845775734e-08,4.4843028845775734e-08,21.212792606273506,21.212791573598036,-1.0326754704692576e-06,1.0326754704692576e-06,0,0
8.0,0.39,2,2,0,0.9510038706266652,0.9510038705479307,-7.873457441576193e-11,7.873457441576193e-11,2.327625152658277,2.327625141115859,-1.1542418132393095e-08,1.1542418132393095e-08,5.378052649026824,5.378052515188856,-1.3383796737542752e-07,1.3383796737542752e-07,0,0
8.8,0.39,2,2,0,0.9494613287410079,0.949461328736382,-4.625855254403177e-12,4.625855254403177e-12,1.8805599699044349,1.8805599615972197,-8.307215138003698e-09,8.307215138003698e-09,1.4433617792159463,1.4433617293145082,-4.990143809280312e-08,4.990143809280312e-08,0,0
9.600000000000001,0.39,2,2,0,0.9496919994557257,0.9496919994550581,-6.675771047071066e-13,6.675771047071066e-13,1.288242157152403,1.2882421667127095,9.560306546418929e-09,9.560306546418929e-09,0.07806134648717608,0.0780613331316862,-1.3355489880684246e-08,1.3355489880684246e-08,0,0
10.4,0.39,2,2,0,0.9517678920453546,0.9517678920452869,-6.772360450213455e-14,6.772360450213455e-14,0.6582282686306082,0.6582282107743779,-5.785623036214105e-08,5.785623036214105e-08,3.438908134117156,3.4389086705686283,5.364514721328817e-07,5.364514721328817e-07,0,0
11.2,0.39,2,2,0,0.9535398475418488,0.9535398475418431,-5.773159728050814e-15,5.773159728050814e-15,0.20361265903151873,0.2036124905056572,-1.6852586154358917e-07,1.6852586154358917e-07,8.945891685185202,8.945894205462976,2.5202777731436754e-06,2.5202777731436754e-06,0,0
12.0,0.39,2,2,0,0.9517582097067504,0.9517582097067494,-9.992007221626409e-16,9.992007221626409e-16,0.05080591652958526,0.05080603424344771,1.177138624561258e-07,1.177138624561258e-07,11.377029217947324,11.377027232711827,-1.985235497770077e-06,1.985235497770077e-06,0,0
12.8,0.39,2,2,0,0.9457968345112642,0.945796834511264,-2.220446049250313e-16,2.220446049250313e-16,0.0031618396376247764,0.0031618580878816074,1.8450256831017975e-08,1.8450256831017975e-08,12.194730289028403,12.19472996687812,-3.221502833383738e-07,3.221502833383738e-07,0,0
13.600000000000001,0.39,2,2,0,0.9421222814089721,0.942122281408972,-1.1102230246251565e-16,1.1102230246251565e-16,0.00023891579434947785,0.0002389103629947939,-5.4313546839570865e-09,5.4313546839570865e-09,12.245819330353612,12.2458194253861,9.503248854514368e-08,9.503248854514368e-08,0,0
