D,level,rho_max,z_max,dr,dz,Nr,Nz,E1,E2,DeltaE,M_LR,chi_LR,omega1,Gamma_ref,M_sym,norm1,norm2,overlap12,build_s,solve_s,grid_index
9.694915254237287,fine,3.0,10.847457627118644,0.06,0.03,50,723,2.3668285302007623,2.7633488115226252,0.3965202813218629,0.19826014066093145,0.0002497582928068284,1.8348919669018016,793.8080390959134,5.779744282233224e-06,1.0,1.0,-3.2851325826310784e-17,0.008126974105834961,0.12016797065734863,21
9.966101694915254,fine,3.0,10.983050847457626,0.06,0.03,50,732,2.325093473189734,2.7120264736194235,0.3869330004296896,0.1934665002148448,0.00026102647220006304,1.823483883446666,741.1757841425482,6.386139186881198e-06,1.0,0.9999999999999999,4.7704895589362195e-18,0.0037169456481933594,0.20566821098327637,22
10.237288135593221,fine,3.0,11.11864406779661,0.06,0.03,50,741,2.284831047402579,2.662561800393087,0.3777307529905083,0.18886537649525414,0.0002724774999322682,1.812410286718374,693.1411824543379,-6.513000335352368e-06,1.0,1.0000000000000002,2.3830763751231387e-16,0.00469517707824707,0.1304619312286377,23
10.508474576271187,fine,3.0,11.254237288135593,0.06,0.03,50,750,2.2459712626444523,2.6148610728778268,0.3688898102333744,0.1844449051166872,0.0002840998307725082,1.801657920539982,649.2256775203106,6.1321898019469355e-06,1.0,1.0000000000000002,2.90132501357121e-16,0.0038280487060546875,0.13770604133605957,24
10.779661016949152,fine,3.0,11.389830508474576,0.06,0.03,50,759,2.208449316823436,2.568836091145063,0.36038677432162736,0.18019338716081368,0.00029587981685466727,1.791214480966318,609.008715350539,-5.249657552243387e-06,1.0000000000000002,0.9999999999999997,9.86623976961809e-17,0.004710197448730469,0.13581228256225586,25
11.050847457627118,fine,3.0,11.525423728813559,0.06,0.03,50,768,2.17220510033895,2.5244040391745335,0.3521989388355835,0.17609946941779175,0.0003078017769070365,1.7810685276931233,572.1197297408,-3.903884659364083e-06,1.0,1.0,1.8648277366750676e-17,0.006793975830078125,0.15223407745361328,26
11.322033898305085,fine,3.0,11.661016949152543,0.06,0.03,50,777,2.4814873164968136,2.8610412900180138,0.3795539735212001,0.18977698676060006,0.00019885524546821575,1.865874410697787,954.3474013660519,1.4456178400596545e-05,1.0,0.9999999999999999,-4.2609145378680324e-17,0.0038950443267822266,0.13835692405700684,27
11.593220338983052,fine,3.0,11.796610169491526,0.06,0.03,50,786,2.4400133366103467,2.8109302127098132,0.37091687609946655,0.18545843804973328,0.00020757062986382943,1.8547272944048532,893.4714808708621,-1.5219218016968749e-05,1.0,1.0,-9.540979117872439e-17,0.003961086273193359,0.1736741065979004,28
11.864406779661017,fine,3.0,11.932203389830509,0.06,0.03,50,795,2.3999142952844252,2.762517081144276,0.36260278585985084,0.18130139292992542,0.00021643490825627655,1.843885651358138,837.6716787074375,1.5473142755708983e-05,1.0,1.0,7.762887554996212e-17,0.009521245956420898,0.16461515426635742,29
12.135593220338983,fine,3.0,12.067796610169491,0.06,0.03,50,805,2.356908414963549,2.710610796536378,0.35370238157282907,0.17685119078641454,0.00022643355148129244,1.832186784954948,781.0290905631346,1.4219315430889386e-05,1.0,1.0,1.9255430583342559e-16,0.0040130615234375,0.1518709659576416,30
