taper_peak,center_D,sigma_D,D,eta,delta_mu,acceptance_mismatch,refamp_beta_new
-1.0,5.7,0.12,6.169491525423729,2.29,-0.6354767763036904,0.0,0.02041253269413721
-1.0,5.7,0.12,6.169491525423729,2.4800000000000004,-0.6334528269211148,0.0,0.02041253269413721
-1.0,5.7,0.12,6.169491525423729,2.6700000000000004,-0.6314286849950719,0.0,0.02041253269413721
-1.0,5.7,0.12,6.169491525423729,2.8600000000000003,-0.6294043504745872,0.0,0.02041253269413721
-1.0,5.7,0.12,6.169491525423729,3.0500000000000003,-0.6273798233348202,0.0,0.02041253269413721
-1.0,5.7,0.12,6.169491525423729,3.24,-0.6253551035604232,0.0,0.02041253269413721
-1.0,5.7,0.12,6.169491525423729,3.43,-0.623330191128332,0.0,0.02041253269413721
-1.0,5.7,0.12,6.169491525423729,3.62,-0.6213050860229004,0.0,0.02041253269413721
-1.0,5.7,0.12,6.169491525423729,3.81,-0.6192797881946746,0.0,0.02041253269413721
-1.0,5.7,0.12,6.169491525423729,4.0,-0.6172542976627255,0.0,0.02041253269413721
-1.0,5.7,0.12,6.4406779661016955,0.2,30.244981323185712,0.0,0.00014571319474252596
-1.0,5.7,0.12,6.4406779661016955,0.39,30.24505980205916,0.0,0.00014571319474252596
-1.0,5.7,0.12,6.4406779661016955,0.5800000000000001,30.245138282814125,0.0,0.00014571319474252596
-1.0,5.7,0.12,6.4406779661016955,0.77,30.245216760721654,0.0,0.00014571319474252596
-1.0,5.7,0.12,6.4406779661016955,0.96,30.24529523981652,0.0,0.00014571319474252596
-1.0,5.7,0.12,6.4406779661016955,1.15,30.245373713501763,0.0,0.00014571319474252596
-1.0,5.7,0.12,6.4406779661016955,1.34,30.245452187142277,0.0,0.00014571319474252596
-1.0,5.7,0.12,6.4406779661016955,1.53,30.245530662462542,0.0,0.00014571319474252596
-1.0,5.7,0.12,6.4406779661016955,1.72,30.245609139700264,0.0,0.00014571319474252596
-1.0,5.7,0.12,6.4406779661016955,1.91,30.24568761880831,0.0,0.00014571319474252596
-1.0,5.7,0.12,6.4406779661016955,2.1,30.24576608924488,0.0,0.00014571319474252596
-1.0,5.7,0.12,6.4406779661016955,2.29,30.245844552171015,0.0,0.00014571319474252596
-1.0,5.7,0.12,6.4406779661016955,2.4800000000000004,30.245923016894267,0.0,0.00014571319474252596
-1.0,5.7,0.12,6.4406779661016955,2.6700000000000004,30.246001483481116,0.0,0.00014571319474252596
-1.0,5.7,0.12,6.4406779661016955,2.8600000000000003,30.246079951920983,0.0,0.00014571319474252596
-1.0,5.7,0.12,6.4406779661016955,3.0500000000000003,30.246158422183953,0.0,0.00014571319474252596
-1.0,5.7,0.12,6.4406779661016955,3.24,30.246236894299933,0.0,0.00014571319474252596
-1.0,5.7,0.12,6.4406779661016955,3.43,30.246315368288023,0.0,0.00014571319474252596
-1.0,5.7,0.12,6.4406779661016955,3.62,30.24639384411222,0.0,0.00014571319474252596
-1.0,5.7,0.12,6.4406779661016955,3.81,30.246472321746104,0.0,0.00014571319474252596
-1.0,5.7,0.12,6.4406779661016955,4.0,30.24655080125747,0.0,0.00014571319474252596
-1.0,5.7,0.12,6.711864406779661,0.2,-0.21506689035745552,0.0,1.9446167980160632e-07
-1.0,5.7,0.12,6.711864406779661,0.39,-0.21504736030247074,0.0,1.9446167980160632e-07
-1.0,5.7,0.12,6.711864406779661,0.5800000000000001,-0.21502782975811385,0.0,1.9446167980160632e-07
-1.0,5.7,0.12,6.711864406779661,0.77,-0.2150082997991163,0.0,1.9446167980160632e-07
-1.0,5.7,0.12,6.711864406779661,0.96,-0.21498876991786986,0.0,1.9446167980160632e-07
-1.0,5.7,0.12,6.711864406779661,1.15,-0.21496924125160888,0.0,1.9446167980160632e-07
-1.0,5.7,0.12,6.711864406779661,1.34,-0.2149497127326221,0.0,1.9446167980160632e-07
-1.0,5.7,0.12,6.711864406779661,1.53,-0.21493018403095832,0.0,1.9446167980160632e-07
