pair,lhs_family,rhs_family,layer,D,eta,amp_eff_lhs,amp_eff_rhs,amp_ref_eff_lhs,amp_ref_eff_rhs,partial_ratio_lhs,partial_ratio_rhs,width_ratio_lhs,width_ratio_rhs,mu_lhs,mu_rhs,mu_identity_residual_lhs,mu_identity_residual_rhs,delta_log_amp_point,delta_log_amp_ref,delta_log_partial,delta_log_width,delta_log_mu,delta_mu,path_closure_residual,acceptance_mismatch
hybrid_vs_runtime,lorentz_hybrid_profile,runtime_mainline,3,4.271186440677966,0.2,0.00015322493499286328,0.00015626243945872592,2.758584267784155e-06,2.739748106960667e-06,3085.2217285875145,3253.028954034104,312.49659320257405,315.38620384930584,9.872817162481955,10.314430099765646,0.0,0.0,-0.019629892871077362,0.006851617264189258,-0.05296302027053317,-0.009204364448270197,-0.04375865582226287,-0.44161293728369166,1.0408340855860843e-16,0.0
uniform_vs_runtime,uniform_profile,runtime_mainline,1,4.271186440677966,0.6,0.0001232581398933288,0.0001232581398933288,1.0744892978027086e-05,1.0744892978027086e-05,131.591255516804,131.591255516804,310.13676577500195,310.13676577500195,0.42430072806095764,0.42430072806095764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
uniform_vs_runtime,uniform_profile,runtime_mainline,2,4.271186440677966,0.6,0.0018493455742456572,0.0018493455742456572,4.87451384692423e-05,4.87451384692423e-05,1439.3735830470976,1439.3735830470976,310.13676577500195,310.13676577500195,4.641093033424275,4.641093033424275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
uniform_vs_runtime,uniform_profile,runtime_mainline,3,4.271186440677966,0.6,0.00015558310495724552,0.00015558310495724552,2.739748106960667e-06,2.739748106960667e-06,3224.8060340803518,3224.8060340803518,310.13676577500195,310.13676577500195,10.398012715525267,10.398012715525267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hybrid_vs_uniform,lorentz_hybrid_profile,uniform_profile,1,4.271186440677966,0.6,0.00012439038671557565,0.0001232581398933288,1.0730101060728822e-05,1.0744892978027086e-05,134.38970829726898,131.591255516804,307.2900941202407,310.13676577500195,0.4373382379344878,0.42430072806095764,0.0,0.0,0.009144045611791905,-0.0013775947607594953,0.021043280745102835,-0.009221146699542448,0.030264427444645213,0.01303750987353014,-6.938893903907228e-17,0.0
hybrid_vs_uniform,lorentz_hybrid_profile,uniform_profile,2,4.271186440677966,0.6,0.0018663336261162615,0.0018493455742456572,4.867803365410789e-05,4.87451384692423e-05,1469.9836644743457,1439.3735830470976,307.2900941202407,310.13676577500195,4.783700134177284,4.641093033424275,0.0,0.0,0.009144045717452018,-0.0013775947607594953,0.021043280956423317,-0.009221146699542448,0.03026442765596594,0.14260710075300942,1.7694179454963432e-16,0.0
hybrid_vs_uniform,lorentz_hybrid_profile,uniform_profile,3,4.271186440677966,0.6,0.0001525511808573322,0.00015558310495724552,2.758584267784155e-06,2.739748106960667e-06,3058.148971071136,3224.8060340803518,307.2900941202407,310.13676577500195,9.951993343054207,10.398012715525267,0.0,0.0,-0.019679873961247565,0.006851617264189258,-0.053062982450873694,-0.009221146699542448,-0.04384183575133109,-0.44601937247105994,1.5265566588595902e-16,0.0
hybrid_vs_runtime,lorentz_hybrid_profile,runtime_mainline,1,4.271186440677966,0.6,0.00012439038671557565,0.0001232581398933288,1.0730101060728822e-05,1.0744892978027086e-05,134.38970829726898,131.591255516804,307.2900941202407,310.13676577500195,0.4373382379344878,0.42430072806095764,0.0,0.0,0.009144045611791905,-0.0013775947607594953,0.021043280745102835,-0.009221146699542448,0.030264427444645213,0.01303750987353014,-6.938893903907228e-17,0.0
hybrid_vs_runtime,lorentz_hybrid_profile,runtime_mainline,2,4.271186440677966,0.6,0.0018663336261162615,0.0018493455742456572,4.867803365410789e-05,4.87451384692423e-05,1469.9836644743457,1439.3735830470976,307.2900941202407,310.13676577500195,4.783700134177284,4.641093033424275,0.0,0.0,0.009144045717452018,-0.0013775947607594953,0.021043280956423317,-0.009221146699542448,0.03026442765596594,0.14260710075300942,1.7694179454963432e-16,0.0
hybrid_vs_runtime,lorentz_hybrid_profile,runtime_mainline,3,4.271186440677966,0.6,0.0001525511808573322,0.00015558310495724552,2.758584267784155e-06,2.739748106960667e-06,3058.148971071136,3224.8060340803518,307.2900941202407,310.13676577500195,9.951993343054207,10.398012715525267,0.0,0.0,-0.019679873961247565,0.006851617264189258,-0.053062982450873694,-0.009221146699542448,-0.04384183575133109,-0.44601937247105994,1.5265566588595902e-16,0.0
uniform_vs_runtime,uniform_profile,runtime_mainline,1,4.271186440677966,1.0,0.00012427378547091026,0.00012427378547091026,1.0744892978027086e-05,1.0744892978027086e-05,133.7688109194028,133.7688109194028,304.9971551402078,304.9971551402078,0.4385903562212212,0.4385903562212212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
uniform_vs_runtime,uniform_profile,runtime_mainline,2,4.271186440677966,1.0,0.0018524491662609878,0.0018524491662609878,4.87451384692423e-05,4.87451384692423e-05,1444.2087819385192,1444.2087819385192,304.9971551402078,304.9971551402078,4.735154927181578,4.735154927181578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
uniform_vs_runtime,uniform_profile,runtime_mainline,3,4.271186440677966,1.0,0.00015490817912575615,0.00015490817912575615,2.739748106960667e-06,2.739748106960667e-06,3196.8880411696964,3196.8880411696964,304.9971551402078,304.9971551402078,10.48169790206758,10.48169790206758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
