family,peak2,center2_D,sigma2_D,p95_abs_delta_mu,max_abs_delta_mu,D5p898_max_abs_delta_mu,D6p169_max_abs_delta_mu,D6p441_max_abs_delta_mu,D6p712_max_abs_delta_mu,hotspot_objective,guard_objective,joint_objective
pointamp2,0.5,5.9,0.16,30.627444512520587,30.632554799952608,30.632554799952608,17.0695695180752,4.898871889781738,2.6032112418855853,30.632554799952608,4.898871889781738,30.632554799952608
pointamp2,0.5,5.9,0.2,30.627446272608704,30.632556559697306,30.632556559697306,18.491225263339174,4.579357755576105,2.603277067968019,30.632556559697306,4.579357755576105,30.632556559697306
pointamp2,0.75,6.03,0.16,30.633461899495295,30.63857101339852,30.63857101339852,23.710021738442585,4.160583755684087,2.603253563990112,30.63857101339852,4.160583755684087,30.63857101339852
pointamp2,1.0,6.03,0.12,30.6357450563049,30.640853724939966,30.640853724939966,23.64493432733041,4.864659411397831,2.6032106454166204,30.640853724939966,4.864659411397831,30.640853724939966
pointamp2,1.0,6.1,0.2,30.64511751449135,30.65022435528168,30.65022435528168,30.252300629358928,1.3472329901475817,2.607881634622423,30.65022435528168,2.607881634622423,30.65022435528168
pointamp2,0.75,6.03,0.2,30.645541058746808,30.650647816936242,30.650647816936242,24.910254229438166,2.414332658690867,2.6043400898222764,30.650647816936242,2.6043400898222764,30.650647816936242
pointamp2,0.75,5.95,0.08,30.64638775246259,30.65149434552731,30.65149434552731,15.199342304902586,4.945935528980016,2.6032105963583376,30.65149434552731,4.945935528980016,30.65149434552731
pointamp2,0.75,5.95,0.12,30.65942857755305,30.664532627357048,30.664532627357048,17.42036231704155,4.9409475383770385,2.603210597025324,30.664532627357048,4.9409475383770385,30.664532627357048
pointamp2,0.75,5.95,0.16,30.664361410173363,30.669464497961457,30.669464497961457,20.060317649391678,4.752896231099584,2.603215098808459,30.669464497961457,4.752896231099584,30.669464497961457
pointamp2,1.0,6.03,0.16,30.66450227468057,30.669605334996966,30.669605334996966,26.405880163690007,3.901164978542141,2.603267886514889,30.669605334996966,3.901164978542141,30.669605334996966
pointamp2,0.75,5.95,0.2,30.66671314902048,30.671815778165545,30.671815778165545,22.041833963583215,3.904444691621819,2.603477214080055,30.671815778165545,3.904444691621819,30.671815778165545
pointamp2,0.75,5.9,0.08,30.67097515143504,30.676076949391557,30.676076949391557,14.927847955002449,4.945935670833414,2.6032105963583376,30.676076949391557,4.945935670833414,30.676076949391557
pointamp2,0.75,5.9,0.12,30.670991434865623,30.676093229646582,30.676093229646582,15.978434042008686,4.945103280446531,2.603210596401752,30.676093229646582,4.945103280446531,30.676093229646582
pointamp2,0.75,5.9,0.16,30.67099713454502,30.676098928214387,30.676098928214387,18.13901384408824,4.875354290367909,2.603211564649193,30.676098928214387,4.875354290367909,30.676098928214387
pointamp2,0.75,5.9,0.2,30.67099977276632,30.6761015659212,30.6761015659212,20.228143884948693,4.396936682735728,2.6033103036955154,30.6761015659212,4.396936682735728,30.6761015659212
pointamp2,1.0,6.03,0.2,30.680598973269205,30.685698894359177,30.685698894359177,27.933100204799203,1.595209608912441,2.6047165744076466,30.685698894359177,2.6047165744076466,30.685698894359177
pointamp2,1.0,5.95,0.08,30.68172723768141,30.68682693873388,30.68682693873388,15.305290332971097,4.94593548083872,2.6032105963583376,30.68682693873388,4.94593548083872,30.68682693873388
