pair,D,slice_p95_abs_log_gamma_ratio,slice_p95_abs_log_W_ratio,slice_p95_abs_delta_P,slice_p95_abs_delta_generation_ratio,slice_winner_mismatch_fraction
hybrid_vs_runtime,18.64406779661017,2.2359891715953152e-13,0.07517583980685176,0.0014728963833450237,0.0003544572240984367,0.0
hybrid_vs_runtime,18.915254237288135,2.241096197508592e-13,0.07895686524021002,0.0015885243160015938,0.0003723859751610936,0.0
hybrid_vs_runtime,19.186440677966104,2.2146728895225076e-13,0.06550468309183392,0.0013641766410848796,0.00030780208124623335,0.0
hybrid_vs_runtime,19.45762711864407,2.1860291354871723e-13,0.0,0.0,0.0,0.0
hybrid_vs_runtime,19.728813559322035,2.160271961315863e-13,0.0,0.0,0.0,0.0
hybrid_vs_runtime,20.0,2.078115457493584e-13,0.0,0.0,0.0,0.0
hybrid_vs_uniform,4.0,0.0004871753968606,0.1802238697353126,0.007599346403591722,0.0019925952780977417,0.0
hybrid_vs_uniform,4.271186440677966,0.00021630028844625172,0.17762789414852503,0.004078538146184685,0.001291975634939213,0.0
hybrid_vs_uniform,4.5423728813559325,9.49538031589371e-05,0.1732926535635201,0.003338884024113642,0.0009762879000628555,0.0
hybrid_vs_uniform,4.813559322033898,4.370983982847909e-05,0.16766502924665466,0.002871283498704669,0.0007494529013751139,0.0
hybrid_vs_uniform,5.084745762711864,2.0372112933258493e-05,0.16110691448589975,0.0024558197662868375,0.0005460306952843608,0.0
hybrid_vs_uniform,5.3559322033898304,9.747052479356698e-06,0.1520230429871532,0.002173459783487197,0.0004112786269696134,0.0
hybrid_vs_uniform,5.627118644067797,4.970612907607988e-06,0.14439155052927297,0.0019032256886433174,0.0003204999482772086,0.0
hybrid_vs_uniform,5.898305084745763,2.367926322572753e-06,0.13650026826567926,0.0016906982080010069,0.00027728989086235335,0.0
hybrid_vs_uniform,6.169491525423728,1.1957010047410927e-06,0.12848436316585096,0.0015021024213047519,0.0002411999245800933,0.0
hybrid_vs_uniform,6.4406779661016955,6.156085533840478e-07,0.12045017088100149,0.0013381129011184934,0.0002169799190918864,0.0
hybrid_vs_uniform,6.711864406779661,3.2912618854206204e-07,0.11247989399088362,0.001331831758152835,0.0002580762576695372,0.0
hybrid_vs_uniform,6.983050847457627,1.669482987495097e-07,0.10463640225356836,0.0011251905151950848,0.0002933900222317432,0.0
hybrid_vs_uniform,7.254237288135593,8.893921803206861e-08,0.09696682867352831,0.0009464219076238845,0.0003382328521003064,0.0
hybrid_vs_uniform,7.525423728813559,4.9625643029234666e-08,0.0895056449856866,0.0007633392288296737,0.00030686111483990697,0.0
hybrid_vs_uniform,7.796610169491526,2.6663038265962913e-08,0.08227703961284806,0.0005845325140513725,0.0002783319383847127,0.0
hybrid_vs_uniform,8.067796610169491,1.4048288655831823e-08,0.0752968953257602,0.0004723072172959419,0.0002524368110088826,0.0
hybrid_vs_uniform,8.338983050847457,7.75320311610971e-09,0.0685744215359892,0.0003966325789549252,0.00022765540272873253,0.0
hybrid_vs_uniform,8.610169491525424,4.435056312359124e-09,0.06211347909332798,0.00027873555457640363,0.00020413501548228742,0.0
hybrid_vs_uniform,8.881355932203391,2.4407777991142546e-09,0.05591367613263786,0.00021928580458612234,0.00018001283959030446,0.0
hybrid_vs_uniform,9.152542372881356,1.3508933962326577e-09,0.04997125678975449,0.0001634359453054346,0.00015190918331444702,0.0
hybrid_vs_uniform,9.423728813559322,7.629803452789162e-10,0.04427985333551804,0.0002278165827609424,0.0001229211892579185,0.0
hybrid_vs_uniform,9.694915254237287,4.4299719438491805e-10,0.03883109083320986,0.00017210458763601278,0.00010146049572361538,0.0
hybrid_vs_uniform,9.966101694915254,2.459001890695235e-10,0.033615087352232995,0.00012260381075994696,8.120594636744638e-05,0.0
hybrid_vs_uniform,10.23728813559322,1.3412737586359964e-10,0.028620868320940174,8.074872318413196e-05,6.427028626805331e-05,0.0
