width_peak,refamp_peak,center_D,sigma_D,D5p898_max_abs_delta_mu,D6p169_max_abs_delta_mu,D6p441_max_abs_delta_mu,D6p712_max_abs_delta_mu,hotspot_objective,guard_objective,joint_objective
0.5,0.5,6.17,0.1,30.499012822045636,11.553613502297111,22.951166151256118,2.9398787636310573,30.499012822045636,22.951166151256118,30.499012822045636
1.0,0.0,6.17,0.1,30.54537190672052,14.880557200255325,22.915837415501855,2.9398791867173557,30.54537190672052,22.915837415501855,30.54537190672052
0.0,0.0,5.9,0.1,30.545371906720547,14.880557200255325,22.807314289234398,2.9398791556705532,30.545371906720547,22.807314289234398,30.545371906720547
0.0,0.0,5.9,0.15,30.545371906720547,14.880557200255325,22.807314289234398,2.9398791556705532,30.545371906720547,22.807314289234398,30.545371906720547
0.0,0.0,5.9,0.2,30.545371906720547,14.880557200255325,22.807314289234398,2.9398791556705532,30.545371906720547,22.807314289234398,30.545371906720547
0.0,0.0,6.03,0.1,30.545371906720547,14.880557200255325,22.807314289234398,2.9398791556705532,30.545371906720547,22.807314289234398,30.545371906720547
0.0,0.0,6.03,0.15,30.545371906720547,14.880557200255325,22.807314289234398,2.9398791556705532,30.545371906720547,22.807314289234398,30.545371906720547
0.0,0.0,6.03,0.2,30.545371906720547,14.880557200255325,22.807314289234398,2.9398791556705532,30.545371906720547,22.807314289234398,30.545371906720547
0.0,0.0,6.17,0.1,30.545371906720547,14.880557200255325,22.807314289234398,2.9398791556705532,30.545371906720547,22.807314289234398,30.545371906720547
0.0,0.0,6.17,0.15,30.545371906720547,14.880557200255325,22.807314289234398,2.9398791556705532,30.545371906720547,22.807314289234398,30.545371906720547
0.0,0.0,6.17,0.2,30.545371906720547,14.880557200255325,22.807314289234398,2.9398791556705532,30.545371906720547,22.807314289234398,30.545371906720547
0.5,0.0,5.9,0.1,30.545371906720547,14.880557200255325,22.807315238138642,2.9398791556705532,30.545371906720547,22.807315238138642,30.545371906720547
1.0,0.0,5.9,0.1,30.545371906720547,14.880557200255325,22.807316187042943,2.9398791556705532,30.545371906720547,22.807316187042943,30.545371906720547
