mode,D,eta,B1,B2,B3,W1,W2,W3,log_B_sum_ratio,log_B2_ratio,share_l1,w_share_l1,argmax_B_mismatch,argmax_W_mismatch,delta_mu2,acceptance_mismatch
release_tuned,4.8,2.0,0.3456659902262572,0.885413638307164,1.0,0.0629064327986789,0.6825767444576599,0.2876324004985074,-1.13195096273757,-1.4737876084865515,0.6074156622508973,0.3988507123053643,1.0,0.0,-0.0766365187101971,0.0
release_sumanchor,4.8,2.0,0.3189388473982419,1.5933146433755518,0.20576930936628887,0.05804246219772181,1.2283067202932667,0.059185920401945674,-1.1839535573482964,-0.8862707255709019,0.38736114489878704,0.189091916833285,0.0,0.0,7.285497639703149,0.0
release_eftsumanchor,4.8,2.0,0.9800384048470887,4.895952795500982,0.6322899432379916,0.17835344464835579,3.774352885009541,0.18186707418460854,-0.06136118129397395,0.2363216504834203,0.3873611448987869,0.18909191683328477,0.0,0.0,7.285497639703149,0.0
release_fullsumanchor,4.8,2.0,1.0420580602912748,5.205782802107047,0.6723030735668614,0.18964016477041118,4.01320481601074,0.19337614691256097,2.2204460492503128e-16,0.29768283177739446,0.3873611448987869,0.18909191683328488,0.0,0.0,7.285497639703149,0.0
tailm2_detlin,4.8,2.0,1.5499825915754062,7.743208393333822,1.0,0.28207540947907217,5.969338790493603,0.2876324004985074,0.39704603779833203,0.6947288695757264,0.38736114489878704,0.18909191683328488,0.0,0.0,65.90971397826183,0.0
cell_direct_runtime,4.8,4.0,2.054658572808072,3.8654853631571107,1.0,0.7463348338117158,5.908535750705262,0.5676271143057489,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
release_tuned,4.8,4.0,0.3456659902262572,0.885413638307164,1.0,0.12555982428618048,1.3533871285512007,0.5676271143057489,-1.13195096273757,-1.4737876084865515,0.6074156622508973,0.3975265222184222,1.0,0.0,-0.0773454217328204,0.0
release_sumanchor,4.8,4.0,0.3189388473982419,1.5933146433755518,0.20576930936628887,0.11585144842033189,2.4354397049941743,0.11680023928827346,-1.1839535573482964,-0.8862707255709019,0.38736114489878704,0.18945691618339738,0.0,0.0,7.352066063976986,0.0
release_eftsumanchor,4.8,4.0,0.9800384048470887,4.895952795500982,0.6322899432379916,0.3559894620404046,7.4836429085211265,0.35890491588472695,-0.06136118129397395,0.2363216504834203,0.3873611448987869,0.1894569161833975,0.0,0.0,7.352066063976986,0.0
release_fullsumanchor,4.8,4.0,1.0420580602912748,5.205782802107047,0.6723030735668614,0.37851750141958773,7.957229405089312,0.3816174535876431,2.2204460492503128e-16,0.29768283177739446,0.3873611448987869,0.18945691618339738,0.0,0.0,7.352066063976986,0.0
tailm2_detlin,4.8,4.0,1.5499825915754062,7.743208393333822,1.0,0.5630161697928691,11.835777223020468,0.5676271143057489,0.39704603779833203,0.6947288695757264,0.38736114489878704,0.18945691618339738,0.0,0.0,65.64848709139068,0.0
cell_direct_runtime,5.6,0.2,2.407735895414661,7.397198348412559,1.0,0.0063918477481548575,0.052967677293056695,0.002421496303892867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
release_tuned,5.6,0.2,0.276766918898432,0.9188228880109832,1.0,0.0007347367336648998,0.006579236074166415,0.002421496303892867,-1.5935521890484645,-2.0857632246689377,0.7258163460529434,0.41906892721552347,1.0,0.0,-1.0136384307802049,0.0
