combo_id,peak,center_D,width_D,region,D,eta,gaussian,residual_frac,mu_full,mu_base,mu_runtime,mu_guard,chi2_base,chi2_runtime,chi2_guard,abs_delta_base,abs_delta_runtime,abs_delta_guard,abs_improvement_vs_base,abs_improvement_vs_runtime,guard_shift_vs_runtime,guard_shift_vs_base,improved_vs_base,improved_vs_runtime,acceptance_flip_vs_base
1,0.85,6.39,0.003,D60_hotspot,5.627118644067797,3.81,0.0,1.0,48.26789340891404,58.53980931316438,58.55721524720626,58.55721524720626,20405.986302154917,20418.420342596673,20418.420342596673,10.271915904250342,10.289321838292217,10.289321838292217,-0.01740593404187507,0.0,0.0,0.01740593404187507,0.0,0.0,0.0
1,0.85,6.39,0.003,D60_hotspot,5.627118644067797,4.0,0.0,1.0,48.270211199275586,58.54281997307435,58.56022680229079,58.56022680229079,20408.136715469904,20420.572050558265,20420.572050558265,10.272608773798765,10.290015603015206,10.290015603015206,-0.017406829216440656,0.0,0.0,0.017406829216440656,0.0,0.0,0.0
1,0.85,6.39,0.003,D60_hotspot,6.169491525423728,0.2,0.0,1.0,75.88654558073985,101.71633542700854,98.64735041881512,98.64735041881512,62896.04470940055,59106.54477174886,59106.54477174887,25.829789846268696,22.760804838075273,22.760804838075273,3.0689850081934225,0.0,0.0,-3.0689850081934225,1.0,0.0,0.0
1,0.85,6.39,0.003,D60_hotspot,6.169491525423728,0.39,0.0,1.0,75.88706648740957,101.71989748142038,98.65080499893048,98.65080499893048,62900.51144176683,59110.74420587499,59110.744205875,25.832830994010806,22.763738511520913,22.763738511520913,3.069092482489893,0.0,0.0,-3.069092482489893,1.0,0.0,0.0
1,0.85,6.39,0.003,D60_hotspot,6.169491525423728,0.5800000000000001,0.0,1.0,75.88758738947415,101.72345980128574,98.65425983649013,98.65425983649013,62904.978665626215,59114.9441021471,59114.9441021471,25.835872411811593,22.766672447015978,22.766672447015978,3.069199964795615,0.0,0.0,-3.069199964795615,1.0,0.0,0.0
1,0.85,6.39,0.003,D60_hotspot,6.169491525423728,0.77,0.0,1.0,75.88810828669197,101.7270217410295,98.6577143053972,98.6577143053972,62909.44557140627,59119.14369943912,59119.14369943915,25.83891345433753,22.769606018705232,22.769606018705232,3.0693074356322967,0.0,0.0,-3.0693074356322967,1.0,0.0,0.0
1,0.85,6.39,0.003,D60_hotspot,6.169491525423728,0.96,0.0,1.0,75.88862917944205,101.73058387038763,98.6611689581976,98.6611689581976,62913.91287358055,59123.34366946912,59123.34366946912,25.841954690945585,22.772539778755558,22.772539778755558,3.0694149121900267,0.0,0.0,-3.0694149121900267,1.0,0.0,0.0
1,0.85,6.39,0.003,D60_hotspot,6.169491525423728,1.15,0.0,1.0,75.88915006749276,101.73414526849275,98.66462290180831,98.66462290180831,62918.37941724378,59127.542926443595,59127.54292644358,25.84499520099999,22.77547283431555,22.77547283431555,3.0695223666844385,0.0,0.0,-3.0695223666844385,1.0,0.0,0.0
1,0.85,6.39,0.003,D60_hotspot,6.169491525423728,1.34,0.0,1.0,75.88967095098562,101.7377066662021,98.66807684503524,98.66807684503524,62922.846118955094,59131.742332073,59131.742332073,25.848035715216483,22.778405894049627,22.778405894049627,3.0696298211668562,0.0,0.0,-3.0696298211668562,1.0,0.0,0.0
1,0.85,6.39,0.003,D60_hotspot,6.169491525423728,1.53,0.0,1.0,75.89019182979206,101.74126832919266,98.67153104553933,98.67153104553933,62927.31331194401,59135.94219964574,59135.94219964574,25.851076499400605,22.781339215747266,22.781339215747266,3.069737283653339,0.0,0.0,-3.069737283653339,1.0,0.0,0.0
