alpha_center,taper,taper_center_D,taper_sigma_D,D,eta,mu,base_mu,delta_mu,delta_log_mu,acceptance_mismatch
0.85,0.01,5.9,0.4,4.813559322033898,0.2,14.632897004299874,13.420768932824766,1.2121280714751084,0.08646878606463262,0.0
0.85,0.01,6.0,0.4,4.813559322033898,0.2,14.634759039799482,13.420768932824766,1.213990106974716,0.08659602792502034,0.0
0.85,0.02,5.9,0.4,4.813559322033898,0.2,14.628878315300422,13.420768932824766,1.2081093824756568,0.0861941144850155,0.0
0.85,0.02,6.0,0.4,4.813559322033898,0.2,14.632601600422491,13.420768932824766,1.2118326675977258,0.08644859820579012,0.0
0.8,0.0,5.9,0.4,4.813559322033898,0.6,14.844982290192776,13.445259824550153,1.3997224656426237,0.09903530070518754,0.0
0.8,0.0,6.0,0.4,4.813559322033898,0.6,14.844982290192776,13.445259824550153,1.3997224656426237,0.09903530070518754,0.0
0.8,0.01,5.9,0.4,4.813559322033898,0.6,14.840906102667732,13.445259824550153,1.3956462781175798,0.09876067947797568,0.0
0.8,0.01,6.0,0.4,4.813559322033898,0.6,14.842794261095923,13.445259824550153,1.3975344365457705,0.09888789801256517,0.0
0.8,0.02,5.9,0.4,4.813559322033898,0.6,14.83683103439663,13.445259824550153,1.391571209846477,0.0984860582507645,0.0
0.8,0.02,6.0,0.4,4.813559322033898,0.6,14.840606554496677,13.445259824550153,1.3953467299465245,0.09874049531994265,0.0
0.825,0.0,5.9,0.4,4.813559322033898,0.6,14.754248226204435,13.445259824550153,1.3089884016542825,0.09290444212473228,0.0
0.825,0.0,6.0,0.4,4.813559322033898,0.6,14.754248226204435,13.445259824550153,1.3089884016542825,0.09290444212473228,0.0
0.825,0.01,5.9,0.4,4.813559322033898,0.6,14.750196952758268,13.445259824550153,1.304937128208115,0.09262982089752025,0.0
0.825,0.01,6.0,0.4,4.813559322033898,0.6,14.752073570567259,13.445259824550153,1.3068137460171059,0.09275703943210976,0.0
0.825,0.02,5.9,0.4,4.813559322033898,0.6,14.746146791725034,13.445259824550153,1.3008869671748808,0.09235519967030816,0.0
0.825,0.02,6.0,0.4,4.813559322033898,0.6,14.749899235456539,13.445259824550153,1.3046394109063861,0.09260963673948629,0.0
0.85,0.0,5.9,0.4,4.813559322033898,0.6,14.664068738180326,13.445259824550153,1.2188089136301734,0.086773583544276,0.0
0.85,0.0,6.0,0.4,4.813559322033898,0.6,14.664068738180326,13.445259824550153,1.2188089136301734,0.086773583544276,0.0
0.85,0.01,5.9,0.4,4.813559322033898,0.6,14.660042226535616,13.445259824550153,1.2147824019854632,0.08649896231706389,0.0
0.85,0.01,6.0,0.4,4.813559322033898,0.6,14.661907374262864,13.445259824550153,1.216647549712711,0.0866261808516536,0.0
0.85,0.02,5.9,0.4,4.813559322033898,0.6,14.656016820504655,13.445259824550153,1.2107569959545028,0.08622434108985187,0.0
0.85,0.02,6.0,0.4,4.813559322033898,0.6,14.65974632891278,13.445259824550153,1.2144865043626272,0.08647877815903117,0.0
0.8,0.0,5.9,0.4,4.813559322033898,1.0,14.87244630867032,13.46975934358133,1.4026869650889893,0.09906313580667545,0.0
0.8,0.0,6.0,0.4,4.813559322033898,1.0,14.87244630867032,13.46975934358133,1.4026869650889893,0.09906313580667545,0.0
0.8,0.01,5.9,0.4,4.813559322033898,1.0,14.868363327891874,13.46975934358133,1.3986039843105438,0.09878856488180875,0.0
0.8,0.01,6.0,0.4,4.813559322033898,1.0,14.870254633094506,13.46975934358133,1.4004952895131755,0.09891576011379048,0.0
0.8,0.02,5.9,0.4,4.813559322033898,1.0,14.864281468027333,13.46975934358133,1.3945221244460022,0.0985139939569413,0.0
0.8,0.02,6.0,0.4,4.813559322033898,1.0,14.8680632804946,13.46975934358133,1.398303936913269,0.09876838442090576,0.0
