D,eta,mu_full,chi2_full,mu_base,chi2_base,mu_runtime,chi2_runtime,mu_cf,chi2_cf,abs_delta_base,abs_delta_runtime,abs_delta_cf,abs_improvement_vs_base,abs_improvement_vs_runtime,improved_vs_base,improved_vs_runtime,worsened_vs_runtime,acceptance_flip_vs_base,case,is_reviewer_target
4.0,4.0,3.1833742708158086,19.87764868629885,2.258965115084026,4.6113816808207195,2.2589651150839085,4.611381680819451,2.2589651150839085,4.611381680819451,0.9244091557317824,0.9244091557319001,0.9244091557319001,-1.176836406102666e-13,0.0,0.0,0.0,0.0,0.0,D21E41_fullmap,True
4.8,0.2,13.739247292265354,951.6063983729864,13.625837637521377,934.194412118964,13.625837636574287,934.1944119742273,13.625837636574287,934.1944119742273,0.11340965474397713,0.11340965569106665,0.11340965569106665,-9.470895179219951e-10,0.0,0.0,0.0,0.0,0.0,D21E41_fullmap,False
4.8,0.295,13.74538553684234,952.553400332975,13.631913290420131,935.1231421522292,13.631913289472624,935.123142007356,13.631913289472624,935.123142007356,0.11347224642220866,0.11347224736971562,0.11347224736971562,-9.475069617792542e-10,0.0,0.0,0.0,0.0,0.0,D21E41_fullmap,False
4.8,0.39,13.75152432659523,953.5009574404608,13.637991826521024,936.0527746624708,13.637991825573092,936.0527745174612,13.637991825573092,936.0527745174612,0.11353250007420712,0.11353250102213863,0.11353250102213863,-9.479315110638709e-10,0.0,0.0,0.0,0.0,0.0,D21E41_fullmap,False
4.8,0.485,13.757663659817094,954.449069557275,13.644073249191722,936.983310822327,13.64407324824337,936.9833106771808,13.64407324824337,936.9833106771808,0.11359041062537223,0.11359041157372474,0.11359041157372474,-9.483525076348087e-10,0.0,0.0,0.0,0.0,0.0,D21E41_fullmap,False
4.8,0.5800000000000001,13.763803534805348,955.3977365454074,13.650157561808374,937.914751807068,13.650157560859595,937.9147516617844,13.650157560859595,937.9147516617844,0.11364597299697365,0.11364597394575249,0.11364597394575249,-9.487788332762648e-10,0.0,0.0,0.0,0.0,0.0,D21E41_fullmap,False
4.8,0.675,13.76994394985501,956.346958265966,13.656236919516733,938.845896420781,13.656236918567531,938.8458962753608,13.656236918567531,938.8458962753608,0.11370703033827745,0.11370703128747905,0.11370703128747905,-9.49201606204042e-10,0.0,0.0,0.0,0.0,0.0,D21E41_fullmap,False
4.8,0.77,13.776084903260022,957.296734579379,13.662317066197732,939.7776239497758,13.662317065248107,939.7776238042186,13.662317065248107,939.7776238042186,0.11376783706229077,0.11376783801191515,0.11376783801191515,-9.496243791318193e-10,0.0,0.0,0.0,0.0,0.0,D21E41_fullmap,False
4.8,0.865,13.782226393315804,958.2470653457908,13.66840009633316,940.7102557731718,13.668400095383117,940.7102556274776,13.668400095383117,940.7102556274776,0.11382629698264424,0.11382629793268784,0.11382629793268784,-9.500435993459178e-10,0.0,0.0,0.0,0.0,0.0,D21E41_fullmap,False
4.8,0.96,13.788368418315454,959.1979504244732,13.674486013295049,941.6437930660984,13.674486012344577,941.6437929202666,13.674486012344577,941.6437929202666,0.11388240502040503,0.11388240597087673,0.11388240597087673,-9.504717013442132e-10,0.0,0.0,0.0,0.0,0.0,D21E41_fullmap,False
