beta_peak,center_D,sigma_D,D,eta,beta_eff,base_mu,cur_mu,delta_mu_current,base_width_ratio,cur_width_ratio,width_ratio_boost,mu_boost,delta_mu_boost,delta_log_width_current,delta_log_width_boost,acceptance_mismatch_boost
0.5,5.9,0.2,4.813559322033898,0.2,1.9552765400705014e-07,13.420768932824766,14.72477481933794,1.304005886513174,103.01194534980424,88.74452085489743,88.74452344179149,14.724774390112213,1.304005457287447,-0.14908326617158255,-0.1490832370216814,0.0
0.5,6.0,0.1,4.813559322033898,0.2,1.3565118456953372e-31,13.420768932824766,14.72477481933794,1.304005886513174,103.01194534980424,88.74452085489743,88.74452085489743,14.72477481933794,1.304005886513174,-0.14908326617158255,-0.14908326617158255,0.0
0.5,6.0,0.15,4.813559322033898,0.2,1.2996854735117333e-14,13.420768932824766,14.72477481933794,1.304005886513174,103.01194534980424,88.74452085489743,88.74452085489759,14.724774819337913,1.3040058865131474,-0.14908326617158255,-0.14908326617158074,0.0
0.5,6.0,0.2,4.813559322033898,0.2,1.1411254750858279e-08,13.420768932824766,14.72477481933794,1.304005886513174,103.01194534980424,88.74452085489743,88.74452100587206,14.724774794287745,1.3040058614629793,-0.14908326617158255,-0.149083264470355,0.0
0.5,6.1,0.1,4.813559322033898,0.2,5.789351975119098e-37,13.420768932824766,14.72477481933794,1.304005886513174,103.01194534980424,88.74452085489743,88.74452085489743,14.72477481933794,1.304005886513174,-0.14908326617158255,-0.14908326617158255,0.0
0.5,6.1,0.15,4.813559322033898,0.2,5.336583577078655e-17,13.420768932824766,14.72477481933794,1.304005886513174,103.01194534980424,88.74452085489743,88.74452085489743,14.72477481933794,1.304005886513174,-0.14908326617158255,-0.14908326617158255,0.0
0.5,6.1,0.2,4.813559322033898,0.2,5.18662670472008e-10,13.420768932824766,14.72477481933794,1.304005886513174,103.01194534980424,88.74452085489743,88.74452086175951,14.72477481819936,1.304005885374595,-0.14908326617158255,-0.1490832660942586,0.0
0.1,5.9,0.1,4.813559322033898,0.6,2.3385827438824595e-27,13.445259824550153,14.752073555430782,1.306813730880629,102.84697715998584,88.59982920601554,88.59982920601554,14.752073555430782,1.306813730880629,-0.14911229499182835,-0.14911229499182835,0.0
0.1,5.9,0.15,4.813559322033898,0.6,4.059041020802788e-13,13.445259824550153,14.752073555430782,1.306813730880629,102.84697715998584,88.59982920601554,88.5998292060209,14.752073555429888,1.3068137308797354,-0.14911229499182835,-0.1491122949917679,0.0
0.1,5.9,0.2,4.813559322033898,0.6,3.910553080141003e-08,13.445259824550153,14.752073555430782,1.306813730880629,102.84697715998584,88.59982920601554,88.59982972265135,14.752073469409742,1.3068136448595897,-0.14911229499182835,-0.14911228916071315,0.0
0.1,6.0,0.1,4.813559322033898,0.6,2.7130236913906743e-32,13.445259824550153,14.752073555430782,1.306813730880629,102.84697715998584,88.59982920601554,88.59982920601554,14.752073555430782,1.306813730880629,-0.14911229499182835,-0.14911229499182835,0.0
0.1,6.0,0.15,4.813559322033898,0.6,2.5993709470234666e-15,13.445259824550153,14.752073555430782,1.306813730880629,102.84697715998584,88.59982920601554,88.59982920601563,14.752073555430767,1.3068137308806147,-0.14911229499182835,-0.14911229499182743,0.0
0.1,6.0,0.2,4.813559322033898,0.6,2.282250950171656e-09,13.445259824550153,14.752073555430782,1.306813730880629,102.84697715998584,88.59982920601554,88.59982923616711,14.752073550410476,1.306813725860323,-0.14911229499182835,-0.1491122946515166,0.0
0.1,6.1,0.1,4.813559322033898,0.6,1.1578703950238198e-37,13.445259824550153,14.752073555430782,1.306813730880629,102.84697715998584,88.59982920601554,88.59982920601554,14.752073555430782,1.306813730880629,-0.14911229499182835,-0.14911229499182835,0.0
