D,eta,mu_full,chi2_full,mu_base,chi2_base,mu_parent,chi2_parent,mu_cf,chi2_cf,case,abs_delta_base,abs_delta_parent,abs_delta_cf,abs_improvement_vs_parent,acceptance_flip_vs_base,drift_grid_D
4.161616161616162,4.0,3.033143780136162,16.66974129123394,4.1680178929949845,47.88701909962745,4.168017892992892,47.88701909955505,4.168017892992892,47.88701909955505,D100E41_monitor,1.1348741128588227,1.1348741128567301,1.1348741128567301,0.0,0.0,7.232323232323233
4.3232323232323235,0.2,3.619415123862085,30.786271825173465,8.193431989835537,288.44198875325503,8.193431989835267,288.44198875323207,8.193431989835267,288.44198875323207,D100E41_monitor,4.5740168659734515,4.5740168659731815,4.5740168659731815,0.0,0.0,7.232323232323233
4.3232323232323235,0.295,3.628236791459867,31.03149499259601,8.230136072723514,291.56724232449363,8.230136072723244,291.56724232447056,8.230136072723244,291.56724232447056,D100E41_monitor,4.601899281263647,4.6018992812633766,4.6018992812633766,0.0,0.0,7.232323232323233
4.3232323232323235,0.39,3.637066748861172,31.277922742876825,8.267103848319607,294.7319703975371,8.267103848319337,294.7319703975139,8.267103848319337,294.7319703975139,D100E41_monitor,4.630037099458435,4.630037099458165,4.630037099458165,0.0,0.0,7.232323232323233
4.3232323232323235,0.485,3.6459049522918017,31.52555659205525,8.304338501654344,297.93681340891595,8.304338501654073,297.9368134088924,8.304338501654073,297.9368134088924,D100E41_monitor,4.658433549362543,4.658433549362271,4.658433549362271,0.0,0.0,7.232323232323233
4.3232323232323235,0.5800000000000001,3.6547513578399142,31.77439803550587,8.341843270528814,301.18242495366366,8.341843270528543,301.18242495363995,8.341843270528543,301.18242495363995,D100E41_monitor,4.6870919126889,4.687091912688628,4.687091912688628,0.0,0.0,7.232323232323233
4.3232323232323235,0.675,3.663605921456406,32.02444854782814,8.379083250260505,304.42251883791704,8.37908325026023,304.422518837893,8.37908325026023,304.422518837893,D100E41_monitor,4.715477328804099,4.715477328803824,4.715477328803824,0.0,0.0,7.232323232323233
4.3232323232323235,0.77,3.672468598956088,32.27570958275902,8.416445703560939,307.6906894438671,8.416445703560663,307.69068944384304,8.416445703560663,307.69068944384304,D100E41_monitor,4.74397710460485,4.743977104604575,4.743977104604575,0.0,0.0,7.232323232323233
4.3232323232323235,0.865,3.681339346018513,32.5281825730761,8.454076078578707,310.9999332648521,8.45407607857843,310.99993326482763,8.45407607857843,310.99993326482763,D100E41_monitor,4.772736732560194,4.772736732559917,4.772736732559917,0.0,0.0,7.232323232323233
4.3232323232323235,0.96,3.6902181181887537,32.781868930500224,8.491977607423713,314.35091490124597,8.491977607423435,314.3509149012213,8.491977607423435,314.3509149012213,D100E41_monitor,4.80175948923496,4.801759489234681,4.801759489234681,0.0,0.0,7.232323232323233
4.3232323232323235,1.055,3.699104870878316,33.036770045602495,8.529437492162105,317.6804934665417,8.529437492161824,317.6804934665166,8.529437492161824,317.6804934665166,D100E41_monitor,4.830332621283789,4.8303326212835085,4.8303326212835085,0.0,0.0,7.232323232323233
4.3232323232323235,1.15,3.7079995593660713,33.29288728771237,8.566637397080845,321.00432238273555,8.566637397080564,321.0043223827105,8.566637397080564,321.0043223827105,D100E41_monitor,4.858637837714774,4.858637837714493,4.858637837714493,0.0,0.0,7.232323232323233
4.3232323232323235,1.245,3.716902138798974,33.55022200482037,8.604096642534852,324.36880271863697,8.604096642534572,324.3688027186117,8.604096642534572,324.3688027186117,D100E41_monitor,4.887194503735879,4.887194503735598,4.887194503735598,0.0,0.0,7.232323232323233
4.3232323232323235,1.34,3.725812564193121,33.80877552349112,8.64181828058626,327.77457505645833,8.641818280585978,327.77457505643275,8.641818280585978,327.77457505643275,D100E41_monitor,4.91600571639314,4.916005716392857,4.916005716392857,0.0,0.0,7.232323232323233
4.3232323232323235,1.435,3.734730790434521,34.06854914876876,8.679805412551168,331.2222927788079,8.679805412550886,331.22229277878233,8.679805412550886,331.22229277878233,D100E41_monitor,4.945074622116648,4.9450746221163655,4.9450746221163655,0.0,0.0,7.232323232323233
4.3232323232323235,1.53,3.743656772280053,34.329544164088475,8.718061190000338,334.71262237868217,8.718061190000054,334.7126223786562,8.718061190000054,334.7126223786562,D100E41_monitor,4.974404417720285,4.974404417720001,4.974404417720001,0.0,0.0,7.232323232323233
4.3232323232323235,1.625,3.7525904643583288,34.591761831185856,8.756588815784562,338.24624377829065,8.756588815784275,338.2462437782641,8.756588815784275,338.2462437782641,D100E41_monitor,5.003998351426233,5.003998351425945,5.003998351425945,0.0,0.0,7.232323232323233
4.3232323232323235,1.72,3.761531821170633,34.85520339000927,8.795391545085296,341.82385065699424,8.795391545085007,341.82385065696747,8.795391545085007,341.82385065696747,D100E41_monitor,5.033859723914663,5.033859723914373,5.033859723914373,0.0,0.0,7.232323232323233
4.3232323232323235,1.815,3.770480797091745,35.119870058629466,8.834472686491532,345.44615078867884,8.834472686491242,345.4461507886519,8.834472686491242,345.4461507886519,D100E41_monitor,5.063991889399787,5.063991889399498,5.063991889399498,0.0,0.0,7.232323232323233
4.3232323232323235,1.91,3.779437346370925,35.38576303315442,8.873835603103567,349.1138663888653,8.873835603103277,349.11386638883823,8.873835603103277,349.11386638883823,D100E41_monitor,5.094398256732642,5.094398256732353,5.094398256732353,0.0,0.0,7.232323232323233
4.3232323232323235,2.005,3.7884014231328256,35.652883487643166,8.913333702540566,352.81364578582446,8.913333702540275,352.8136457857971,8.913333702540275,352.8136457857971,D100E41_monitor,5.124932279407741,5.124932279407449,5.124932279407449,0.0,0.0,7.232323232323233
4.3232323232323235,2.1,3.797372981378368,35.921232574018774,8.950394862737296,356.30289114531087,8.950394862737003,356.30289114528324,8.950394862737003,356.30289114528324,D100E41_monitor,5.153021881358928,5.153021881358635,5.153021881358635,0.0,0.0,7.232323232323233
4.3232323232323235,2.1950000000000003,3.806351974985709,36.19081142198514,8.987699361409296,359.83238499456894,8.987699361409001,359.83238499454103,8.987699361409001,359.83238499454103,D100E41_monitor,5.181347386423587,5.181347386423292,5.181347386423292,0.0,0.0,7.232323232323233
4.3232323232323235,2.29,3.8153383577111057,36.46162113894113,9.025249917285205,363.4027268816126,9.02524991728491,363.4027268815844,9.02524991728491,363.4027268815844,D100E41_monitor,5.209911559574099,5.209911559573804,5.209911559573804,0.0,0.0,7.232323232323233
