D,level,dr,dz,mode_n,lambda_n,window_E_lo,window_E_hi,Nps_lambda_n,g_raw_n,g_hat_to_g3
6.0,mid,0.08,0.04,3,0.92417333515065,0.6986535462850263,0.92417333515065,36.772363085398005,10.378736563512476,1.0
6.0,mid,0.08,0.04,4,1.1451017975463476,0.6986535462850263,1.1451017975463476,45.96015923674036,19.56653271485483,1.8852518892947918
6.0,mid,0.08,0.04,5,1.416681153927775,0.6986535462850263,1.416681153927775,57.254384246446044,30.860757724560514,2.973459971327792
6.0,mid,0.08,0.04,6,1.7472347780053439,0.6986535462850263,1.7472347780053439,71.00118392168473,44.6075573997992,4.297975685848091
6.0,mid,0.08,0.04,7,2.1436204020131027,0.6986535462850263,2.1436204020131027,87.48575214442019,61.09212562253466,5.886277703329552
6.0,mid,0.08,0.04,8,2.597975652360793,0.6986535462850263,2.597975652360793,106.38111481167965,79.98748828979413,7.706861793852484
6.0,mid,0.08,0.04,9,3.1125114316718814,0.6986535462850263,3.1125114316718814,127.77921717304577,101.38559065116024,9.76858695957192
6.0,mid,0.08,0.04,10,3.2942934284582974,0.6986535462850263,3.2942934284582974,135.3390214298018,108.94539490791627,10.496980460119307
6.0,mid,0.08,0.04,11,3.3791141519284134,0.6986535462850263,3.3791141519284134,138.8664778208982,112.47285129901269,10.83685385121178
6.0,mid,0.08,0.04,12,3.5200834443979767,0.6986535462850263,3.5200834443979767,144.7289959806884,118.33536945880289,11.40171240831212
6.0,mid,0.08,0.04,13,3.6884272417410537,0.6986535462850263,3.6884272417410537,151.72994314955443,125.33631662766891,12.076259558249289
6.0,mid,0.08,0.04,14,3.7415109113362557,0.6986535462850263,3.7415109113362557,153.93754433374403,127.5439178118585,12.28896378970176
6.0,mid,0.08,0.04,15,4.012636010333615,0.6986535462850263,4.012636010333615,165.212878050767,138.81925152888147,13.375351679790672
6.0,mid,0.08,0.04,16,4.325041421991318,0.6986535462850263,4.325041421991318,178.20494438645824,151.81131786457271,14.627148202053913
6.0,mid,0.08,0.04,17,4.3431076707781004,0.6986535462850263,4.3431076707781004,178.95626908800386,152.56264256611834,14.699538969171655
