D,level,dr,dz,mode_n,lambda_n,window_E_lo,window_E_hi,Nps_lambda_n,g_raw_n,g_hat_to_g3,grid_index
4.405063291139241,fine,0.06,0.03,19,5.702264959620404,0.7322168205682564,5.702264959620404,208.96382957595517,184.50660241415292,16.630107128685708,2
4.405063291139241,fine,0.06,0.03,20,5.937477080901443,0.7322168205682564,5.937477080901443,217.64844912395435,193.1912219621521,17.412876696632754,2
4.405063291139241,fine,0.06,0.03,21,6.323115954251275,0.7322168205682564,6.323115954251275,231.88720042521345,207.4299732634112,18.69625602517915,2
4.405063291139241,fine,0.06,0.03,22,6.849779703293542,0.7322168205682564,6.849779703293542,251.3329426992266,226.87571553742436,20.44895632415146,2
4.405063291139241,fine,0.06,0.03,23,7.016419185747831,0.7322168205682564,7.016419185747831,257.48568899014515,233.0284618283429,21.003520923004807,2
4.405063291139241,fine,0.06,0.03,24,7.783501327159414,0.7322168205682564,7.783501327159414,285.8082793564142,261.35105219461195,23.556316897729268,2
4.405063291139241,fine,0.06,0.03,25,7.834971242012758,0.7322168205682564,7.834971242012758,287.70867728758685,263.2514501257846,23.727605191855424,2
4.405063291139241,fine,0.06,0.03,26,8.23566783080156,0.7322168205682564,8.23566783080156,302.5033970871414,278.0461699253392,25.061095549307307,2
4.405063291139241,fine,0.06,0.03,27,8.332532489588296,0.7322168205682564,8.332532489588296,306.07988245119463,281.62265528939236,25.383454391593474,2
4.405063291139241,fine,0.06,0.03,28,8.510711511493817,0.7322168205682564,8.510711511493817,312.65869738750126,288.20147022569904,25.97642177454381,2
4.405063291139241,fine,0.06,0.03,29,8.621665696952647,0.7322168205682564,8.621665696952647,316.75540330010494,292.29817613830267,26.34566958090899,2
4.405063291139241,fine,0.06,0.03,30,8.773475083761152,0.7322168205682564,8.773475083761152,322.3605853845419,297.9033582227396,26.85088065368535,2
4.405063291139241,fine,0.06,0.03,31,8.89209616845659,0.7322168205682564,8.89209616845659,326.7403723842092,302.2831452224069,27.24564336706403,2
4.405063291139241,fine,0.06,0.03,32,9.097847705909707,0.7322168205682564,9.097847705909707,334.33723352582194,309.88000636401966,27.930370162602696,2
4.405063291139241,fine,0.06,0.03,33,9.500115841442868,0.7322168205682564,9.500115841442868,349.1899787600451,324.7327515982429,29.269090518234055,2
4.405063291139241,fine,0.06,0.03,34,9.534460488623619,0.7322168205682564,9.534460488623619,350.4580689955763,326.0008418337741,29.383387113530887,2
4.405063291139241,fine,0.06,0.03,35,9.975024285810026,0.7322168205682564,9.975024285810026,366.72478579719143,342.26755863538915,30.8495527656176,2
4.405063291139241,fine,0.06,0.03,36,10.023270113668321,0.7322168205682564,10.023270113668321,368.5061423762893,344.048915214487,31.010111522633192,2
4.405063291139241,fine,0.06,0.03,37,10.5174446930172,0.7322168205682564,10.5174446930172,386.7523032822983,362.2950761204961,32.65469012623818,2
4.405063291139241,fine,0.06,0.03,38,10.525433099019377,0.7322168205682564,10.525433099019377,387.04725520291373,362.5900280411115,32.68127498538937,2
4.405063291139241,fine,0.06,0.03,39,11.142745833835038,0.7322168205682564,11.142745833835038,409.8399846541449,385.38275749234265,34.735648799494406,2
4.405063291139241,fine,0.06,0.03,40,11.226348621766363,0.7322168205682564,11.226348621766363,412.92680859153927,388.469581429737,35.01387305865144,2
4.6075949367088604,fine,0.06,0.03,1,0.7304339794709322,0.7304339794709322,0.7304339794709322,25.729525895439256,1.0,0.09131564110177463,3
4.6075949367088604,fine,0.06,0.03,2,0.8244375845888614,0.7304339794709322,0.8244375845888614,29.244790708824222,4.515264813384967,0.412314301178533,3
4.6075949367088604,fine,0.06,0.03,3,0.9965397807545939,0.7304339794709322,0.9965397807545939,35.680552334441785,10.95102643900253,1.0,3
4.6075949367088604,fine,0.06,0.03,4,1.254539173139183,0.7304339794709322,1.254539173139183,45.32843961266349,20.59891371722423,1.8810030120884702,3
4.6075949367088604,fine,0.06,0.03,5,1.5699378069543521,0.7304339794709322,1.5699378069543521,57.12277152418174,32.39324562874249,2.9580099919558793,3
4.6075949367088604,fine,0.06,0.03,6,1.9617481651338244,0.7304339794709322,1.9617481651338244,71.7745198683031,47.04499397286385,4.295943785261186,3
4.6075949367088604,fine,0.06,0.03,7,2.42603653104901,0.7304339794709322,2.42603653104901,89.13658331170147,64.40705741626222,5.881371739444793,3
4.6075949367088604,fine,0.06,0.03,8,2.9584752663111726,0.7304339794709322,2.9584752663111726,109.04712981683004,84.31760392139078,7.699516058247306,3
4.6075949367088604,fine,0.06,0.03,9,3.41462335087074,0.7304339794709322,3.41462335087074,126.10478743893506,101.37526154349581,9.257146999704398,3
4.6075949367088604,fine,0.06,0.03,10,3.509083454525691,0.7304339794709322,3.509083454525691,129.63712301511194,104.90759711967269,9.579704487429597,3
4.6075949367088604,fine,0.06,0.03,11,3.563942637049706,0.7304339794709322,3.563942637049706,131.68858214559745,106.9590562501582,9.76703479312397,3
4.6075949367088604,fine,0.06,0.03,12,3.6811534133392474,0.7304339794709322,3.6811534133392474,136.07167912494492,111.34215322950567,10.167280103804337,3
4.6075949367088604,fine,0.06,0.03,13,3.939253574332183,0.7304339794709322,3.939253574332183,145.7233346452757,120.99380874983646,11.048627215336825,3
4.6075949367088604,fine,0.06,0.03,14,4.240148621122075,0.7304339794709322,4.240148621122075,156.9753049199837,132.24577902454445,12.076108094629896,3
4.6075949367088604,fine,0.06,0.03,15,4.254517815149879,0.7304339794709322,4.254517815149879,157.5126409306535,132.78311503521425,12.125175276931278,3
