z,U
-66.22,-1.9556520345142965e-09
-66.2,-1.9585281494070613e-09
-66.18,-1.9614093579914043e-09
-66.16,-1.964295670828522e-09
-66.14,-1.9671870985047114e-09
-66.12,-1.970083651631457e-09
-66.1,-1.9729853408454863e-09
-66.08,-1.9758921768088374e-09
-66.06,-1.978804170208936e-09
-66.03999999999999,-1.9817213317586555e-09
-66.02,-1.9846436721963832e-09
-66.0,-1.9875712022861e-09
-65.98,-1.9905039328174397e-09
-65.96,-1.9934418746057635e-09
-65.94,-1.9963850384922195e-09
-65.92,-1.999333435343826e-09
-65.9,-2.0022870760535332e-09
-65.88,-2.005245971540296e-09
-65.86,-2.008210132749134e-09
-65.84,-2.0111795706512207e-09
-65.82,-2.0141542962439398e-09
-65.8,-2.017134320550955e-09
-65.78,-2.020119654622291e-09
-65.76,-2.023110309534397e-09
-65.74,-2.026106296390224e-09
-65.72,-2.0291076263192827e-09
-65.7,-2.0321143104777335e-09
-65.68,-2.0351263600484485e-09
-65.66,-2.0381437862410873e-09
-65.64,-2.041166600292158e-09
-65.62,-2.04419481346511e-09
-65.6,-2.0472284370503925e-09
-65.58,-2.0502674823655274e-09
-65.56,-2.0533119607551897e-09
-65.53999999999999,-2.0563618835912805e-09
-65.52,-2.0594172622729915e-09
-65.5,-2.062478108226888e-09
-65.48,-2.0655444329069835e-09
-65.46,-2.0686162477948087e-09
-65.44,-2.0716935643994863e-09
-65.42,-2.0747763942578084e-09
-65.4,-2.0778647489343163e-09
-65.38,-2.080958640021367e-09
-65.36,-2.084058079139211e-09
-65.34,-2.0871630779360724e-09
-65.32,-2.0902736480882214e-09
-65.3,-2.0933898013000495e-09
-65.28,-2.096511549304148e-09
-65.26,-2.099638903861389e-09
-65.24,-2.1027718767609926e-09
-65.22,-2.105910479820608e-09
-65.2,-2.109054724886396e-09
-65.18,-2.112204623833102e-09
-65.16,-2.115360188564136e-09
-65.14,-2.1185214310116404e-09
-65.12,-2.121688363136589e-09
-65.1,-2.124860996928849e-09
-65.08,-2.1280393444072613e-09
-65.06,-2.1312234176197253e-09
-65.03999999999999,-2.134413228643279e-09
-65.02,-2.1376087895841695e-09
-65.0,-2.1408101125779403e-09
-64.98,-2.1440172097895127e-09
-64.96,-2.1472300934132624e-09
-64.94,-2.1504487756730952e-09
-64.92,-2.153673268822537e-09
-64.9,-2.156903585144812e-09
-64.88,-2.1601397369529227e-09
-64.86,-2.1633817365897257e-09
-64.84,-2.1666295964280284e-09
-64.82,-2.169883328870656e-09
-64.8,-2.1731429463505374e-09
-64.78,-2.1764084613307972e-09
-64.76,-2.1796798863048248e-09
-64.74,-2.18295723379637e-09
-64.72,-2.1862405163596116e-09
-64.7,-2.189529746579256e-09
-64.68,-2.192824937070612e-09
-64.66,-2.1961261004796795e-09
-64.64,-2.1994332494832242e-09
-64.62,-2.202746396788877e-09
-64.6,-2.20606555513521e-09
-64.58,-2.2093907372918185e-09
-64.56,-2.2127219560594127e-09
-64.53999999999999,-2.2160592242699052e-09
-64.52,-2.219402554786482e-09
-64.5,-2.2227519605037117e-09
-64.48,-2.226107454347611e-09
-64.46,-2.229469049275747e-09
-64.44,-2.232836758277306e-09
-64.42,-2.236210594373201e-09
-64.4,-2.2395905706161486e-09
-64.38,-2.2429767000907544e-09
-64.36,-2.246368995913604e-09
-64.34,-2.2497674712333543e-09
-64.32,-2.2531721392308225e-09
-64.3,-2.2565830131190624e-09
-64.28,-2.2600001061434693e-09
-64.26,-2.2634234315818607e-09
-64.24,-2.2668530027445733e-09
-64.22,-2.270288832974538e-09
-64.2,-2.2737309356473858e-09
