D,eta,generic_offdiag_k11,generic_offdiag_k_bg,generic_offdiag_k22,generic_offdiag_e_part,generic_offdiag_e_tree,generic_offdiag_det_ratio_ref,generic_offdiag_q_inferred,generic_offdiag_q_geomean,generic_offdiag_q_residual,generic_offdiag_rho_inferred,generic_offdiag_rho_residual,generic_offdiag_schur_from_q,generic_offdiag_schur_from_det,generic_offdiag_positive_cone,generic_offdiag_positive_q
14.4,0.2,1.5288677337858356,1.195999582362392,1.8918082519709034,0.5288677337858356,0.6958086696085115,2.4183324455975552,4.440892098500626e-16,0.3679907542443907,-0.36799075424439026,1.206794477111056e-15,-0.9999999999999988,1.5817800272422493,1.5817800272422495,1,1
15.2,0.2,1.526691794633058,1.2635129579283289,2.0816055557919326,0.526691794633058,0.8180925978636038,2.515186015108835,-8.881784197001252e-16,0.4308826585448021,-0.430882658544803,-2.0612999898852383e-15,-1.000000000000002,1.647474640232387,1.6474746402323872,1,1
16.0,0.2,1.5223665031335394,1.3217878591111365,2.1085905614525933,0.5223665031335394,0.7868027023414568,2.428564930031686,1.7763568394002505e-15,0.4109993762781258,-0.41099937627812405,4.322042664605356e-15,-0.9999999999999957,1.59525641495191,1.5952564149519102,1,1
16.8,0.2,1.5107813949965139,1.3729068193667717,2.205333321105453,0.5107813949965139,0.8324265017386812,2.4268045757313024,4.440892098500626e-16,0.42518796979015155,-0.4251879697901511,1.0444538448941528e-15,-0.999999999999999,1.6063241073583001,1.6063241073583,1,1
17.6,0.2,1.53334510636259,1.2679119024066776,1.946628624197221,0.53334510636259,0.6787167217905434,2.3541489508478253,0.0,0.36199024217344583,-0.36199024217344583,0.0,-1.0,1.5353027450111023,1.5353027450111023,1,1
18.4,0.2,1.0,1.20297833384972,1.20297833384972,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-1.0,1.0,1.0,1,1
19.200000000000003,0.2,1.0,1.2685122027208124,1.2685122027208124,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-1.0,1.0,1.0,1,1
20.0,0.2,1.0,1.3261537967964965,1.3261537967964965,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-1.0,1.0,1.0,1,1
4.0,0.39,1.3997530765888655,1.052928468881864,1.9332909404243455,0.3997530765888655,0.8803624715424814,2.570098560136832,8.881784197001252e-16,0.3519276065124845,-0.3519276065124836,2.5237531903272766e-15,-0.9999999999999974,1.8361085273697306,1.8361085273697308,1,1
4.8,0.39,1.386464393680802,1.3330127461264274,2.362656094939313,0.3864643936808021,1.0296433488128858,2.457394769603804,0.0,0.3979204925064425,-0.3979204925064425,0.0,-1.0,1.7724182321623734,1.7724182321623734,1,1
5.6,0.39,1.3740116859662583,1.0489632309804584,2.1633364068573693,0.37401168596625833,1.1143731758769109,2.833702284225877,0.0,0.41678859030529714,-0.41678859030529714,0.0,-1.0,2.062356756618928,2.062356756618928,1,1
6.4,0.39,1.4087568675125235,1.2368422574530327,2.3109327295705353,0.4087568675125235,1.0740904721175026,2.6321403020672403,0.0,0.43904185680779784,-0.43904185680779784,0.0,-1.0,1.868413466345598,1.868413466345598,1,1
7.2,0.39,1.4653970822022533,1.5397550802947837,2.1316916444890017,0.4653970822022533,0.591936564194218,2.028747789805028,4.440892098500626e-16,0.2754855498248159,-0.27548554982481543,1.612023607526651e-15,-0.9999999999999983,1.384435532487993,1.3844355324879933,1,1
8.0,0.39,1.4813765101636158,1.5891268740470006,2.147171927348574,0.4813765101636158,0.5580450533015735,2.001583453407031,0.0,0.26862978027238044,-0.26862978027238044,0.0,-1.0,1.3511645686794096,1.3511645686794096,1,1
