eta,D,xi_target,quartic_target
1.15,9.2,0.14847929269150612,0.002032079527440277
1.15,9.6,0.14741767430172426,0.002017242262785594
1.15,10.0,0.14759160736922278,0.002021786874181065
1.15,10.4,0.1450526166607458,0.001980873350565659
1.15,10.8,0.14294101283333055,0.0019458395233388
1.15,11.2,0.14065751984793234,0.0019070914146688959
1.15,11.6,0.13737451711104315,0.0018502431083772374
1.15,12.0,0.13324067710388318,0.0017771167617290596
1.15,12.4,0.13875790314896458,0.0018805506282283256
1.15,12.8,0.14352234713863365,0.00197038862612541
1.15,13.2,0.13666082786063935,0.0018485793520288403
1.15,13.6,0.13171963351055446,0.001757276583751308
1.15,14.0,0.12575400241608875,0.0016459577881897487
1.15,14.4,0.12722667306782962,0.0016733497095827608
1.15,14.8,0.1319846760637681,0.001761374358710921
1.15,15.2,0.13559822399259677,0.0018273148857232103
1.15,15.6,0.1324838875772423,0.0017699987578654094
1.15,16.0,0.12811461052351,0.0016890984080500508
1.15,16.4,0.12602279482015488,0.0016502572838107226
1.15,16.8,0.12424926174584706,0.0016172820024074155
1.15,17.200000000000003,0.12463790534024324,0.001624459154912076
1.15,17.6,0.1212757159530009,0.0015619019428037516
1.15,18.0,0.10707160549955172,0.001292457640191751
1.15,18.4,0.10502599838695137,0.0012542352936231239
1.15,18.8,0.0,0.0
1.15,19.200000000000003,0.0,0.0
1.15,19.6,0.0,0.0
1.15,20.0,0.0,0.0
2.1,4.0,0.1294646066993198,0.0016303151657578053
2.1,4.4,0.09737282767958506,0.0011142149092531275
2.1,4.8,0.12148306025067343,0.0015014972763403105
2.1,5.2,0.13989035653569795,0.001743185712407895
2.1,5.6,0.1402256904528116,0.0017347616776434529
2.1,6.0,0.14230186658640012,0.0017462720614352476
2.1,6.4,0.13486053880486845,0.001727430389698262
2.1,6.800000000000001,0.11600650506671409,0.0014509651728860714
2.1,7.2,0.088189962866343,0.0009584075602198569
2.1,7.6,0.08642620295646346,0.0009263212540601436
2.1,8.0,0.08445432448687822,0.0008908612842714176
2.1,8.4,0.10040767747102862,0.0011754530770435702
2.1,8.8,0.12831275132780268,0.0016843679010705756
