D,eta,coeff_l1,coeff_l2,tree_diag_susceptibility_parented,coeff_participation_access_parented,tree_diag_compressibility_parented,stationarity_s_part,stationarity_s_schur,stationarity_response_action,stationarity_response_weight,stationarity_score_alpha,stationarity_score_beta,stationarity_cross_xi,stationarity_lambda_quartic_density,eymh_parented_prefactor_diag
15.2,0.5800000000000001,0.4601552854202659,0.3015134153076025,0.6482190155803226,0.809470661258451,0.7789194344407162,0.4227494991241369,0.499695320460743,0.9224448195848799,0.6305124296637852,-0.21137474956206845,-0.2498476602303715,0.13558768717289055,0.0018271231449814998,0.0417237648573981
16.0,0.5800000000000001,0.4760490655578193,0.3127084632839413,0.5955157136504577,0.8104830919610515,0.791679605354499,0.420249598537704,0.467197015418755,0.887446613956459,0.6416429343902195,-0.210124799268852,-0.2335985077093775,0.12806621536388976,0.0016880915345398656,0.043503074629235
16.8,0.5800000000000001,0.4911538066157465,0.3230784583082524,0.5615203171497524,0.8110455462011041,0.8002509168088998,0.41886213179953374,0.4456599089594254,0.8645220407589591,0.6490399419212085,-0.20943106589976687,-0.2228299544797127,0.12305643834295368,0.0015947460640022518,0.0431099782091254
17.6,0.5800000000000001,0.4410367983505291,0.2876304861315658,0.5353027450111022,0.8075697528076582,0.8070547292918159,0.42745169286002205,0.42872758961253343,0.8561792824725555,0.6517529882364432,-0.21372584643001102,-0.21436379480626672,0.12127571595302501,0.0015619019428042065,0.0407600933091185
18.4,0.5800000000000001,0.4179237790947546,0.2712877898789954,0.4272097161359024,0.8056874198342772,0.8370590634547069,0.43211885655718146,0.3557212906510838,0.7878401472082652,0.6744079570837195,-0.21605942827859073,-0.1778606453255419,0.10502599838694987,0.0012542352936230933,0.0395745521139277
19.200000000000003,0.5800000000000001,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,-0.0,-0.0,0.0,0.0,0.0580670617382019
20.0,0.5800000000000001,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,-0.0,-0.0,0.0,0.0,0.0622911350603241
4.0,0.77,0.5364584592089878,0.3835708045628055,0.8376956360449984,0.8455800398790628,0.7376718451657012,0.3354648987777554,0.6085124150333935,0.9439773138111489,0.6237605882528754,-0.1677324493888777,-0.30425620751669674,0.12991191646552558,0.0016416245920110966,0.0433249215823191
4.8,0.77,0.5497110230148701,0.3964740029090691,0.7723477072370981,0.8492589549323879,0.7511480361088653,0.3267822549569517,0.5723050559794318,0.8990873109363835,0.6379191961453304,-0.16339112747847584,-0.2861525279897159,0.12147675612764783,0.001501266256110505,0.0392194791398549
5.6,0.77,0.5468249482554217,0.3979739676089307,1.0623426275300774,0.8531063451805618,0.6963371902213304,0.3177421346058121,0.7238425345119694,1.0415846691177815,0.5940496753630209,-0.15887106730290604,-0.3619212672559847,0.14021909812623726,0.001734602121992518,0.0448967473081261
