q_ss,q_dd,q_sd,mean_objective,max_objective,max_abs_det_ratio_residual,max_abs_schur_residual,max_abs_weight_residual,mean_abs_xi_residual,max_abs_xi_residual,"corr(xi_gen, xi_target)"
0.025,-0.0125,0.025,6.712018140589542e+28,8.390022675736926e+28,1.0207497688907629e+68,1.0207497688907629e+68,999999999999997.9,1.9863082053735097e+68,2.5518744222269075e+69,-0.8705338866142933
0.025,0.0,-0.025,6.712018140589542e+28,8.390022675736926e+28,1.0207497688907629e+68,1.0207497688907629e+68,999999999999997.9,1.9863082053735097e+68,2.5518744222269075e+69,-0.8705338866142933
0.025,0.0,-0.0125,6.712018140589542e+28,8.390022675736926e+28,1.0207497688907629e+68,1.0207497688907629e+68,999999999999997.9,1.9863082053735097e+68,2.5518744222269075e+69,-0.8705338866142933
0.025,0.0,0.0,6.712018140589542e+28,8.390022675736926e+28,1.0207497688907629e+68,1.0207497688907629e+68,999999999999997.9,1.9863082053735097e+68,2.5518744222269075e+69,-0.8705338866142933
0.025,0.0,0.0125,6.712018140589542e+28,8.390022675736926e+28,1.0207497688907629e+68,1.0207497688907629e+68,999999999999997.9,1.9863082053735097e+68,2.5518744222269075e+69,-0.8705338866142933
0.025,0.0,0.025,6.712018140589542e+28,8.390022675736926e+28,1.0207497688907629e+68,1.0207497688907629e+68,999999999999997.9,1.9863082053735097e+68,2.5518744222269075e+69,-0.8705338866142933
0.025,0.0125,-0.025,6.712018140589542e+28,8.390022675736926e+28,1.0207497688907629e+68,1.0207497688907629e+68,999999999999997.9,1.9863082053735097e+68,2.5518744222269075e+69,-0.8705338866142933
0.025,0.0125,-0.0125,6.712018140589542e+28,8.390022675736926e+28,1.0207497688907629e+68,1.0207497688907629e+68,999999999999997.9,1.9863082053735097e+68,2.5518744222269075e+69,-0.8705338866142933
0.025,0.0125,0.0,6.712018140589542e+28,8.390022675736926e+28,1.0207497688907629e+68,1.0207497688907629e+68,999999999999997.9,1.9863082053735097e+68,2.5518744222269075e+69,-0.8705338866142933
0.025,0.0125,0.0125,6.712018140589542e+28,8.390022675736926e+28,1.0207497688907629e+68,1.0207497688907629e+68,999999999999997.9,1.9863082053735097e+68,2.5518744222269075e+69,-0.8705338866142933
0.025,0.0125,0.025,6.712018140589542e+28,8.390022675736926e+28,1.0207497688907629e+68,1.0207497688907629e+68,999999999999997.9,1.9863082053735097e+68,2.5518744222269075e+69,-0.8705338866142933
