beta,gamma,best_center_D_eff,best_width_D_eff,best_implied_center_D,D,slice_corr_quartic,slice_p95_abs_xi_resid,slice_p95_abs_quartic_resid,slice_mean_quartic_gap
0.6,1.25,13.6,0.4,17.0,8.0,,0.030462431394717382,0.0007585653909210117,0.000758565362459483
0.6,1.25,13.6,0.4,17.0,8.8,,0.0013381512348270563,3.494876379471208e-05,3.4948760656852316e-05
0.6,1.25,13.6,0.4,17.0,9.6,,0.014116057303732943,0.00036782785897233904,0.00036782785822948015
0.6,1.25,13.6,0.4,17.0,10.4,,0.012691112140744198,0.00033146205732182787,0.00033146204461615477
0.6,1.25,13.6,0.4,17.0,11.2,,0.00984735786721,0.00025768163096257977,0.0002576815940416783
0.6,1.25,13.6,0.4,17.0,12.0,,0.0048764874647193035,0.00012770127823440126,0.00012770109253500334
0.6,1.25,13.6,0.4,17.0,12.8,,0.012222461378865568,0.00032130948086157916,0.00032130766025453687
0.6,1.25,13.6,0.4,17.0,13.6,,0.004169986985980312,0.00010950317150573686,0.00010948443363788967
0.6,1.25,13.6,0.4,17.0,14.4,,0.001047447924037409,2.7440105059652053e-05,2.7392832183258066e-05
0.6,1.25,13.6,0.4,17.0,15.2,,0.006959769652823938,0.0001827701843038472,0.00018254298360251405
0.6,1.25,13.6,0.4,17.0,16.0,0.7859377329846622,0.0012113253204309449,3.1790322057041916e-05,3.057628596490956e-05
0.6,1.25,13.6,0.4,17.0,16.8,0.9882174471046639,0.004595482679399132,0.00012133408106837192,0.00010819060572913328
0.6,1.25,13.6,0.4,17.0,17.6,0.9708176735478922,0.0031174547134726893,8.022304365934451e-05,5.2429785173049945e-05
