p_part,p_tree,mean_objective,max_objective,max_abs_det_ratio_residual,max_abs_schur_residual,max_abs_weight_residual,mean_abs_xi_residual,max_abs_xi_residual,"corr(xi_gen, xi_target)",part_anchor_leak,tree_anchor_leak,part_onset_residual,tree_onset_residual
2.0,2.0,0.03290273881944213,0.11980197819140737,0.012994742875585441,0.00945685167919974,0.0013783912875816595,0.014558838905252936,0.11464393017700808,0.9944328652406859,0.0,0.0,0.0797443620592388,0.048429617536270564
-0.5,-0.5,0.032874602536842504,0.11980197819140737,0.008757654415451732,0.006373334175023615,0.0009616709033556381,0.012725232774437807,0.07839896023356673,0.9884705615816469,0.0,0.0,0.08078887106821,0.05690622919854274
-1.0,-0.5,0.032873076208872275,0.11980197819140737,0.009282000589922124,0.006754924180151001,0.0010387347887933496,0.014013154262303772,0.08469754187074903,0.9860426899104118,0.0,0.0,0.08296840372964603,0.0685400723467787
2.0,-1.0,0.03288245648054565,0.11980197819140737,0.00674581122713791,0.004909591654184364,0.0007118002287322955,0.006382801358643544,0.05951413136392179,0.979799595734728,0.0,0.0,0.08784695841342821,0.01953278687816118
1.5,-1.0,0.032880117066545166,0.11980197819140737,0.007506252070506925,0.005462820450477857,0.0007918739801897612,0.008063062222995267,0.06622264453412854,0.9823640289631925,0.0,0.0,0.09002697566600187,0.013605760716926124
1.25,-1.0,0.03287903552270775,0.11980197819140737,0.007856205206703937,0.005717395073750353,0.0008287153741858289,0.008997862160286143,0.06931004713189495,0.9832454661072316,0.0,0.0,0.09110347595893745,0.01871521397037551
1.0,-1.0,0.03287800790355285,0.11980197819140737,0.008187538523951599,0.005958435513504057,0.0008635902556327624,0.00989061796644109,0.07223317951331266,0.9838637673245108,0.0,0.0,0.09217107730452978,0.02413345598922856
0.75,-1.0,0.03287703089256233,0.11980197819140737,0.008501347294522343,0.006186808096735774,0.000896614915293692,0.010734047700950593,0.07500170453352659,0.9842234036881541,0.0,0.0,0.093229858792966,0.029375241206219455
0.5,-1.0,0.03287610140626599,0.11980197819140737,0.008798658664860515,0.006403174788923938,0.000927898345196243,0.011531378184462064,0.07762468401901472,0.9843299175567684,0.0,0.0,0.09427989882869764,0.03543198867391506
0.0,-1.0,0.032874373731860744,0.11980197819140737,0.009347583222826916,0.00680265157561033,0.0009924293381894378,0.01299950232441655,0.0824674784704693,0.983810643362173,0.0,0.0,0.09635406476598202,0.04884459859517576
-0.5,-1.0,0.03287280422201676,0.11980197819140737,0.009841326643964532,0.007161970597616918,0.0010691674587609556,0.01431646041515162,0.08718552078511294,0.9823686443196054,0.0,0.0,0.0983941888567201,0.0611704417672978
-1.0,-1.0,0.032871374935458116,0.11980197819140737,0.010286065919383969,0.007485627125785488,0.0011363866646582066,0.015500779879374768,0.09268224933071831,0.9800781894201785,0.0,0.0,0.10040134686613153,0.07250440201961511
