D,eta,C_tree_mumu,coeff_1,coeff_2,coeff_3,g_mu1_sq,g_mu2_sq,g_mu3_sq,mu_contrib_1,mu_contrib_2,mu_contrib_3,mu_share_1,mu_share_2,mu_share_3,y2_raw,p2_kin,m2_2,coeff2_kin_over_m2,C_tree_mumu_single_layer_pred,abs_single_layer_residual
14.4,0.2,2.793823306840649e-07,0.18123199361617928,0.2239921505598649,0.03938028102492916,1.116819705807796e-33,1.2472862552806118e-06,1.116819705807796e-33,2.0240346179338173e-34,2.793823306840649e-07,4.398067386888972e-35,7.244676544067724e-28,1.0,1.5742110018626971e-28,1.2472862552806118e-06,0.40536161206916,1.8097134701192203,0.2239921505598649,2.793823306840649e-07,0.0
15.2,0.2,1.465733532996885e-07,0.1902502738421679,0.2302952101463368,0.039463874647540406,7.977835172222724e-34,6.364585403515399e-07,7.977835172222724e-34,1.517785326183052e-34,1.4657335329968866e-07,3.148362871953365e-35,1.0355124529898284e-27,1.000000000000001,2.147977651514954e-28,6.364585403515399e-07,0.40134081661182885,1.7427232479425183,0.2302952101463368,1.4657335329968866e-07,1.5881867761018131e-22
16.0,0.2,5.61253032907805e-08,0.198977048678383,0.23804419084060746,0.03901792463887431,4.855685574782181e-34,2.3577682401147757e-07,4.855685574782181e-34,9.661699849803561e-35,5.6125303290780483e-08,1.894587738269202e-35,1.7214516952803093e-27,0.9999999999999998,3.375639198693505e-28,2.357768240114776e-07,0.4002060216619578,1.6812257432063638,0.23804419084060746,5.61253032907805e-08,0.0
16.8,0.2,2.705844584190968e-08,0.18579695569223972,0.2646156430676404,0.042213098762189746,3.1977438102683376e-34,1.0225565476109463e-07,3.1977438102683376e-34,5.941310650315601e-35,2.705844584190968e-08,1.349866752790383e-35,2.195732410142107e-27,1.0,4.9887076319055675e-28,1.0225565476109464e-07,0.4298613936229964,1.6244746101919467,0.2646156430676404,2.705844584190968e-08,0.0
17.6,0.2,7.139226485334225e-09,0.18962990788759787,0.21279271638670574,0.038614174076225596,1.8316698659802081e-34,3.355014497939953e-08,1.8316698659802081e-34,3.473393879663156e-35,7.139226485334225e-09,7.072841905513656e-36,4.865224386421113e-27,1.0,9.90701432437122e-28,3.355014497939953e-08,0.3906548896492393,1.835847092338004,0.21279271638670574,7.139226485334225e-09,0.0
18.4,0.2,0.0,0.0,0.0,0.0,1.0000000000000001e-34,1e-08,1.0000000000000001e-34,0.0,0.0,0.0,0.0,0.0,0.0,1e-08,0.0,1.9524807384358465,0.0,0.0,0.0
19.200000000000003,0.2,0.0,0.0,0.0,0.0,1.0000000000000001e-34,1e-08,1.0000000000000001e-34,0.0,0.0,0.0,0.0,0.0,0.0,1e-08,0.0,1.8861115867515161,0.0,0.0,0.0
20.0,0.2,0.0,0.0,0.0,0.0,1.0000000000000001e-34,1e-08,1.0000000000000001e-34,0.0,0.0,0.0,0.0,0.0,0.0,1e-08,0.0,1.823074165025783,0.0,0.0,0.0
4.0,0.39,0.001479879334397,0.05047928850893237,0.3565061096914386,0.1278347530823088,6.442874387242344e-32,0.0041510630369783405,6.442874387242344e-32,3.252317150204172e-33,0.0014798793343970764,8.236232564334566e-33,2.1976907674904315e-30,1.0000000000000515,5.56547576069136e-30,0.0041510630369783405,0.5853706716912267,1.6419653290034042,0.3565061096914386,0.0014798793343970766,7.654467337747661e-17
4.8,0.39,0.001568408250068,0.0770635397314149,0.3769212226032855,0.09565348986697202,6.450661658690802e-32,0.004161103583490356,6.450661658690802e-32,4.9711082102843336e-33,0.0015684082500680974,6.170282996048455e-33,3.169524395238807e-30,1.0000000000000622,3.934105164124797e-30,0.004161103583490356,0.5849602019713307,1.551942864695122,0.3769212226032855,0.0015684082500680974,9.73613550891983e-17
5.6,0.39,0.0013021843961999,0.10060937490647359,0.3791653936718843,0.06704733676645655,5.860327639121613e-32,0.00343434400378527,5.860327639121613e-32,5.8960390051915566e-33,0.0013021843961999171,3.929193607819601e-33,4.527806524481229e-30,1.000000000000013,3.0173864924859883e-30,0.00343434400378527,0.5591732939973773,1.4747477046422257,0.3791653936718843,0.0013021843961999171,1.713039432527097e-17
6.4,0.39,0.0006722762677837,0.12575208283544165,0.346867294921506,0.052361909041912465,4.4024275081853346e-32,0.0019381367964826934,4.4024275081853346e-32,5.536144286863492e-33,0.0006722762677837852,2.3051950874721382e-33,8.234924468053223e-30,1.0000000000001268,3.428940151452465e-30,0.0019381367964826932,0.5291957912640889,1.525643377199464,0.346867294921506,0.0006722762677837852,8.521829075736065e-17
7.2,0.39,0.000120965493191,0.15546122604775142,0.3068207005575024,0.04629896571465319,1.9855847179327196e-32,0.0003942546672087957,1.9855847179327196e-32,3.0868143467149925e-33,0.00012096549319106766,9.193051877910632e-34,2.551813963872348e-29,1.0000000000005593,7.599730828522433e-30,0.0003942546672087958,0.5022683346548296,1.6370092817798572,0.3068207005575024,0.00012096549319106767,6.768132061740761e-17
