D,R_tail,parity,R0,R1,center_mode,center_anchors,tube_radius_min,slab_index,station,R,point_index,z_real,z_imag,dH_dR_abs,s24_interval_L_bound,dH_over_s24_L,H_minus_abs,H_plus_abs,dF_dE_abs_min,curved_numerator_abs_max,dF_dE_CR_rel_mismatch_max
6.0,400.0,even,60.0,80.0,cubic_path,60;80;100;120,0.064,1.0,right,61.25,1.0,0.064,0.064,4.8389093873072226e-05,0.0002640627626675,0.18324845723894187,0.003069391806832878,0.003054275708878506,128.42950108471828,0.3961997657535128,1.2087124503496289e-07
6.0,400.0,even,60.0,80.0,cubic_path,60;80;100;120,0.064,1.0,right,61.25,2.0,-0.064,0.064,4.497865662462939e-05,0.0002640627626675,0.1703332047664183,0.0026807481732563994,0.0026666975141681503,134.84203167582385,0.36337351685264657,1.4015940480532382e-07
6.0,400.0,even,60.0,80.0,cubic_path,60;80;100;120,0.064,1.0,right,61.25,3.0,0.064,-0.064,5.1416464411847395e-05,0.0002640627626675,0.1947130443249565,0.0032485337739789,0.0032324693039829802,125.46113474595015,0.40960538468341057,2.611883432275993e-07
6.0,400.0,even,60.0,80.0,cubic_path,60;80;100;120,0.064,1.0,right,61.25,4.0,-0.064,-0.064,4.7978489924457835e-05,0.0002640627626675,0.18169350892110045,0.0028836645552345543,0.0028686784629823204,131.1093160405057,0.38002691685197204,9.666861919634272e-08
6.0,400.0,even,60.0,80.0,cubic_path,60;80;100;120,0.064,2.0,left,61.25,0.0,0.0,0.0,3.062680458644123e-05,0.0002640627626675,0.1159830499274356,0.00013889038048988625,0.0001437362718056032,3505.893206037749,0.5143006877380166,0.028944753023880162
6.0,400.0,even,60.0,80.0,cubic_path,60;80;100;120,0.064,2.0,left,61.25,1.0,0.064,0.064,4.8389093873072226e-05,0.0002640627626675,0.18324845723894187,0.003069391806832878,0.003054275708878506,128.42950108471828,0.3961997657535128,1.2087124503496289e-07
6.0,400.0,even,60.0,80.0,cubic_path,60;80;100;120,0.064,2.0,left,61.25,2.0,-0.064,0.064,4.497865662462939e-05,0.0002640627626675,0.1703332047664183,0.0026807481732563994,0.0026666975141681503,134.84203167582385,0.36337351685264657,1.4015940480532382e-07
6.0,400.0,even,60.0,80.0,cubic_path,60;80;100;120,0.064,2.0,left,61.25,3.0,0.064,-0.064,5.1416464411847395e-05,0.0002640627626675,0.1947130443249565,0.0032485337739789,0.0032324693039829802,125.46113474595015,0.40960538468341057,2.611883432275993e-07
6.0,400.0,even,60.0,80.0,cubic_path,60;80;100;120,0.064,2.0,left,61.25,4.0,-0.064,-0.064,4.7978489924457835e-05,0.0002640627626675,0.18169350892110045,0.0028836645552345543,0.0028686784629823204,131.1093160405057,0.38002691685197204,9.666861919634272e-08
6.0,400.0,even,60.0,80.0,cubic_path,60;80;100;120,0.064,2.0,mid,61.5625,0.0,0.0,0.0,3.220090588148368e-05,0.0002640627626675,0.12194413765953857,0.0001437362718056032,0.00015025323354000714,3272.144662420031,0.5039240187844597,0.028724698252230917
6.0,400.0,even,60.0,80.0,cubic_path,60;80;100;120,0.064,2.0,mid,61.5625,1.0,0.064,0.064,4.7952341048047175e-05,0.0002640627626675,0.18159448368881662,0.003054275708878506,0.003039295114790201,127.78487970659268,0.3922591054664409,1.2486692375718243e-07
6.0,400.0,even,60.0,80.0,cubic_path,60;80;100;120,0.064,2.0,mid,61.5625,2.0,-0.064,0.064,4.4466688503396966e-05,0.0002640627626675,0.16839439250807242,0.0026666975141681503,0.0026528064805734124,134.14175064813614,0.35958291067530246,1.3912294417285748e-07
6.0,400.0,even,60.0,80.0,cubic_path,60;80;100;120,0.064,2.0,mid,61.5625,3.0,0.064,-0.064,5.0967808799740935e-05,0.0002640627626675,0.1930139951762835,0.0032324693039829802,0.0032165446912665123,124.83957456757217,0.40554926690915644,1.8929926161795657e-07
6.0,400.0,even,60.0,80.0,cubic_path,60;80;100;120,0.064,2.0,mid,61.5625,4.0,-0.064,-0.064,4.745532184962847e-05,0.0002640627626675,0.17971228267948863,0.0028686784629823204,0.002853855279917913,130.43927614126247,0.37611047122174107,7.829432794754657e-08
6.0,400.0,even,60.0,80.0,cubic_path,60;80;100;120,0.064,2.0,right,61.875,0.0,0.0,0.0,3.41376724636801e-05,0.0002640627626675,0.12927863103009812,0.00015025323354000714,0.00015845946570162742,3016.6832166185873,0.4916503161392849,0.028086597495126025
6.0,400.0,even,60.0,80.0,cubic_path,60;80;100;120,0.064,2.0,right,61.875,1.0,0.064,0.064,4.7532320134352036e-05,0.0002640627626675,0.1800038735268529,0.003039295114790201,0.00302444493885406,127.1469732973116,0.3883759606363006,1.269287134672921e-07
6.0,400.0,even,60.0,80.0,cubic_path,60;80;100;120,0.064,2.0,right,61.875,2.0,-0.064,0.064,4.3962818733367774e-05,0.0002640627626675,0.16648624853146923,0.0026528064805734124,0.0026390725579817772,133.44834788066606,0.3558521054348383,1.378933987663737e-07
6.0,400.0,even,60.0,80.0,cubic_path,60;80;100;120,0.064,2.0,right,61.875,3.0,0.064,-0.064,5.0526075417168994e-05,0.0002640627626675,0.19134116036190205,0.0032165446912665123,0.0032007578064266132,124.22452058092946,0.4015520708352942,2.6464025817823405e-07
6.0,400.0,even,60.0,80.0,cubic_path,60;80;100;120,0.064,2.0,right,61.875,4.0,-0.064,-0.064,4.694048407063897e-05,0.0002640627626675,0.1777626030889673,0.002853855279917913,0.0028391924302258818,129.77588451089665,0.3722548169244125,6.885290855152536e-08
6.0,400.0,even,60.0,80.0,cubic_path,60;80;100;120,0.064,3.0,left,61.875,0.0,0.0,0.0,3.41376724636801e-05,0.0002640627626675,0.12927863103009812,0.00015025323354000714,0.00015845946570162742,3016.6832166185873,0.4916503161392849,0.028086597495126025
6.0,400.0,even,60.0,80.0,cubic_path,60;80;100;120,0.064,3.0,left,61.875,1.0,0.064,0.064,4.7532320134352036e-05,0.0002640627626675,0.1800038735268529,0.003039295114790201,0.00302444493885406,127.1469732973116,0.3883759606363006,1.269287134672921e-07
6.0,400.0,even,60.0,80.0,cubic_path,60;80;100;120,0.064,3.0,left,61.875,2.0,-0.064,0.064,4.3962818733367774e-05,0.0002640627626675,0.16648624853146923,0.0026528064805734124,0.0026390725579817772,133.44834788066606,0.3558521054348383,1.378933987663737e-07
6.0,400.0,even,60.0,80.0,cubic_path,60;80;100;120,0.064,3.0,left,61.875,3.0,0.064,-0.064,5.0526075417168994e-05,0.0002640627626675,0.19134116036190205,0.0032165446912665123,0.0032007578064266132,124.22452058092946,0.4015520708352942,2.6464025817823405e-07
6.0,400.0,even,60.0,80.0,cubic_path,60;80;100;120,0.064,3.0,left,61.875,4.0,-0.064,-0.064,4.694048407063897e-05,0.0002640627626675,0.1777626030889673,0.002853855279917913,0.0028391924302258818,129.77588451089665,0.3722548169244125,6.885290855152536e-08
6.0,400.0,even,60.0,80.0,cubic_path,60;80;100;120,0.064,3.0,mid,62.1875,0.0,0.0,0.0,3.645270445273954e-05,0.0002640627626675,0.13804560735676202,0.00015845946570162742,0.00016834462756442264,2754.0314614513213,0.47802201069644823,0.027109837037950953
