method,D,ell,eta_cap,Nz,zmax,z_cap_frac,z_cap_start,cap_power,N_target,seed_E,seed_omega_real,seed_bound,E_cap_real,E_cap_imag,omega_cap_real,omega_cap_imag,Gamma_cap,Gamma_cap_narrow,Gamma_cap_over_eta,rel_Gamma_exact_vs_narrow,S_seed,Gamma_wkb_seed,rel_Gamma_cap_vs_wkb,candidate_overlap,candidate_seed_dist,candidate_interior_weight,R,n_half,h,parity,seed_omega,E_siegert_real,E_siegert_imag,omega_siegert_real,omega_siegert_imag,Gamma_siegert,Gamma_siegert_narrow,q_R_real,q_R_imag,U_R,Gamma_geo_seed,Gamma_siegert_over_geo,root_success,root_nfev,guess_E_imag,residual_abs
CAP,6.0,1.0,5e-05,1201.0,80.0,0.85,68.0,2.0,3.0,0.0066753974086843,1.003332147102187,0.0,0.0066753975254382,-3.418704323522979e-07,1.0033321471603844,-1.703675265064787e-07,3.407350530129574e-07,3.407350530129574e-07,0.0068147010602591,0.0,11.684850011539648,7.113985303421259e-11,4788.650786164697,0.9999999963831404,3.418704522889243e-07,0.9367838945600716,,,,,,,,,,,,,,,,,,,,
CAP,6.0,1.0,5.53e-05,1201.0,80.0,0.85,68.0,2.0,3.0,0.0066753974086843,1.003332147102187,0.0,0.0066753975515009,-3.781086883564916e-07,1.0033321471733756,-1.884264794174658e-07,3.768529588349316e-07,3.768529588349316e-07,0.0068147008830909,0.0,11.684850011539648,7.113985303421259e-11,5296.353631777893,0.9999999955757568,3.781087153283433e-07,0.9367838959415244,,,,,,,,,,,,,,,,,,,,
CAP,6.0,1.0,6.12e-05,1201.0,80.0,0.85,68.0,2.0,3.0,0.0066753974086843,1.003332147102187,0.0,0.0066753975835989,-4.184493849341288e-07,1.0033321471893757,-2.085298403456557e-07,4.170596806913114e-07,4.170596806913114e-07,0.0068147006648907,0.0,11.684850011539648,7.113985303421259e-11,5861.532222139102,0.999999994581401,4.184494214918908e-07,0.9367838976429128,,,,,,,,,,,,,,,,,,,,
CAP,6.0,1.0,6.78e-05,1201.0,80.0,0.85,68.0,2.0,3.0,0.0066753974086843,1.003332147102187,0.0,0.0066753976233583,-4.635762610108454e-07,1.003332147209194,-2.3101834337726555e-07,4.620366867545311e-07,4.620366867545311e-07,0.0068147003946096,0.0,11.684850011539648,7.113985303421259e-11,6493.765831640505,0.9999999933496656,4.635763107167547e-07,0.936783899750395,,,,,,,,,,,,,,,,,,,,
CAP,6.0,1.0,7.5e-05,1201.0,80.0,0.85,68.0,2.0,3.0,0.0066753974086843,1.003332147102187,0.0,0.006675397671372,-5.128055739146749e-07,1.0033321472331271,-2.555512525582034e-07,5.111025051164068e-07,5.111025051164068e-07,0.0068147000682187,0.0,11.684850011539648,7.113985303421259e-11,7183.475133377171,0.999999991862207,5.128056411963769e-07,0.9367839022954028,,,,,,,,,,,,,,,,,,,,
CAP,6.0,1.0,5e-05,1201.0,80.0,0.875,70.0,2.0,3.0,0.0066753974086843,1.003332147102187,0.0,0.0066753974590372,-2.013043402802219e-07,1.0033321471272847,-1.0031789615063736e-07,2.006357923012747e-07,2.006357923012747e-07,0.0040127158460254,0.0,11.684850011539648,7.113985303421259e-11,2819.3009107255943,0.999999998649626,2.0130434657769637e-07,0.96219936365445,,,,,,,,,,,,,,,,,,,,
CAP,6.0,1.0,5.53e-05,1201.0,80.0,0.875,70.0,2.0,3.0,0.0066753974086843,1.003332147102187,0.0,0.0066753974702759,-2.226425972070296e-07,1.0033321471328864,-1.1095159157575644e-07,2.2190318315151289e-07,2.2190318315151289e-07,0.0040127157893582,0.0,11.684850011539648,7.113985303421259e-11,3118.2527632126985,0.9999999983483548,2.226426057263627e-07,0.962199364110988,,,,,,,,,,,,,,,,,,,,
CAP,6.0,1.0,6.12e-05,1201.0,80.0,0.875,70.0,2.0,3.0,0.0066753974086843,1.003332147102187,0.0,0.0066753974841184,-2.463965047407991e-07,1.0033321471397862,-1.2278910101864338e-07,2.455782020372867e-07,2.455782020372867e-07,0.0040127157195635,0.0,11.684850011539648,7.113985303421259e-11,3451.0482059357532,0.9999999979771916,2.463965162878411e-07,0.962199364673266,,,,,,,,,,,,,,,,,,,,
CAP,6.0,1.0,6.78e-05,1201.0,80.0,0.875,70.0,2.0,3.0,0.0066753974086843,1.003332147102187,0.0,0.0066753975012638,-2.729686709421789e-07,1.0033321471483323,-1.360310599625506e-07,2.720621199251012e-07,2.720621199251012e-07,0.0040127156331135,0.0,11.684850011539648,7.113985303421259e-11,3823.327832027725,0.99999999751739,2.729686866417294e-07,0.9621993653697536,,,,,,,,,,,,,,,,,,,,
CAP,6.0,1.0,7.5e-05,1201.0,80.0,0.875,70.0,2.0,3.0,0.0066753974086843,1.003332147102187,0.0,0.0066753975219699,-3.01956486552233e-07,1.003332147158653,-1.5047683232683553e-07,3.0095366465367106e-07,3.0095366465367106e-07,0.0040127155287156,0.0,11.684850011539648,7.113985303421259e-11,4229.451031560838,0.999999996962084,3.019565078030436e-07,0.9621993662108252,,,,,,,,,,,,,,,,,,,,
