D,R_tail,parity,R0,R1,center_mode,tube_radius_min,slab_index,R_left,R_right,delta_R,node_upper_beta,sampled_direct_dH_dR_abs_max,direct_guard_factor,direct_L_bound,s24_interval_L_bound,direct_L_over_s24_L,five_percent_reserve,direct_remainder_bound,direct_remainder_over_reserve,beta_direct,beta_s24_interval,direct_contribution,s24_interval_contribution,dF_dE_abs_min,curved_numerator_abs_max,dF_dE_CR_rel_mismatch_max,special_interval_pass
6.0,400.0,odd,60.0,80.0,cubic_path,0.064,11.0,66.875,67.5,0.625,0.0030711368141727,5.822359434744894e-05,2.0,0.00011644718869489787,0.0003204050593795,0.36343742174487126,0.000153556840708635,3.6389746467155585e-05,0.2369789994325487,0.0031075265606398555,0.003171263395228794,0.0019422041003999096,0.0019820396220179962,113.8226343451524,0.5364877284440792,0.018928075892672595,1.0
6.0,400.0,odd,60.0,80.0,cubic_path,0.064,12.0,67.5,68.125,0.625,0.0030387430278397,7.487464557902318e-05,2.0,0.00014974929115804637,0.0003204050593795,0.4673749267506965,0.00015193715139198501,4.679665348688949e-05,0.3080000714647998,0.0030855396813265898,0.003138869608895794,0.0019284623008291187,0.001961793505559871,112.83794586844057,0.4477704197517948,0.01573053467294273,1.0
6.0,400.0,odd,60.0,80.0,cubic_path,0.064,13.0,68.125,68.75,0.625,0.0030069548668022,0.00010143387952531203,2.0,0.00020286775905062405,0.0003204050593795,0.6331602860563438,0.00015034774334011,6.339617470332002e-05,0.4216636265694258,0.00307035104150552,0.0031070814478582937,0.0019189694009409501,0.0019419259049114335,111.87019550079054,0.3915970823018374,0.013905349755257165,1.0
6.0,400.0,odd,60.0,80.0,cubic_path,0.064,14.0,68.75,69.375,0.625,0.0029757560634119,0.00011818599093072877,2.0,0.00023637198186145754,0.0003204050593795,0.7377286186404738,0.000148787803170595,7.386624433170548e-05,0.4964536256175042,0.0030496223077436054,0.0030758826444679936,0.0019060139423397533,0.001922426652792496,110.91898947704924,0.3736307866468457,0.016817216750838682,1.0
6.0,400.0,odd,60.0,80.0,cubic_path,0.064,15.0,69.375,70.0,0.625,0.0029451311717659,0.00011818599093072877,2.0,0.00023637198186145754,0.0003204050593795,0.7377286186404738,0.000147256558588295,7.386624433170548e-05,0.5016159893986338,0.0030189974160976054,0.0030452577528219935,0.0018868733850610033,0.001903286095513746,109.98386879533918,0.3959768334586128,0.019730912029939932,1.0
6.0,400.0,odd,60.0,80.0,cubic_path,0.064,16.0,70.0,70.625,0.625,0.0029150654250137,0.00010329641594485878,2.0,0.00020659283188971756,0.0003204050593795,0.6447864221926068,0.000145753271250685,6.456025996553673e-05,0.4429420994229199,0.002979625684979237,0.003015192006069794,0.001862266053112023,0.0018844950037936212,109.06442664186523,0.42096754097037575,0.02199096985694332,1.0
6.0,400.0,odd,60.0,80.0,cubic_path,0.064,17.0,70.625,71.25,0.625,0.0028855423259105,7.697152731211543e-05,2.0,0.00015394305462423087,0.0003204050593795,0.48046386946060926,0.000144277116295525,4.8107204570072144e-05,0.3334361387673803,0.002933649530480572,0.0029856689069665938,0.0018335309565503577,0.0018660430668541212,108.1603049931089,0.4346323551247181,0.02358997271748655,1.0
6.0,400.0,odd,60.0,80.0,cubic_path,0.064,18.0,71.25,71.875,0.625,0.0028565479043876,5.718513178740262e-05,2.0,0.00011437026357480524,0.0003204050593795,0.35695523596380146,0.00014282739521938,3.574070736712664e-05,0.2502370592996507,0.0028922886117547265,0.0029566744854436938,0.001807680382346704,0.0018479215534023086,107.27108482252999,0.4346323551247181,0.02406542213629936,1.0
6.0,400.0,odd,60.0,80.0,cubic_path,0.064,19.0,71.875,72.5,0.625,0.0028280690345373,4.5460648113687056e-05,2.0,9.092129622737411e-05,0.0003204050593795,0.2837698518352154,0.000141403451726865,2.841290507105441e-05,0.20093501766800428,0.0028564819396083544,0.0029281956155933937,0.0017853012122552214,0.001830122259745871,106.39644794922857,0.43273903034972727,0.02406542213629936,1.0
6.0,400.0,odd,60.0,80.0,cubic_path,0.064,20.0,72.5,73.125,0.625,0.0028000900173759,4.4494182307374056e-05,2.0,8.898836461474811e-05,0.0003204050593795,0.277737076895989,0.000140004500868795,2.7808863942108787e-05,0.19862835672811563,0.0028278988813180087,0.002900216598431994,0.0017674368008237554,0.0018126353740199961,105.53599240778105,0.4077369010884775,0.023759693689299914,1.0
