D,R,R_tail,parity,ell,h,E0_real,E0_imag,Gamma_dtn,boundary_F_abs_min,m_rouche_budget,m400_real,m400_imag,m800_real,m800_imag,m400_dtn_success,m800_dtn_success,dtn_delta_400_800,residual_delta_400_800,dtn_delta_over_m_budget,residual_delta_over_boundary_gap,tail_l1_self,tail_l1_400,tail_l1_800,tail_l1_pair_max,tail_coeff_self_terminal,tail_coeff_400_terminal,tail_coeff_800_terminal,tail_completion_self,raw_tail_over_m_budget,pair_tail_over_m_budget,empirical_conditioning_lower_bound,allowed_conditioning_self,allowed_conditioning_pair,tail_conditioning_status
12.0,120.0,800.0,even,1.0,0.1,0.0034788677931656,-0.0009677656342506,0.0009660865370413,0.2526467020640421,0.012632335103202106,0.009121064567200785,0.045690249199969515,0.006539999329018243,0.057984061225351914,1.0,1.0,0.012561835529857537,0.25123671059715075,0.9944191178615346,0.9944191178615348,4.499880565376888e-06,1.8001967022511972e-05,4.499880565376888e-06,1.8001967022511972e-05,44.92339820925668,44.92339820925668,44.92339820925668,2.246169910462834e-11,0.0003562192206440309,0.0014250704145703627,697.8034963706247,2807.260086056103,701.719711374041,passes_tail_conditioning_budget
12.0,120.0,800.0,odd,1.0,0.1,0.0034788677834578,-0.0009677656220259,0.0009660865248426,0.2526467133783277,0.012632335668916387,0.009121064446260605,0.045690249067497496,0.006540003912098148,0.057984059353694835,1.0,1.0,0.012561832861251678,0.2512366572250336,0.9944188620764574,0.9944188620764576,4.499880565376888e-06,1.8001967022511972e-05,4.499880565376888e-06,1.8001967022511972e-05,44.92339820925668,44.92339820925668,44.92339820925668,2.246169910462834e-11,0.00035621920469145445,0.00142507035075139,697.803348130943,2807.260211773724,701.7197427991781,passes_tail_conditioning_budget
18.0,60.0,400.0,even,1.0,0.05,0.0109462077090673,-0.0031165297190722,0.0030996077137025,0.5716497874497035,0.014291244686242589,0.03035784012649095,0.12240955727921513,-0.01900066297977666,-0.09024369625316046,1.0,1.0,0.21830636286374303,8.732254514549721,15.275531813817086,15.275531813817086,4.0513259826248634e-05,4.0513259826248634e-05,1.0125767244482293e-05,4.0513259826248634e-05,44.92339820925668,44.92339820925668,44.92339820925668,2.246169910462834e-11,0.0028348307453757732,0.0028348307453757732,5388.516347487343,352.7547461629651,352.7547461629651,not_lifted_tail_conditioning
18.0,60.0,400.0,odd,1.0,0.05,0.0109462077087188,-0.0031165297187208,0.0030996077133535,0.5716497926119808,0.01429124481529952,0.0303578401681103,0.12240955712640926,-0.019000662982248544,-0.09024369624816467,1.0,1.0,0.2183063627199966,8.732254508799864,15.275531665813205,15.275531665813205,4.0513259826248634e-05,4.0513259826248634e-05,1.0125767244482293e-05,4.0513259826248634e-05,44.92339820925668,44.92339820925668,44.92339820925668,2.246169910462834e-11,0.0028348307197758648,0.0028348307197758648,5388.516343939211,352.75474934851303,352.75474934851303,not_lifted_tail_conditioning
18.0,80.0,400.0,even,1.0,0.0666666666666666,0.0067287065139138,-0.0023012070142919,0.0022935022958442,0.2141995066842192,0.007139983556140633,0.020097189917893485,0.08225459326167621,-0.018103574863115084,-0.06918352630159987,1.0,1.0,0.15618195314028777,4.6854585942086375,21.874273506689786,21.874273506689786,4.0513259826248634e-05,4.0513259826248634e-05,1.0125767244482293e-05,4.0513259826248634e-05,44.92339820925668,44.92339820925668,44.92339820925668,2.246169910462834e-11,0.00567413909397674,0.00567413909397674,3855.0823560018025,176.23818934250806,176.23818934250806,not_lifted_tail_conditioning
18.0,80.0,400.0,odd,1.0,0.0666666666666666,0.0067287065152877,-0.0023012070165422,0.0022935022980854,0.2141995078468876,0.007139983594896246,0.020097189822813357,0.08225459325505069,-0.018103574880502953,-0.06918352631147953,1.0,1.0,0.15618195312444022,4.685458593733212,21.874273385737347,21.874273385737347,4.0513259826248634e-05,4.0513259826248634e-05,1.0125767244482293e-05,4.0513259826248634e-05,44.92339820925668,44.92339820925668,44.92339820925668,2.246169910462834e-11,0.005674139063177686,0.005674139063177686,3855.0823556106334,176.2381902991236,176.2381902991236,not_lifted_tail_conditioning
18.0,100.0,400.0,even,1.0,0.0833333333333333,0.004524921929761,-0.0017896671109677,0.0017856310401366,0.0983244011637611,0.0040968500484900435,0.01469296274000084,0.06130615134442062,-0.01726815498484033,-0.055230096175378794,1.0,1.0,0.12083960456827517,2.900150509638605,29.495735293707526,29.495735293707522,4.0513259826248634e-05,4.0513259826248634e-05,1.0125767244482293e-05,4.0513259826248634e-05,44.92339820925668,44.92339820925668,44.92339820925668,2.246169910462834e-11,0.00988888032189033,0.00988888032189033,2982.717388986381,101.12368311166324,101.12368311166324,not_lifted_tail_conditioning
18.0,100.0,400.0,odd,1.0,0.0833333333333333,0.0045249219297268,-0.0017896671109579,0.0017856310401268,0.0983244012008812,0.004096850050036715,0.014692962740965642,0.06130615134452418,-0.01726815497866044,-0.055230096153760184,1.0,1.0,0.12083960454614698,2.9001505091075286,29.49573527717082,29.49573527717082,4.0513259826248634e-05,4.0513259826248634e-05,1.0125767244482293e-05,4.0513259826248634e-05,44.92339820925668,44.92339820925668,44.92339820925668,2.246169910462834e-11,0.00988888031815701,0.00988888031815701,2982.7173884401845,101.12368314984016,101.12368314984016,not_lifted_tail_conditioning
18.0,120.0,400.0,even,1.0,0.1,0.0036009091880255,-0.0015461097382767,0.0015433330754413,0.0494055818943834,0.00247027909471917,0.015920316689670654,0.05181202269390247,-0.016410184594959187,-0.04890738868426752,1.0,1.0,0.10578119465046937,2.1156238930093876,42.82155602441956,42.821556024419564,4.0513259826248634e-05,4.0513259826248634e-05,1.0125767244482293e-05,4.0513259826248634e-05,44.92339820925668,44.92339820925668,44.92339820925668,2.246169910462834e-11,0.016400276354544593,0.016400276354544593,2611.0264911818695,60.97458228030988,60.97458228030988,not_lifted_tail_conditioning
18.0,120.0,400.0,odd,1.0,0.1,0.0036009091880774,-0.0015461097379247,0.0015433330750899,0.0494055819925411,0.0024702790996270554,0.015920316709904313,0.05181202266803528,-0.016410184607661145,-0.04890738863697324,1.0,1.0,0.1057811945908751,2.115623891817502,42.82155591521831,42.82155591521831,4.0513259826248634e-05,4.0513259826248634e-05,1.0125767244482293e-05,4.0513259826248634e-05,44.92339820925668,44.92339820925668,44.92339820925668,2.246169910462834e-11,0.01640027632196096,0.01640027632196096,2611.0264897108877,60.97458240145257,60.97458240145257,not_lifted_tail_conditioning
18.0,60.0,800.0,even,1.0,0.05,0.0108797509482882,-0.0018271234671916,0.0018172637755943,2.694155896642853,0.06735389741607133,0.0087530323833745,0.08799296417564813,0.02898888263842602,0.18006723386656828,1.0,1.0,0.09427173900306055,3.7708695601224216,1.3996478692347556,1.3996478692347556,1.0125767244482293e-05,4.0513259826248634e-05,1.0125767244482293e-05,4.0513259826248634e-05,44.92339820925668,44.92339820925668,44.92339820925668,2.246169910462834e-11,0.0001503367679220027,0.00060149837471145,2326.9354134268324,6651.732731934328,1662.5148829034138,not_lifted_tail_conditioning
18.0,60.0,800.0,odd,1.0,0.05,0.0108797509405857,-0.0018271234605426,0.001817263768988,2.6941559816587604,0.06735389954146902,0.00875303233904187,0.08799296411309389,0.028988866836595066,0.1800672319660104,1.0,1.0,0.0942717338254844,3.7708693530193758,1.399647748196708,1.3996477481967082,1.0125767244482293e-05,4.0513259826248634e-05,1.0125767244482293e-05,4.0513259826248634e-05,44.92339820925668,44.92339820925668,44.92339820925668,2.246169910462834e-11,0.00015033676317802467,0.0006014983557307634,2326.935285627288,6651.732941834243,1662.514935365193,not_lifted_tail_conditioning
18.0,80.0,800.0,even,1.0,0.0666666666666666,0.0066370189892428,-0.001357129336436,0.0013526476773431,1.0797256882160762,0.035990856273869165,0.00869573360643537,0.06635820225049156,0.007425052661544746,0.11059676959179741,1.0,1.0,0.044256812701266246,1.3277043810379887,1.2296682347454595,1.2296682347454595,1.0125767244482293e-05,4.0513259826248634e-05,1.0125767244482293e-05,4.0513259826248634e-05,44.92339820925668,44.92339820925668,44.92339820925668,2.246169910462834e-11,0.0002813427712703244,0.0011256542361194923,1092.4031512416623,3554.3831301752675,888.372262025447,not_lifted_tail_conditioning
