D,ell,N_target,theta,R0,L,Nz,h,case_id,candidate_index,seed_E,seed_omega,S_seed,Gamma_geo_seed,E_real,E_imag,omega_real,omega_imag,Gamma,Gamma_narrow,Gamma_over_geo,seed_overlap,interior_weight,seed_dist,eig_residual_abs
6.0,1.0,3.0,0.08,60.0,100.0,1335.0,0.1499250374812533,140100.0,6.0,0.0047953695129047385,1.0023948171817854,11.582209797089696,8.72688406040263e-11,0.024475224281501097,-0.0014341655205744072,1.0121638830763833,-0.0007084650739638067,0.0014169301479276134,0.0014169301479276134,16236381.028101351,0.013512505883475273,0.5788436682168483,0.019732042835283153,9.804751658265857e-14
6.0,1.0,3.0,0.08,60.0,100.0,1335.0,0.1499250374812533,140100.0,7.0,0.0047953695129047385,1.0023948171817854,11.582209797089696,8.72688406040263e-11,0.02447522479278056,-0.0014341656203010953,1.012163883328985,-0.0007084651230510991,0.0014169302461021981,0.0014169302461021981,16236382.153068569,3.619241033146611e-06,0.5788436524305391,0.019732043352458706,9.980025658358061e-14
6.0,1.0,3.0,0.08,60.0,100.0,1335.0,0.1499250374812533,140100.0,8.0,0.0047953695129047385,1.0023948171817854,11.582209797089696,8.72688406040263e-11,0.03479681107539038,-0.0020927064747172626,1.0172501507068124,-0.0010286095673041654,0.002057219134608331,0.002057219134608331,23573352.417305034,2.4941862549152124e-06,0.6255137846904523,0.03007433983010374,1.2069346109028672e-13
6.0,1.0,3.0,0.08,60.0,100.0,1335.0,0.1499250374812533,140100.0,9.0,0.0047953695129047385,1.0023948171817854,11.582209797089696,8.72688406040263e-11,0.03479680978846602,-0.0020927062393165568,1.0172501500741453,-0.0010286094522394633,0.0020572189044789266,0.0020572189044789266,23573349.78028817,0.009365904441561084,0.6255138142814624,0.030074338529918573,7.391979347532947e-14
6.0,1.0,3.0,0.08,60.0,100.0,1335.0,0.1499250374812533,140100.0,10.0,0.0047953695129047385,1.0023948171817854,11.582209797089696,8.72688406040263e-11,0.04709707918769184,-0.0028852090430566664,1.0232785870358931,-0.001409786679605103,0.002819573359210206,0.002819573359210206,32309050.282949675,0.005426438950220758,0.5792907607848465,0.04239998906405652,1.0779990308583429e-13
6.0,1.0,3.0,0.08,60.0,100.0,1335.0,0.1499250374812533,140100.0,11.0,0.0047953695129047385,1.0023948171817854,11.582209797089696,8.72688406040263e-11,0.047097081834818005,-0.002885209499436474,1.0232785883296511,-0.0014097869008214792,0.0028195738016429583,0.0028195738016429583,32309055.35271741,1.4530721316158642e-06,0.5792907156014383,0.042399991736102344,1.210494265154863e-13
6.0,1.0,3.0,0.08,60.0,100.0,1335.0,0.1499250374812533,140100.0,12.0,0.0047953695129047385,1.0023948171817854,11.582209797089696,8.72688406040263e-11,0.06140834974730612,-0.003813579867070772,1.0302484046239397,-0.001850806004627011,0.003701612009254022,0.003701612009254022,42416193.26707592,0.008222371833879208,0.6079957385556816,0.05674128058497842,1.830860865628796e-13
6.0,1.0,3.0,0.08,60.0,100.0,1335.0,0.1499250374812533,140100.0,13.0,0.0047953695129047385,1.0023948171817854,11.582209797089696,8.72688406040263e-11,0.06140835447713127,-0.0038135806393648185,1.0302484069200837,-0.001850806375311696,0.003701612750623392,0.003701612750623392,42416201.762311615,2.202204611343412e-06,0.6079957024202223,0.0567412853560146,1.611033719496207e-13
6.0,1.0,3.0,0.08,60.0,100.0,1335.0,0.1499250374812533,140100.0,14.0,0.0047953695129047385,1.0023948171817854,11.582209797089696,8.72688406040263e-11,0.07775525121031922,-0.004879742723395742,1.0381525777426857,-0.0023502049833590186,0.004700409966718037,0.004700409966718037,53861262.89961477,0.003615767851283438,0.5978102716506043,0.07312288442305356,1.499021679314365e-13
6.0,1.0,3.0,0.08,60.0,100.0,1335.0,0.1499250374812533,140100.0,15.0,0.0047953695129047385,1.0023948171817854,11.582209797089696,8.72688406040263e-11,0.07775525884076755,-0.004879743910200655,1.0381525814189738,-0.0023502055466311585,0.004700411093262317,0.004700411093262317,53861275.80850954,9.670160281533017e-07,0.5978101972660647,0.07312289211569198,1.4262545527424893e-13
