D,eta,coeff_l1,coeff_l2,coeff_p1,coeff_p2,coeff_participation_exact,loop_trace_neff,loop_trace_entropy_norm,coeff_participation_access,coeff_participation_access_recon,coeff_participation_residual,gap_cv,c_tree_diag_cv,tree_diag_susceptibility,tree_diag_susceptibility_recon,tree_diag_compressibility,tree_diag_compressibility_recon,tree_diag_residual,tree_diag_pressure_fraction,shell_background_load,eymh_source_prefactor_diag,mu_mumu_uv_rge,mu_mumu_uv_rge_const,abs_mu_diff_vs_const
12.0,0.2,0.522145874622551,0.347502343175677,0.6004104463578593,0.3995895536421406,2.257710368412387,1.9224687002836658,0.9707099923244444,0.8157985764254758,0.8157985764254758,0.0,0.324701506182844,0.8771178989054502,0.6621249351734221,0.6621249351734221,0.7756542341883732,0.7756542341883732,0.0,0.39836050898564823,0.24511295915898698,0.0457444364275039,0.0381623276974709,0.0381608684312153,1.4592662556031644e-06
12.8,0.2,0.4340755361717523,0.2840881611451176,0.6044242249970322,0.3955757750029678,2.3346637997017483,1.9164106241067451,0.9683036842984404,0.8089914145203915,0.8089914145203915,0.0,0.1142870052001219,0.7916713924836573,0.7104735034951574,0.7104735034951574,0.7646132585185753,0.7646132585185753,0.0,0.4153665648976063,0.10256514225398902,0.0392926289711688,0.0023614708275849,0.0023615110031041,4.017551920006482e-08
13.6,0.2,0.428708680224616,0.2798971695134157,0.6050030216136484,0.3949969783863517,2.3459974761201057,1.9155206762194918,0.967948677124436,0.8080125659998029,0.808012565999803,1.1102230246251565e-16,0.1152775579450587,0.6819962957925976,0.6115036485170576,0.6115036485170576,0.7877426386557543,0.7877426386557543,0.0,0.3794615352436696,0.10336221429709568,0.0396211797225291,0.0001778882187932,0.0001778917797778,3.560984600020547e-09
14.4,0.2,0.4446044252009733,0.2908063368569028,0.6045661120825199,0.39543388791748013,2.337436547411437,1.9161928396641112,0.9682168443659167,0.80875139435662,0.80875139435662,0.0,0.1959995823623919,0.6958086696085115,0.5817800272422496,0.5817800272422496,0.795109525246571,0.795109525246571,0.0,0.3678008428621726,0.16387930669277054,0.0396849667542082,4.3880494927676865e-05,4.388102718529249e-05,5.322576156267756e-10
15.2,0.2,0.4600093586360452,0.301311214387321,0.6042255719023197,0.39577442809768026,2.3307878357999074,1.916715125607161,0.9684250629498238,0.8093275313456637,0.8093275313456637,0.0,0.2635129579283289,0.8180925978636038,0.6474746402323869,0.647474640232387,0.7790953834150505,0.7790953834150505,0.0,0.3930103835413554,0.20855580172314808,0.0417258105506858,1.2073811470646549e-05,1.2073793845658816e-05,1.7624987732299535e-11
16.0,0.2,0.4760391641578648,0.3126968198380725,0.6035469077322035,0.39645309226779635,2.317599769863041,1.9177517535193147,0.9688379364974525,0.8104764316211525,0.8104764316211523,-1.1102230246251565e-16,0.3217878591111364,0.786802702341457,0.5952564149519112,0.5952564149519112,0.7917439439612242,0.7917439439612242,0.0,0.373141527200726,0.24344894446793397,0.0435062525324147,1.7697615613545258e-06,1.7697402042259288e-06,2.1357128597040317e-11
16.8,0.2,0.4926256975220699,0.3260734472595267,0.6017176158813347,0.3982823841186654,2.2824604234676125,1.9205176605910237,0.9699369821441818,0.813577980777496,0.813577980777496,0.0,0.3729068193667717,0.8324265017386813,0.6063241073583004,0.6063241073583004,0.7890116420959563,0.7890116420959563,0.0,0.37746062863704266,0.2716184478847357,0.0426372294501484,4.11216973700512e-07,4.112081813062357e-07,8.792394276284323e-12
17.6,0.2,0.4410367983505292,0.2876304861315658,0.6052649923263661,0.39473500767363395,2.3511472152061024,1.9151165304853885,0.9677873315751594,0.8075697528076581,0.807569752807658,-1.1102230246251565e-16,0.2679119024066777,0.6787167217905434,0.5353027450111023,0.5353027450111023,0.8070547292918159,0.8070547292918159,0.0,0.3486626639277137,0.2113016700120432,0.0407600933091185,5.5585827916252447e-08,5.5590071944080996e-08,4.244027828549087e-12
18.4,0.2,0.0,0.0,0.0,0.0,inf,9.999999999999999e+29,0.0,1.0,1.0,0.0,0.20297833384972,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.16872983339621536,0.0586804347402074,5.5585827916252447e-08,5.5590071944080996e-08,4.244027828549087e-12
19.200000000000003,0.2,0.0,0.0,0.0,0.0,inf,9.999999999999999e+29,0.0,1.0,1.0,0.0,0.2685122027208125,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.21167490714309628,0.0580670617382019,5.5585827916252447e-08,5.5590071944080996e-08,4.244027828549087e-12
