m,s,a,mean_objective,max_objective,max_abs_det_ratio_residual,max_abs_schur_residual,max_abs_weight_residual,mean_abs_xi_residual,max_abs_xi_residual,"corr(xi_gen, xi_target)"
0.1,0.875,0.0,0.0002583705350145908,0.0008956726452690351,0.006538735057076028,0.004609740928745776,0.0006588758558926378,0.043258169058789944,0.05341682355710567,0.9974052119928969
0.0,1.0,-0.25,0.000257318124527369,0.0008725841687993079,0.006553198601210397,0.004860410398322301,0.0006443642665105997,0.016396278684431633,0.054803859014106115,0.9738032949179161
-0.05,0.875,-0.25,0.000257844388300003,0.0008773050453406114,0.006642789357214962,0.004990689498082013,0.0006616652723612226,0.018385525663202354,0.05627282908671105,0.9748168238106169
0.15,1.25,-0.125,0.0002563991238441823,0.0008668256524777502,0.0066552702560276344,0.004691879635716045,0.0006034975273764287,0.016916292401823456,0.05290703308775782,0.9818477857151693
-0.05,1.25,0.125,0.0002566254524752533,0.0008317503779595872,0.006663741208308149,0.004702665224558089,0.0006139864617873414,0.037900515799003935,0.05302519351991025,0.9899401250413757
-0.1,0.875,0.25,0.0002576585108432176,0.0008486384536122154,0.006722826199418108,0.004739845557063305,0.0006076739918631224,0.021533764403066553,0.05344442266595448,0.9602755471109072
-0.1,0.75,-0.25,0.0002583929323588119,0.0008823171566120318,0.0068175268838532865,0.005121968798420973,0.0006791006589422777,0.02074963127708911,0.057753076983004775,0.971473061991255
0.15,0.875,0.25,0.00025846796619382337,0.000892993433591347,0.006867647705274482,0.00429662905989181,0.0009914133427446625,0.03963570783086106,0.07316378840249392,0.9602755471109078
-0.1,1.125,0.125,0.0002569140144160187,0.000834313174666512,0.006956878819192269,0.0049048303612670985,0.0006287906903669205,0.03658311025323896,0.055304719062359245,0.9935923026764047
-0.15,0.75,0.25,0.00025803711676424234,0.0008522134746058906,0.007014721424741577,0.004945596649290174,0.0006340086821746693,0.020309606036519972,0.05576454212119791,0.9424287573018164
0.15,1.0,0.0,0.00025773282672563336,0.0008899189543317656,0.0071272873663397185,0.005024594808136662,0.0007002457510216775,0.04046021821484985,0.059653157960537884,0.9999999999999998
0.05,1.125,-0.25,0.00025681239094033927,0.0008681346648157821,0.007141523314350362,0.005035042785297428,0.0006476719371472095,0.01534512021885856,0.05677293732864114,0.969267168539701
0.0,1.25,0.25,0.00025664954764244806,0.0008336725106368375,0.007194129989358089,0.005147897265972645,0.0006793703837673082,0.03489230894774313,0.0580454350276392,0.9761565989271702
-0.15,1.0,0.125,0.0002572138925907788,0.000837032081189542,0.007243994234293449,0.005107053186088617,0.0006546949949033376,0.035187343302274694,0.05758717946790966,0.9927799158014301
0.15,0.875,0.125,0.00025856498589121776,0.0009001918559919353,0.007404373494626526,0.0046447610186088895,0.0009050371160586046,0.0493557878344368,0.06990782451103078,0.9864653589028215
0.1,0.75,0.125,0.00025926358399622733,0.0009066210904325688,0.007434982755329944,0.004651572756390943,0.001050165509128842,0.05250706065409339,0.07748942282567038,0.9736324506726156
0.1,0.75,0.25,0.0002591235336977619,0.0008990678927968536,0.0074662313029758565,0.00465191798515896,0.0011420180059823481,0.04267404412755705,0.08424980729457131,0.942428757301817
-0.15,1.25,0.0,0.0002566547555392244,0.0008254043316594512,0.0074693316292475664,0.005265741028782411,0.0007302940519183787,0.047811171809699904,0.06118184463146248,0.991662569234734
-0.05,1.125,0.25,0.0002569499627127323,0.0008363590004695989,0.007475880903013987,0.005270777472479615,0.0006779389162390181,0.033488476210884396,0.05943097842029975,0.9762155793554148
0.0,0.75,-0.125,0.0002588336690147072,0.0008973216628805962,0.007545942118113658,0.005669222981021349,0.0007831422810620214,0.04042726507747773,0.0639236754737098,0.9877051423940498
0.05,0.875,-0.125,0.00025819560564075935,0.0008914851910344725,0.007621511850219864,0.0055337742194723205,0.0007338032376680292,0.037638630812027396,0.06239641455884859,0.9929720792074733
0.1,1.25,-0.25,0.0002563255753410124,0.0008639382732019643,0.007742704533334699,0.005458898176656568,0.0007022952303121777,0.01527415731324744,0.06155214509233506,0.9619673117722813
-0.1,1.0,0.25,0.00025726251040743546,0.0008392110037845682,0.007751606458335836,0.005465174368902925,0.0007004924479950825,0.03200121183739407,0.061622912687425827,0.971247029857506
-0.1,1.25,0.125,0.00025667233451376077,0.0008270175219154835,0.00796801192389518,0.005617721066571768,0.0007200076351451257,0.045299098275539115,0.06334296244186569,0.989940125041376
-0.15,0.875,0.25,0.00025758824567369444,0.0008422406200029038,0.00802149474585212,0.005655414008320037,0.0007248293540056405,0.030426167759132504,0.06376803219188944,0.9602755471109073
0.1,1.0,-0.125,0.0002575845920401876,0.0008859937323835961,0.008233182132945327,0.005804703348825768,0.0007468717070520103,0.03500439834789,0.06545129276687162,0.9931175282085735
-0.15,1.125,0.125,0.0002569321475550232,0.0008293288492922944,0.008233486524861444,0.0058046984325703654,0.0007439466337966216,0.044107060443002895,0.0654532914878906,0.9935923026764046
-0.05,1.25,0.25,0.00025669087350441286,0.0008287508686147694,0.00844788881447256,0.005956079642116752,0.0007701336921748236,0.04257716015532622,0.06715814555413603,0.9761565989271705
-0.1,1.125,0.25,0.0002569612354362548,0.0008311733853702135,0.008702827583714434,0.006135821071817649,0.0007862726960063959,0.0413069197663526,0.06918483119692126,0.9762155793554156
