label,D,eta,mu_candidate,mu_full,chi2_candidate,chi2_full,abs_delta_mu_mumu,acceptance_mismatch
width_only,7.2,0.39,4.94860326468875,3.484454010836722,78.70365706349784,27.155928270583107,1.4641492538520282,0.0
width_only,7.2,0.485,4.948602867926173,3.484454165019298,78.70363946408662,27.155932287914368,1.4641487029068747,0.0
width_only,7.2,0.5800000000000001,4.948602471023044,3.484454319150185,78.70362185844283,27.15593630389913,1.464148151872859,0.0
width_only,7.2,0.675,4.948602074168426,3.4844544732396576,78.70360425495286,27.15594031880511,1.4641476009287686,0.0
width_only,7.2,0.77,4.948601677309354,3.484454627392162,78.70358665126727,27.155944335353738,1.4641470499171922,0.0
width_only,7.2,0.865,4.948601280438899,3.484454781536479,78.70356904707869,27.15594835168932,1.4641464989024198,0.0
width_only,7.2,0.96,4.948600883580872,3.48445493560703,78.70355144344343,27.155952366103172,1.4641459479738423,0.0
width_only,7.2,1.055,4.948600486733955,3.4844550897654254,78.7035338403029,27.155956382806178,1.4641453969685299,0.0
width_only,7.2,1.15,4.948600089859683,3.4844552438802854,78.70351623595093,27.155960398375125,1.4641448459793978,0.0
width_only,7.2,1.245,4.948599693013237,3.48445539801048,78.70349863283523,27.155964414343934,1.4641442950027566,0.0
width_only,7.2,1.34,4.948599296117728,3.4844555521259553,78.70348102754522,27.1559684299295,1.464143743991773,0.0
width_only,7.2,1.435,4.948598899245187,3.484455706224624,78.70346342327596,27.15597244507748,1.464143193020563,0.0
width_only,7.2,1.53,4.948598502393685,3.484455860337414,78.70344581994192,27.15597646059368,1.4641426420562715,0.0
width_only,7.2,1.625,4.948598105502109,3.4844560144401076,78.70342821483221,27.155980475847112,1.4641420910620013,0.0
width_only,7.2,1.72,4.948597708673374,3.484456168589235,78.70341061251197,27.155984492310704,1.4641415400841389,0.0
width_only,7.2,1.815,4.948597311786484,3.484456322679747,78.70339300761412,27.15598850724734,1.464140989106737,0.0
width_only,7.2,1.91,4.948596914926661,3.484456476804029,78.70337540391884,27.155992523064157,1.464140438122632,0.0
