alpha,D,eta,mu,base_mu,delta_mu,delta_log_mu,acceptance_mismatch
0.85,4.0,2.0,1.9986798856062322,2.7647636140617435,-0.7660837284555113,-0.32446823368832495,1.0
0.875,4.0,2.0,2.036197935250626,2.7647636140617435,-0.7285656788111177,-0.30587082744819494,1.0
0.9,4.0,2.0,2.0744202517760044,2.7647636140617435,-0.6903433622857391,-0.28727342120806376,1.0
0.65,4.0,4.0,1.9832862737074939,3.1833742708158104,-1.2000879971083165,-0.4731865226184942,1.0
0.675,4.0,4.0,2.020506565449099,3.1833742708158104,-1.1628677053667116,-0.4545934707348535,1.0
0.7,4.0,4.0,2.0584253696221606,3.1833742708158104,-1.1249489011936498,-0.43600041885121477,1.0
0.725,4.0,4.0,2.097055795194779,3.1833742708158104,-1.0863184756210313,-0.4174073669675752,1.0
0.75,4.0,4.0,2.1364111971507738,3.1833742708158104,-1.0469630736650366,-0.3988143150839363,1.0
0.775,4.0,4.0,2.1765051811066707,3.1833742708158104,-1.0068690897091397,-0.38022126320029664,1.0
0.8,4.0,4.0,2.217351608015312,3.1833742708158104,-0.9660226628004982,-0.3616282113166559,0.0
0.825,4.0,4.0,2.2589645989577436,3.1833742708158104,-0.9244096718580668,-0.34303515943301716,0.0
0.85,4.0,4.0,2.301358540025053,3.1833742708158104,-0.8820157307907572,-0.32444210754937763,0.0
0.875,4.0,4.0,2.3445480872917908,3.1833742708158104,-0.8388261835240196,-0.30584905566573795,0.0
0.9,4.0,4.0,2.38854817188275,3.1833742708158104,-0.7948260989330604,-0.28725600378209826,0.0
0.65,4.8,0.2,14.932451865244103,13.739247292265361,1.1932045729787415,0.08328031905841436,0.0
0.675,4.8,0.2,14.738841969892185,13.739247292265361,0.9995946776268241,0.07022981682424656,0.0
0.7,4.8,0.2,14.547742365008064,13.739247292265361,0.8084950727427032,0.057179314590078766,0.0
0.725,4.8,0.2,14.359120502884284,13.739247292265361,0.6198732106189233,0.0441288123559101,0.0
0.75,4.8,0.2,14.172944257817662,13.739247292265361,0.43369696555230064,0.03107831012174136,0.0
0.775,4.8,0.2,13.98918192063768,13.739247292265361,0.24993462837231917,0.018027807887572696,0.0
0.8,4.8,0.2,13.807802193305852,13.739247292265361,0.06855490104049089,0.004977305653404807,0.0
0.825,4.8,0.2,13.628774183585064,13.739247292265361,-0.11047310868029747,-0.008073196580763931,0.0
0.85,4.8,0.2,13.45206739977815,13.739247292265361,-0.2871798924872113,-0.02112369881493169,0.0
0.875,4.8,0.2,13.2776517455345,13.739247292265361,-0.46159554673086056,-0.03417420104910122,0.0
0.9,4.8,0.2,13.105497514724252,13.739247292265361,-0.6337497775411087,-0.047224703283269095,0.0
