combo_id,beta,omega,m,phase,center_D,width_D,eta_couple,improved_fraction_vs_lorentz_D21_guard,improved_fraction_vs_lorentz_D60_hotspot,improved_fraction_vs_mainline_D21_guard,improved_fraction_vs_mainline_D60_hotspot,mean_abs_improvement_vs_lorentz_D21_guard,mean_abs_improvement_vs_lorentz_D60_hotspot,mean_abs_improvement_vs_mainline_D21_guard,mean_abs_improvement_vs_mainline_D60_hotspot,p95_abs_delta_cf_D21_guard,p95_abs_delta_cf_D60_hotspot,p95_abs_delta_lorentz_D21_guard,p95_abs_delta_lorentz_D60_hotspot,p95_abs_delta_mainline_D21_guard,p95_abs_delta_mainline_D60_hotspot,joint_objective_vs_mainline,d60_mainline_gain,d21_mainline_gain,beats_mainline_both,beats_lorentz_both
2480,0.4,0.8,8.0,0.6853981633974483,6.0,0.07,0.15,0.3333333333333333,1.0,0.6666666666666666,0.2,-0.09052463009374762,0.8346077250511077,0.5346140377156952,-0.20134432666915786,0.7970357455965325,33.54741391887007,0.7970357455965303,33.56289025402462,2.102217055050133,31.28593012120719,33.54741391887007,-2.26148379766288,1.3051813094536004,0.0,0.0
9531,0.4,1.2,10.0,0.6853981633974483,6.0,0.03,0.3,0.3333333333333333,0.6,0.6666666666666666,0.0,-0.3644998928441633,-0.7285677722016468,0.2606387749652794,-1.7645198239219122,1.5597135185504092,33.54747890672098,0.7970357455965303,33.56289025402462,2.102217055050133,31.28593012120719,33.54747890672098,-2.261548785513792,0.5425035364997237,0.0,0.0
2301,0.4,0.8,6.0,0.9853981633974482,6.1,0.07,0.3,0.3333333333333333,1.0,0.6666666666666666,0.2,-0.339121705155318,1.409008339625766,0.2860169626541247,0.37305628790550055,1.4027715364161084,33.54754929022589,0.7970357455965303,33.56289025402462,2.102217055050133,31.28593012120719,33.54754929022589,-2.2616191690186973,0.6994455186340245,0.0,0.0
9210,0.4,1.2,8.0,0.6853981633974483,6.1,0.05,0.3,0.3333333333333333,0.8857142857142857,0.6666666666666666,0.2,-0.2629582169762861,1.0910602714814879,0.36218045083315653,0.05510821976122224,1.3759380197453048,33.54763819571427,0.7970357455965303,33.56289025402462,2.102217055050133,31.28593012120719,33.54763819571427,-2.26170807450708,0.7262790353048281,0.0,0.0
4448,0.4,0.9,10.0,0.5853981633974483,6.0,0.07,0.15,0.2601626016260163,1.0,0.6666666666666666,0.18095238095238095,-0.20244504252915968,0.4549557941928498,0.42269362528028304,-0.5809962575274157,1.12756425767931,33.547660916547194,0.7970357455965303,33.56289025402462,2.102217055050133,31.28593012120719,33.547660916547194,-2.2617307953400037,0.974652797370823,0.0,0.0
4064,0.4,0.9,8.0,0.4353981633974483,6.0,0.07,0.15,0.3333333333333333,1.0,0.6666666666666666,0.2,-0.1140799248689031,0.9255992381262252,0.5110587429405395,-0.11035281359404034,0.9176556687627412,33.54766921495485,0.7970357455965303,33.56289025402462,2.102217055050133,31.28593012120719,33.54766921495485,-2.2617390937476607,1.1845613862873918,0.0,0.0
755,0.4,0.7,8.0,0.5853981633974483,6.0,0.1,0.15,0.3333333333333333,1.0,0.6666666666666666,0.23809523809523808,-0.06631145968878879,1.5458263709426037,0.5588272081206537,0.5098743192223381,0.7970357456316417,33.54768817538511,0.7970357455965303,33.56289025402462,2.102217055050133,31.28593012120719,33.54768817538511,-2.261758054177921,1.3051813094184912,0.0,0.0
1571,0.4,0.7,12.0,0.8853981633974483,6.0,0.1,0.15,0.22764227642276422,1.0,0.6666666666666666,0.4,-0.19569131507281784,1.1330337913287565,0.4294473527366248,0.097081739608491,1.0428159022657983,33.547716052502864,0.7970357455965303,33.56289025402462,2.102217055050133,31.28593012120719,33.547716052502864,-2.261785931295673,1.0594011527843346,0.0,0.0
4213,0.4,0.9,8.0,0.7853981633974483,6.1,0.03,0.0,0.3333333333333333,0.8,0.6666666666666666,0.2,-0.3051162289061274,1.293524916279493,0.32002243890331517,0.2575728645592276,1.2178889976704503,33.547758635408215,0.7970357455965303,33.56289025402462,2.102217055050133,31.28593012120719,33.547758635408215,-2.2618285142010244,0.8843280573796826,0.0,0.0
3296,0.4,0.8,12.0,0.9853981633974482,6.0,0.07,0.15,0.3333333333333333,1.0,0.6666666666666666,0.2,-0.17159460510616695,0.3476278023964513,0.45354406270327574,-0.6883242493238141,1.0769174205702903,33.547792303362364,0.7970357455965303,33.56289025402462,2.102217055050133,31.28593012120719,33.547792303362364,-2.2618621821551734,1.0252996344798426,0.0,0.0
