i,j,k,obs_triangle_defect_abs,recon_triangle_defect_abs,mixed_triangle_defect_abs,channel
0,5,14,4.440892098500626e-16,4.440892098500626e-16,0.0,mix
0,5,15,0.0,2.220446049250313e-16,4.440892098500626e-16,mix
0,5,16,0.0,0.0,1.1102230246251565e-16,mix
0,6,7,0.0,8.881784197001252e-16,3.885780586188048e-16,mix
0,6,8,1.1102230246251565e-16,5.551115123125783e-17,7.979727989493313e-17,mix
0,6,9,4.440892098500626e-16,0.0,1.6653345369377348e-16,mix
0,6,10,1.1102230246251565e-16,0.0,1.249000902703301e-16,mix
0,6,11,0.0,0.0,5.551115123125783e-17,mix
0,6,12,1.1102230246251565e-16,2.220446049250313e-16,3.3306690738754696e-16,mix
0,6,13,0.0,0.0,5.551115123125783e-17,mix
0,6,14,0.0,0.0,5.551115123125783e-17,mix
0,6,15,0.0,2.220446049250313e-16,1.6653345369377348e-16,mix
0,6,16,4.440892098500626e-16,0.0,3.885780586188048e-16,mix
0,7,8,3.3306690738754696e-16,3.3306690738754696e-16,0.0,mix
0,7,9,4.440892098500626e-16,4.440892098500626e-16,0.0,mix
0,7,10,5.551115123125783e-16,2.220446049250313e-16,3.3306690738754696e-16,mix
0,7,11,4.440892098500626e-16,4.440892098500626e-16,0.0,mix
0,7,12,4.440892098500626e-16,2.220446049250313e-16,2.220446049250313e-16,mix
0,7,13,4.440892098500626e-16,2.220446049250313e-16,2.220446049250313e-16,mix
0,7,14,4.440892098500626e-16,0.0,2.220446049250313e-16,mix
0,7,15,0.0,2.220446049250313e-16,2.220446049250313e-16,mix
0,7,16,4.440892098500626e-16,4.440892098500626e-16,0.0,mix
0,8,9,0.0,0.0,2.220446049250313e-16,mix
0,8,10,0.0,0.0,2.7755575615628914e-17,mix
0,8,11,0.0,0.0,2.220446049250313e-16,mix
0,8,12,1.1102230246251565e-16,1.1102230246251565e-16,2.220446049250313e-16,mix
0,8,13,0.0,2.220446049250313e-16,2.220446049250313e-16,mix
0,8,14,4.440892098500626e-16,4.440892098500626e-16,0.0,mix
0,8,15,0.0,2.220446049250313e-16,2.220446049250313e-16,mix
0,8,16,0.0,0.0,0.0,mix
0,9,10,1.1102230246251565e-16,0.0,1.1102230246251565e-16,mix
0,9,11,4.440892098500626e-16,0.0,2.220446049250313e-16,mix
0,9,12,2.220446049250313e-16,0.0,2.220446049250313e-16,mix
0,9,13,2.220446049250313e-16,0.0,2.220446049250313e-16,mix
0,9,14,4.440892098500626e-16,4.440892098500626e-16,2.220446049250313e-16,mix
0,9,15,2.220446049250313e-16,2.220446049250313e-16,4.440892098500626e-16,mix
0,9,16,0.0,0.0,2.7755575615628914e-16,mix
0,10,11,0.0,0.0,1.1102230246251565e-16,mix
