D,eta,coeff_l1,coeff_l2,parent_kernel_k_part,parent_kernel_g_schur,parent_kernel_s_part,parent_kernel_s_schur,parent_kernel_response_action,parent_kernel_response_weight,parent_kernel_cross_xi,parent_kernel_coeff_share,parent_kernel_tree_share,eymh_parented_prefactor_diag
7.2,0.77,0.5085809080850586,0.3470601122559025,1.46539717508666,1.3844354713269957,0.38212631499972277,0.3252924546170884,0.7074187696168112,0.7020789725255723,0.0881899562978012,0.5401698843906981,0.4598301156093019,0.0543924292141684
8.0,0.77,0.5340456101511604,0.3605063289677364,1.481376517522817,1.351164566210993,0.39297173492748133,0.30096686222665314,0.6939385971541345,0.7068270285201762,0.08445432297182985,0.566291796621591,0.4337082033784089,0.0579949943599438
8.8,0.77,0.4659139786019265,0.3128373896945197,1.4893167950828494,1.6407998229627958,0.3983174880117796,0.49518381987914584,0.8935013078909254,0.6397033959080123,0.12831275152446517,0.445793961904759,0.5542060380952409,0.045708166471438
9.6,0.77,0.4654103914947826,0.311022914588276,1.4963861814197217,1.7998543911680291,0.40305298889944363,0.5877057678345001,0.9907587567339438,0.6093396931425429,0.147417674311062,0.4068124416362626,0.5931875583637374,0.0411393810730366
10.4,0.77,0.4844721655900466,0.3229405186741047,1.5001900894292903,1.770060626001857,0.4055918263652605,0.5710137979776024,0.9766056243428629,0.6136670190622353,0.14505261642887185,0.4153076904898787,0.5846923095101213,0.044359261671947
11.2,0.77,0.5036498085520432,0.3353439250232999,1.501890360820013,1.7268561928956991,0.40672455521826595,0.5463025258049385,0.9530270810232044,0.620944520187928,0.14065751726484169,0.4267712463968933,0.5732287536031068,0.0459252717523741
12.0,0.77,0.5221458496995938,0.3475022951774468,1.5025680605446587,1.6621245241942937,0.4071756846007332,0.5080966179312001,0.9152723025319334,0.6327776696810599,0.13324068233076083,0.44486835608851727,0.5551316439114827,0.0457444400154601
12.8,0.77,0.4340747990224953,0.284087158384006,1.5279634654789576,1.7104674599074758,0.4239357804316193,0.5367667015231896,0.9607024819548089,0.6185660878880556,0.14352259422222075,0.4412768660376596,0.5587231339623404,0.0392926624040364
13.6,0.77,0.4287147039070741,0.2799056182615367,1.531640224193335,1.611565451485609,0.426339203134154,0.47720603670492895,0.903545239839083,0.6364988804389426,0.1317213168960894,0.47185152921627144,0.5281484707837286,0.0396207396066896
14.4,0.77,0.4446080098107882,0.290811961808576,1.5288504882871594,1.5817491632624519,0.4245161381809065,0.458531300049902,0.8830474382308084,0.6430558377338372,0.12722312156929427,0.4807399011670624,0.5192600988329377,0.0396855777556322
15.2,0.77,0.4601608236878485,0.3015308934471568,1.5260818499464686,1.648315528333192,0.4227035683481482,0.49975387452811976,0.922457442876268,0.6305084501052823,0.13558809698666116,0.4582363897787388,0.5417636102212612,0.0417235015126084
16.0,0.77,0.4755164616324404,0.3120941395491134,1.5236314988785928,1.5923449131275178,0.42109662939035714,0.46520771793067967,0.8863043473210368,0.6420095027178518,0.12784487986639484,0.47511515729689596,0.524884842703104,0.0435279277811346
16.8,0.77,0.4915357510566308,0.3234922262552303,1.5194669644667653,1.5729944852945263,0.41835959208326384,0.4529811182178187,0.8713407103010826,0.6468309152748164,0.12453456658447933,0.48013318686636836,0.5198668131336316,0.0429632521227347
17.6,0.77,0.4410367983505291,0.2876304861315658,1.5333451063625898,1.5353027450111023,0.42745169286002205,0.42872758961253354,0.8561792824725556,0.6517529882364432,0.12127571595302501,0.49925488926289663,0.5007451107371034,0.0407600933091185
18.4,0.77,0.4179237790947546,0.2712877898789954,1.5405182049703174,1.4272097161359025,0.43211885655718146,0.3557212906510839,0.7878401472082653,0.6744079570837193,0.10502599838694987,0.5484854485880255,0.4515145514119745,0.0395745521139277
19.200000000000003,0.77,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0580670617382019
20.0,0.77,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0622911350603241
4.0,0.96,0.5372605251665131,0.3842984471074674,1.39802939410856,1.838453889830043,0.3350636694193056,0.6089249411237828,0.9439886105430884,0.6237570650347457,0.1298450161878165,0.35494461021784923,0.6450553897821508,0.0433246768679975
4.8,0.96,0.5497473388494498,0.3964951386913414,1.3865172235501486,1.772312345828242,0.32679500831904096,0.5722851040470446,0.8990801123660855,0.6379214922025515,0.1214776262580687,0.3634770737604496,0.6365229262395504,0.0392196203021978
5.6,0.96,0.5468263693517318,0.3979735221773836,1.374027011545763,2.0623355626781397,0.31774585266497246,0.7238391088619615,1.041584961526934,0.5940495885102461,0.1402200398485852,0.305059946525309,0.694940053474691,0.0448967407440167
6.4,0.96,0.5249814892840781,0.3726553905319276,1.4087586081465788,1.8684114432416337,0.34270889683877287,0.6250885742479305,0.9677974710867034,0.616375615693902,0.1348600598243335,0.35411220537077653,0.6458877946292234,0.0493701286638921
7.2,0.96,0.5085809159669752,0.3470601066349199,1.4653972215307436,1.3844354407448856,0.382126346693576,0.32529243252713824,0.7074187792207143,0.7020789691542232,0.0881899572361337,0.5401699218594715,0.4598300781405284,0.0543924289529786
8.0,0.96,0.5340456108622648,0.360506328551625,1.481376521205199,1.351164564978343,0.39297173741326524,0.30096686131436606,0.6939385987276313,0.7068270279640811,0.08445432318854108,0.5662917989196699,0.43370820108033015,0.0579949943143163
