mode,D,eta,mu,base_mu,delta_mu,delta_log_mu,acceptance_mismatch
full_direct,6.169491525423728,3.24,75.8948795315888,75.8948795315888,0.0,0.0,0.0
base_mode,6.169491525423728,3.24,101.77331758038372,75.8948795315888,25.87843804879492,0.29339874470359584,0.0
refamp2_mode,6.169491525423728,3.24,91.79204964268492,75.8948795315888,15.897170111096116,0.1901764699025834,0.0
full_direct,6.169491525423728,3.43,75.8954003642339,75.8954003642339,0.0,0.0,0.0
base_mode,6.169491525423728,3.43,101.7768791907654,75.8954003642339,25.881478826531506,0.293426877083729,0.0
refamp2_mode,6.169491525423728,3.43,91.79526195338416,75.8954003642339,15.899861589150262,0.1902046022827165,0.0
full_direct,6.169491525423728,3.62,75.89592119227078,75.89592119227078,0.0,0.0,0.0
base_mode,6.169491525423728,3.62,101.78044106643736,75.89592119227078,25.884519874166585,0.2934550109535687,0.0
refamp2_mode,6.169491525423728,3.62,91.79847450335575,75.89592119227078,15.902553311084972,0.19023273615255598,0.0
full_direct,6.169491525423728,3.81,75.89644201566321,75.89644201566321,0.0,0.0,0.0
base_mode,6.169491525423728,3.81,101.78400320736998,75.89644201566321,25.887561191706766,0.2934831463131111,0.0
refamp2_mode,6.169491525423728,3.81,91.80168729257294,75.89644201566321,15.905245276909724,0.1902608715120984,0.0
full_direct,6.169491525423728,4.0,75.89696283445247,75.89696283445247,0.0,0.0,0.0
base_mode,6.169491525423728,4.0,101.78756561364445,75.89696283445247,25.89060277919198,0.2935112831624207,0.0
refamp2_mode,6.169491525423728,4.0,91.80490032110902,75.89696283445247,15.90793748665655,0.1902890083614084,0.0
full_direct,6.4406779661016955,0.2,47.19141164055394,47.19141164055394,0.0,0.0,0.0
base_mode,6.4406779661016955,0.2,78.47601793108856,47.19141164055394,31.284606290534626,0.5085811547824803,0.0
refamp2_mode,6.4406779661016955,0.2,77.96388836150501,47.19141164055394,30.772476720951076,0.5020338304942814,0.0
full_direct,6.4406779661016955,0.39,47.19153369844375,47.19153369844375,0.0,0.0,0.0
base_mode,6.4406779661016955,0.39,78.47622944196618,47.19153369844375,31.284695743522434,0.5085812635688183,0.0
refamp2_mode,6.4406779661016955,0.39,77.96409849207589,47.19153369844375,30.772564793632142,0.502033939280619,0.0
full_direct,6.4406779661016955,0.5800000000000001,47.19165575586128,47.19165575586128,0.0,0.0,0.0
base_mode,6.4406779661016955,0.5800000000000001,78.47644095403476,47.19165575586128,31.28478519817348,0.5085813723797655,0.0
refamp2_mode,6.4406779661016955,0.5800000000000001,77.96430862382998,47.19165575586128,30.772652867968702,0.5020340480915663,0.0
full_direct,6.4406779661016955,0.77,47.1917778127194,47.1917778127194,0.0,0.0,0.0
base_mode,6.4406779661016955,0.77,78.47665246303025,47.1917778127194,31.284874650310847,0.5085814811628327,0.0
refamp2_mode,6.4406779661016955,0.77,77.96451875253105,47.1917778127194,30.772740939811648,0.5020341568746336,0.0
full_direct,6.4406779661016955,0.96,47.19189986898862,47.19189986898862,0.0,0.0,0.0
base_mode,6.4406779661016955,0.96,78.47686397247853,47.19189986898862,31.284964103489905,0.5085815899635738,0.0
refamp2_mode,6.4406779661016955,0.96,77.96472888168192,47.19189986898862,30.7728290126933,0.5020342656753747,0.0
full_direct,6.4406779661016955,1.15,47.19202192458663,47.19202192458663,0.0,0.0,0.0
base_mode,6.4406779661016955,1.15,78.47707547646753,47.19202192458663,31.2850535518809,0.5085816987083982,0.0
refamp2_mode,6.4406779661016955,1.15,77.96493900540915,47.19202192458663,30.772917080822516,0.5020343744201988,0.0
