combo_id,mode,kappa,center_D,width_D,power,region,D,slice_p95_abs_delta_base,slice_p95_abs_delta_cf,slice_max_abs_delta_base,slice_max_abs_delta_cf,slice_mean_abs_improvement,slice_improved_fraction,slice_worsened_fraction,slice_p95_abs_cf_shift_vs_base
55,gamma_ref_suppress,0.05,6.4,0.12,0.5,D60_hotspot,6.169491525423728,25.887561191706766,27.51543915211873,25.89060277919198,27.51853771479138,-1.6273653374898873,0.0,1.0,1.6278779604119649
55,gamma_ref_suppress,0.05,6.4,0.12,0.5,D60_hotspot,6.4406779661016955,31.28630580743782,37.322390593513795,31.28639526077564,37.32249631377622,-6.035938384985319,0.0,1.0,6.036084786075975
55,gamma_ref_suppress,0.05,6.4,0.12,0.5,D60_hotspot,6.711864406779661,7.462467784829663,11.211044515096646,7.462495924022775,11.21107891220364,-3.748520408881196,0.0,1.0,3.748576730266983
55,gamma_ref_suppress,0.05,6.4,0.12,0.5,D21_guard,4.0,0.9136772062233662,0.9136772057639169,0.9244091557317824,0.9244091552661748,4.0768035018306654e-10,1.0,0.0,4.594493674403566e-10
55,gamma_ref_suppress,0.05,6.4,0.12,0.5,D21_guard,6.4,2.1022273869561374,1.670090529117637,2.102232425909044,1.6701058549464776,0.4322293594409185,1.0,0.0,3.7722271943393437
55,gamma_ref_suppress,0.05,6.4,0.12,0.5,D21_guard,8.0,0.3226590996076344,0.018553584025475356,0.32265909973791107,0.018553584073789597,0.30410551247464107,1.0,0.0,0.3041055159093129
56,gamma_ref_suppress,0.05,6.4,0.2,0.5,D60_hotspot,4.813559322033898,8.950884564633627,8.951678859951313,8.958857939127418,8.959652927523114,-0.0007880882368875218,0.0,1.0,0.0007942953176858225
56,gamma_ref_suppress,0.05,6.4,0.2,0.5,D60_hotspot,5.627118644067797,10.271915904250342,10.414735493006802,10.272608773798765,10.415435707663029,-0.14275350852994556,0.0,1.0,0.14281958875645984
56,gamma_ref_suppress,0.05,6.4,0.2,0.5,D60_hotspot,6.169491525423728,25.887561191706766,28.96734194936147,25.89060277919198,28.970491328149336,-3.0788109268382975,0.0,1.0,3.079780757654703
56,gamma_ref_suppress,0.05,6.4,0.2,0.5,D60_hotspot,6.4406779661016955,31.28630580743782,36.96633379523258,31.28639526077564,36.96643855594102,-5.67989022261718,0.0,1.0,5.680027987794759
56,gamma_ref_suppress,0.05,6.4,0.2,0.5,D60_hotspot,6.711864406779661,7.462467784829663,10.767181129827492,7.462495924022775,10.767214785944233,-3.304663692543417,0.0,1.0,3.304713344997829
56,gamma_ref_suppress,0.05,6.4,0.2,0.5,D21_guard,4.0,0.9136772062233662,0.9136758366322733,0.9244091557317824,0.9244077677837472,1.2152710259038266e-06,1.0,0.0,1.3695910929811816e-06
56,gamma_ref_suppress,0.05,6.4,0.2,0.5,D21_guard,6.4,2.1022273869561374,1.670090529117637,2.102232425909044,1.6701058549464776,0.4322293594409185,1.0,0.0,3.7722271943393437
56,gamma_ref_suppress,0.05,6.4,0.2,0.5,D21_guard,8.0,0.3226590996076344,0.01866241638520183,0.32265909973791107,0.01866241643337796,0.3039966801136583,1.0,0.0,0.30399668354710085
57,gamma_ref_suppress,0.05,6.4,0.3,0.5,D60_hotspot,4.813559322033898,8.950884564633627,8.962011227776552,8.958857939127418,8.969994311059265,-0.011039712992774144,0.0,1.0,0.011126663142924542
57,gamma_ref_suppress,0.05,6.4,0.3,0.5,D60_hotspot,5.627118644067797,10.271915904250342,10.764738222172568,10.272608773798765,10.76545643721515,-0.49259429730765447,0.0,1.0,0.49282231792222575
57,gamma_ref_suppress,0.05,6.4,0.3,0.5,D60_hotspot,6.169491525423728,25.887561191706766,29.972427906305697,25.89060277919198,29.975612462767913,-4.083580379650933,0.0,1.0,4.084866714598931
57,gamma_ref_suppress,0.05,6.4,0.3,0.5,D60_hotspot,6.4406779661016955,31.28630580743782,36.78683138521367,31.28639526077564,36.78693566217276,-5.50039216630594,0.0,1.0,5.500525577775846
57,gamma_ref_suppress,0.05,6.4,0.3,0.5,D60_hotspot,6.711864406779661,7.462467784829663,10.400263101186638,7.462495924022775,10.400296144766521,-2.9377511767500613,0.0,1.0,2.9377953163569757
57,gamma_ref_suppress,0.05,6.4,0.3,0.5,D21_guard,4.0,0.9136772062233662,0.9136024524701636,0.9244091557317824,0.9243334000369487,6.633079816231735e-05,1.0,0.0,7.475375320264988e-05
57,gamma_ref_suppress,0.05,6.4,0.3,0.5,D21_guard,6.4,2.1022273869561374,1.670090529117637,2.102232425909044,1.6701058549464776,0.4322293594409185,1.0,0.0,3.7722271943393437
57,gamma_ref_suppress,0.05,6.4,0.3,0.5,D21_guard,8.0,0.3226590996076344,0.02011943163876717,0.32265909973791107,0.020119431685088784,0.3025396648432789,1.0,0.0,0.30253966826026524
58,gamma_ref_suppress,0.05,6.55,0.12,0.5,D60_hotspot,4.813559322033898,8.950884564633627,8.950885714514664,8.958857939127418,8.958859090011805,-1.1408952030730494e-06,0.0,1.0,1.1498810366106227e-06
58,gamma_ref_suppress,0.05,6.55,0.12,0.5,D60_hotspot,5.627118644067797,10.271915904250342,10.275088090299384,10.272608773798765,10.275781122991035,-0.003170718331803966,0.0,1.0,0.003172186049042125
58,gamma_ref_suppress,0.05,6.55,0.12,0.5,D60_hotspot,6.169491525423728,25.887561191706766,26.3979502198476,25.89060277919198,26.401009670779132,-0.5102283053339912,0.0,1.0,0.5103890281408354
58,gamma_ref_suppress,0.05,6.55,0.12,0.5,D60_hotspot,6.4406779661016955,31.28630580743782,34.194932744754176,31.28639526077564,34.1950300366855,-2.908556390567748,0.0,1.0,2.908626937316356
58,gamma_ref_suppress,0.05,6.55,0.12,0.5,D60_hotspot,6.711864406779661,7.462467784829663,10.631193974277252,7.462495924022775,10.63122740337559,-3.168678580164656,0.0,1.0,3.1687261894475895
58,gamma_ref_suppress,0.05,6.55,0.12,0.5,D21_guard,4.0,0.9136772062233662,0.913677206091732,0.9244091557317824,0.9244091555983838,1.1680228058465428e-10,1.0,0.0,1.3163425904849646e-10
58,gamma_ref_suppress,0.05,6.55,0.12,0.5,D21_guard,6.4,2.1022273869561374,0.45158741550927317,2.102232425909044,0.4515969518170948,1.6506804457927975,1.0,0.0,1.650720918978955
58,gamma_ref_suppress,0.05,6.55,0.12,0.5,D21_guard,8.0,0.3226590996076344,0.018554899356711285,0.32265909973791107,0.01855489940502375,0.30410419714338993,1.0,0.0,0.30410420057804677
59,gamma_ref_suppress,0.05,6.55,0.2,0.5,D60_hotspot,4.813559322033898,8.950884564633627,8.951259830335042,8.958857939127418,8.959233532274306,-0.0003723331592258968,0.0,1.0,0.0003752657014146621
59,gamma_ref_suppress,0.05,6.55,0.2,0.5,D60_hotspot,5.627118644067797,10.271915904250342,10.340074998496235,10.272608773798765,10.340771373417411,-0.06812755817701968,0.0,1.0,0.0681590942458925
59,gamma_ref_suppress,0.05,6.55,0.2,0.5,D60_hotspot,6.169491525423728,25.887561191706766,27.54190161519567,25.89060277919198,27.545001104045724,-1.6538194674696935,0.0,1.0,1.6543404234889039
59,gamma_ref_suppress,0.05,6.55,0.2,0.5,D60_hotspot,6.4406779661016955,31.28630580743782,35.023882787739474,31.28639526077564,35.02398231364669,-3.7374863279391084,0.0,1.0,3.737576980301654
59,gamma_ref_suppress,0.05,6.55,0.2,0.5,D60_hotspot,6.711864406779661,7.462467784829663,10.205708918567293,7.462495924022775,10.205741637356347,-2.7431999172564665,0.0,1.0,2.74324113373763
59,gamma_ref_suppress,0.05,6.55,0.2,0.5,D21_guard,4.0,0.9136772062233662,0.9136765592723508,0.9244091557317824,0.9244085001095348,5.74055153028284e-07,1.0,0.0,6.469510154261116e-07
59,gamma_ref_suppress,0.05,6.55,0.2,0.5,D21_guard,6.4,2.1022273869561374,0.29077637427597836,2.102232425909044,0.2907879424598505,1.811509695580751,1.0,0.0,2.392913039497685
59,gamma_ref_suppress,0.05,6.55,0.2,0.5,D21_guard,8.0,0.3226590996076344,0.018784479289621014,0.32265909973791107,0.018784479337641713,0.30387461720783066,1.0,0.0,0.30387462063989457
60,gamma_ref_suppress,0.05,6.55,0.3,0.5,D60_hotspot,4.813559322033898,8.950884564633627,8.95764586761974,8.958857939127418,8.965625141821528,-0.0067084662728667185,0.0,1.0,0.006761302986113549
60,gamma_ref_suppress,0.05,6.55,0.3,0.5,D60_hotspot,5.627118644067797,10.271915904250342,10.578893664469796,10.272608773798765,10.579602321661653,-0.3068357267623681,0.0,1.0,0.30697776021945344
60,gamma_ref_suppress,0.05,6.55,0.3,0.5,D60_hotspot,6.169491525423728,25.887561191706766,28.700871124403108,25.89060277919198,28.70401117680069,-2.812424014222422,0.0,1.0,2.8133099326963418
60,gamma_ref_suppress,0.05,6.55,0.3,0.5,D60_hotspot,6.4406779661016955,31.28630580743782,35.47625763449114,31.28639526077564,35.47635837952429,-4.18985020264958,0.0,1.0,4.189951827053321
60,gamma_ref_suppress,0.05,6.55,0.3,0.5,D60_hotspot,6.711864406779661,7.462467784829663,9.956927810268894,7.462495924022775,9.95696011374012,-2.4944225468292083,0.0,1.0,2.4944600254392313
60,gamma_ref_suppress,0.05,6.55,0.3,0.5,D21_guard,4.0,0.9136772062233662,0.913631860095772,0.9244091557317824,0.9243632018196815,4.0236706627125105e-05,1.0,0.0,4.5346127594214636e-05
60,gamma_ref_suppress,0.05,6.55,0.3,0.5,D21_guard,6.4,2.1022273869561374,0.7240240269664682,2.102232425909044,0.7240367754404602,1.3782726654689752,1.0,0.0,2.826160692188175
60,gamma_ref_suppress,0.05,6.55,0.3,0.5,D21_guard,8.0,0.3226590996076344,0.021126985583709512,0.32265909973791107,0.02112698562874904,0.3015321108867091,1.0,0.0,0.30153211429231597
61,gamma_ref_suppress,0.1,6.1,0.12,0.5,D60_hotspot,4.813559322033898,8.950884564633627,8.950982351130138,8.958857939127418,8.95895581094946,-9.702233654267156e-05,0.0,1.0,9.778649651082105e-05
61,gamma_ref_suppress,0.1,6.1,0.12,0.5,D60_hotspot,5.627118644067797,10.271915904250342,10.537255758151865,10.272608773798765,10.537962273936415,-0.26521708560480645,0.0,1.0,0.2653398539015228
61,gamma_ref_suppress,0.1,6.1,0.12,0.5,D60_hotspot,6.169491525423728,25.887561191706766,43.45024101756991,25.89060277919198,43.45389729301037,-17.557149293187557,0.0,1.0,17.562679825863142
61,gamma_ref_suppress,0.1,6.1,0.12,0.5,D60_hotspot,6.4406779661016955,31.28630580743782,52.550244897068815,31.28639526077564,52.55039165558143,-21.263423347393296,0.0,1.0,21.263939089630995
61,gamma_ref_suppress,0.1,6.1,0.12,0.5,D60_hotspot,6.711864406779661,7.462467784829663,16.054040310842964,7.462495924022775,16.05408279289869,-8.591443439881271,0.0,1.0,8.591572526013302
61,gamma_ref_suppress,0.1,6.1,0.12,0.5,D21_guard,4.0,0.9136772062233662,0.9136771950288898,0.9244091557317824,0.9244091443872637,9.933127502098221e-09,1.0,0.0,1.119447645692162e-08
61,gamma_ref_suppress,0.1,6.1,0.12,0.5,D21_guard,6.4,2.1022273869561374,13.115467153000395,2.102232425909044,13.115513659297932,-11.01286664107697,0.0,1.0,15.217603818222102
61,gamma_ref_suppress,0.1,6.1,0.12,0.5,D21_guard,8.0,0.3226590996076344,0.33174961051867324,0.32265909973791107,0.3317496112554137,-0.009090510275759607,0.0,1.0,0.6544087101263076
62,gamma_ref_suppress,0.1,6.1,0.2,0.5,D60_hotspot,4.813559322033898,8.950884564633627,8.957996362558424,8.958857939127418,8.965975942591468,-0.007056222242358922,0.0,1.0,0.007111797924796548
62,gamma_ref_suppress,0.1,6.1,0.2,0.5,D60_hotspot,5.627118644067797,10.271915904250342,11.477395587305644,10.272608773798765,11.478150453799337,-1.204921927839715,0.0,1.0,1.2054796830553016
62,gamma_ref_suppress,0.1,6.1,0.2,0.5,D60_hotspot,6.169491525423728,25.887561191706766,41.835052846824155,25.89060277919198,41.83865259121559,-15.94246974931674,0.0,1.0,15.947491655117389
62,gamma_ref_suppress,0.1,6.1,0.2,0.5,D60_hotspot,6.4406779661016955,31.28630580743782,50.08111789336517,31.28639526077564,50.081257997713,-18.79435623066923,0.0,1.0,18.794812085927347
62,gamma_ref_suppress,0.1,6.1,0.2,0.5,D60_hotspot,6.711864406779661,7.462467784829663,15.676010055714585,7.462495924022775,15.676051906682574,-8.213418864558683,0.0,1.0,8.213542270884922
62,gamma_ref_suppress,0.1,6.1,0.2,0.5,D21_guard,4.0,0.9136772062233662,0.9136649302930788,0.9244091557317824,0.9243967152643968,1.0892727378411719e-05,1.0,0.0,1.2275930287408698e-05
62,gamma_ref_suppress,0.1,6.1,0.2,0.5,D21_guard,6.4,2.1022273869561374,11.173824649943967,2.102232425909044,11.173865866653799,-9.071271744164958,0.0,1.0,13.275961315165674
62,gamma_ref_suppress,0.1,6.1,0.2,0.5,D21_guard,8.0,0.3226590996076344,0.3316934780448597,0.32265909973791107,0.33169347878152555,-0.00903437780257989,0.0,1.0,0.6543525776524941
63,gamma_ref_suppress,0.1,6.1,0.3,0.5,D60_hotspot,4.813559322033898,8.950884564633627,9.010930110539897,8.958857939127418,9.018955878956588,-0.059576315449177235,0.0,1.0,0.06004554590627009
63,gamma_ref_suppress,0.1,6.1,0.3,0.5,D60_hotspot,5.627118644067797,10.271915904250342,12.700024030037284,10.272608773798765,12.700841775424507,-2.426984680912496,0.0,1.0,2.4281081257869417
