family,peak2,center2_D,sigma2_D,D,eta,target_mu,cur_mu,mu_new,delta_mu,delta_log_mu,beta2
pointamp2,0.25,5.9,0.08,6.4406779661016955,2.8600000000000003,53.177735495178766,58.12346383255956,58.12346383170283,4.945728336524063,0.08892963183647692,3.0151583898993664e-11
pointamp2,0.25,5.9,0.08,6.4406779661016955,3.0500000000000003,53.177857144103946,58.12362003370544,58.1236200328487,4.945762888744753,0.08893003164674673,3.0151583898993664e-11
pointamp2,0.25,5.9,0.08,6.4406779661016955,3.24,53.17797879225753,58.123776235591045,58.123776234734294,4.945797442476767,0.08893043148226414,3.0151583898993664e-11
pointamp2,0.25,5.9,0.08,6.4406779661016955,3.43,53.178100439580184,58.12393243818266,58.12393243732589,4.945831997745707,0.088930831343564,3.0151583898993664e-11
pointamp2,0.25,5.9,0.08,6.4406779661016955,3.62,53.1782220861386,58.124088641509616,58.124088640652865,4.945866554514268,0.08893123122989788,3.0151583898993664e-11
pointamp2,0.25,5.9,0.08,6.4406779661016955,3.81,53.17834373193131,58.12424484555507,58.1242448446983,4.945901112766997,0.08893163114100187,3.0151583898993664e-11
pointamp2,0.25,5.9,0.08,6.4406779661016955,4.0,53.178465376946676,58.12440105035036,58.124401049493606,4.945935672546931,0.0889320310776351,3.0151583898993664e-11
pointamp2,0.25,5.9,0.08,6.711864406779661,0.2,24.022491636014024,21.419281039655687,21.419281039655687,-2.6032105963583376,-0.11469904344863129,1.0823284917990452e-23
pointamp2,0.25,5.9,0.08,6.711864406779661,0.39,24.022510691807305,21.41931630433541,21.41931630433541,-2.603194387471895,-0.11469819029881273,1.0823284917990452e-23
pointamp2,0.25,5.9,0.08,6.711864406779661,0.5800000000000001,24.02252974733178,21.419351569161954,21.419351569161954,-2.603178178169827,-0.11469733713303126,1.0823284917990452e-23
pointamp2,0.25,5.9,0.08,6.711864406779661,0.77,24.022548802487066,21.419386833152384,21.419386833152384,-2.603161969334682,-0.11469648399299802,1.0823284917990452e-23
pointamp2,0.25,5.9,0.08,6.711864406779661,0.96,24.022567857789728,21.419422097201007,21.419422097201007,-2.6031457605887205,-0.11469563085846429,1.0823284917990452e-23
pointamp2,0.25,5.9,0.08,6.711864406779661,1.15,24.022586912972304,21.419457360064094,21.419457360064094,-2.603129552908211,-0.11469477777636149,1.0823284917990452e-23
pointamp2,0.25,5.9,0.08,6.711864406779661,1.34,24.02260596800885,21.419492622670344,21.419492622670344,-2.6031133453385067,-0.11469392470225176,1.0823284917990452e-23
pointamp2,0.25,5.9,0.08,6.711864406779661,1.53,24.022625023057742,21.41952788542647,21.41952788542647,-2.6030971376312735,-0.11469307162373987,1.0823284917990452e-23
pointamp2,0.25,5.9,0.08,6.711864406779661,1.72,24.0226440780572,21.419563148331342,21.419563148331342,-2.6030809297258592,-0.1146922185383068,1.0823284917990452e-23
pointamp2,0.25,5.9,0.08,6.711864406779661,1.91,24.022663132903386,21.41959841134778,21.41959841134778,-2.6030647215556044,-0.11469136544336576,1.0823284917990452e-23
pointamp2,0.25,5.9,0.08,6.711864406779661,2.1,24.02268218768798,21.419633672593505,21.419633672593505,-2.603048515094475,-0.11469051243060997,1.0823284917990452e-23
pointamp2,0.25,5.9,0.08,6.711864406779661,2.29,24.02270124244546,21.419668932300887,21.419668932300887,-2.603032310144574,-0.11468965949062541,1.0823284917990452e-23
pointamp2,0.25,5.9,0.08,6.711864406779661,2.4800000000000004,24.022720297033377,21.419704192103506,21.419704192103506,-2.6030161049298712,-0.11468880654121684,1.0823284917990452e-23
pointamp2,0.25,5.9,0.08,6.711864406779661,2.6700000000000004,24.0227393516132,21.41973945205817,21.41973945205817,-2.60299989955503,-0.11468795358645353,1.0823284917990452e-23
pointamp2,0.25,5.9,0.08,6.711864406779661,2.8600000000000003,24.022758406111414,21.419774712151366,21.419774712151366,-2.6029836939600486,-0.11468710062390622,1.0823284917990452e-23
pointamp2,0.25,5.9,0.08,6.711864406779661,3.0500000000000003,24.022777460554764,21.41980997237992,21.41980997237992,-2.602967488174844,-0.11468624765483651,1.0823284917990452e-23
pointamp2,0.25,5.9,0.08,6.711864406779661,3.24,24.022796514904933,21.419845232740684,21.419845232740684,-2.6029512821642484,-0.11468539467779619,1.0823284917990452e-23
pointamp2,0.25,5.9,0.08,6.711864406779661,3.43,24.022815569163555,21.419880493234228,21.419880493234228,-2.6029350759293273,-0.114684541692827,1.0823284917990452e-23
pointamp2,0.25,5.9,0.08,6.711864406779661,3.62,24.022834623332585,21.419915753857577,21.419915753857577,-2.6029188694750083,-0.11468368870014885,1.0823284917990452e-23
pointamp2,0.25,5.9,0.08,6.711864406779661,3.81,24.022853677482853,21.41995101462513,21.41995101462513,-2.6029026628577228,-0.11468283570203824,1.0823284917990452e-23
