label,beta,center,half_width,objective,global_max_abs_delta_mu_mumu,d4p0_p95_abs_delta_mu_mumu,d4p0_max_abs_delta_mu_mumu,d4p0_acceptance_mismatch,d4p8_p95_abs_delta_mu_mumu,d4p8_max_abs_delta_mu_mumu,d6p4_p95_abs_delta_mu_mumu,d6p4_max_abs_delta_mu_mumu,d7p2_p95_abs_delta_mu_mumu,d7p2_max_abs_delta_mu_mumu,d8p0_p95_abs_delta_mu_mumu,d8p0_max_abs_delta_mu_mumu
bandpass_gnorm,0.05,0.05,0.04,60.951223243399255,113.60829236964439,112.61300450714864,113.60829236964439,0.6097560975609756,101.0545112734337,101.12669838457309,5.417508624492989,5.417705113093206,1.4518307269421404,1.4518319568108993,1.8995577403980453,1.8995577535730623
bandpass_gnorm,0.05,0.05,0.03,60.99616610096283,113.641084651587,112.64551604809776,113.641084651587,0.6097560975609756,101.09842362628267,101.1706411047489,5.436458650106893,5.436655018652139,1.4519229335367063,1.4519241622499743,1.9003919781538232,1.900391991353798
bandpass_gnorm,0.05,0.05,0.02,61.068183699893545,113.70689523264188,112.71076325216438,113.70689523264188,0.6097560975609756,101.18659707801439,101.25887552520942,5.459322081929265,5.459518312793165,1.4521082471349933,1.452109473528913,1.9020644097495993,1.90206442299972
bandpass_gnorm,0.05,0.05,0.01,61.221772708116106,113.90613436476401,112.90829710313821,113.90613436476401,0.6097560975609756,101.45390921981998,101.52637244612706,5.474686712874245,5.474882809776062,1.4526721152789026,1.4526733346484377,1.9071131540148998,1.907113167417256
bandpass_gnorm,0.25,0.07,0.02,61.27879728769329,117.25240685344598,116.22599485506939,117.25240685344598,0.6097560975609756,106.01675209034988,106.09235690795059,3.600277281045308,3.6004810092184627,1.4641492538520282,1.4641503559314133,1.9888941674383793,1.9888941834723983
bandpass_gnorm,0.15,0.08,0.04,61.28705643615623,114.68485123341421,113.68035345873662,114.68485123341421,0.6097560975609756,102.50380400825628,102.57699215546269,5.086786962253093,5.0869849373561,1.4549481129246251,1.454949304830584,1.926642464337101,1.9266424783401543
bandpass_gnorm,0.05,0.06,0.04,61.58715390085962,114.47536948159679,113.47266275527187,114.47536948159679,0.6097560975609756,102.22059542179069,102.29358814821146,5.456173882170432,5.456369734993537,1.4543212235313483,1.4543224228235712,1.921420191162904,1.9214202050035238
bandpass_gnorm,0.1,0.07,0.03,61.63926793114252,114.95302675651774,113.94623682694456,114.95302675651774,0.6097560975609756,102.8671674614684,102.94060620433889,5.22723427796479,5.227431326632377,1.455770706045091,1.4557718885011282,1.933295094124436,1.93329510833627
bandpass_gnorm,0.05,0.06,0.03,61.866882084476934,114.81080198793704,113.80522758483406,114.81080198793704,0.6097560975609756,102.67434941367225,102.7476551971178,5.498136187536431,5.498331632947064,1.455331466011974,1.4553326534787132,1.929771486727025,1.9297715008280187
bandpass_gnorm,0.1,0.08,0.04,62.292012573933995,115.50224855432738,114.4907667656459,115.50224855432738,0.6097560975609756,103.61405580371984,103.68800917772936,5.456588621625663,5.456784037273231,1.4575386262731662,1.4575397894085516,1.9468068060955717,1.94680682073772
bandpass_gnorm,0.05,0.07,0.04,62.32652129804611,115.39206974157305,114.38152892104037,115.39206974157305,0.6097560975609756,103.46393656471699,103.53778655117927,5.548577335830025,5.548772211255013,1.4571741080152725,1.4571752750221938,1.9441082350046126,1.9441082495601565
bandpass_gnorm,0.2,0.07,0.02,62.37534993073828,117.25240685344598,116.22599485506939,117.25240685344598,0.6097560975609756,106.01675209034988,106.09235690795059,4.514074978613628,4.514274878422626,1.4641492538520282,1.4641503559314133,1.9888941674383793,1.9888941834723983
bandpass_gnorm,0.05,0.06,0.02,62.44214678101065,115.50224855432738,114.4907667656459,115.50224855432738,0.6097560975609756,103.61405580371984,103.68800917772936,5.581701258195729,5.581895876503772,1.4575386262731662,1.4575397894085516,1.9468068060955717,1.94680682073772
bandpass_gnorm,0.25,0.06,0.01,62.804004670445856,117.25240685344598,116.22599485506939,117.25240685344598,0.6097560975609756,106.01675209034988,106.09235690795059,4.871289036091682,4.87148716151227,1.4641492538520282,1.4641503559314133,1.9888941674383793,1.9888941834723983
bandpass_gnorm,0.05,0.07,0.03,62.883639958200874,116.06858953067027,115.05227299738056,116.06858953067027,0.6097560975609756,104.38789537161642,104.46238130103433,5.623678632465065,5.6238727375744375,1.459500235849986,1.4595013791287395,1.9605847449399172,1.9605847600292865
bandpass_gnorm,0.25,0.08,0.03,62.91362756853848,117.25240685344598,116.22599485506939,117.25240685344598,0.6097560975609756,106.01675209034988,106.09235690795059,4.962641937126087,4.9628395765894595,1.4641492538520282,1.4641503559314133,1.9888941674383793,1.9888941834723983
bandpass_gnorm,0.25,0.07,0.01,62.96589978702831,117.25240685344598,116.22599485506939,117.25240685344598,0.6097560975609756,106.01675209034988,106.09235690795059,5.006202356018868,5.0063997586643225,1.4641492538520282,1.4641503559314133,1.9888941674383793,1.9888941834723983
bandpass_gnorm,0.15,0.07,0.02,63.132255178261566,117.25240685344598,116.22599485506939,117.25240685344598,0.6097560975609756,106.01675209034988,106.09235690795059,5.1448326255641135,5.1450292513587,1.4641492538520282,1.4641503559314133,1.9888941674383793,1.9888941834723983
bandpass_gnorm,0.05,0.08,0.04,63.1590335670665,116.35816291369203,115.33937562983803,116.35816291369203,0.6097560975609756,104.7849474146903,104.85970634422893,5.685944636076243,5.686138215991001,1.460564976190124,1.4605661093490543,1.967570067163503,1.9675700824827844
bandpass_gnorm,0.2,0.06,0.01,63.255547209955544,117.25240685344598,116.22599485506939,117.25240685344598,0.6097560975609756,106.01675209034988,106.09235690795059,5.247576585197493,5.247772611103677,1.4641492538520282,1.4641503559314133,1.9888941674383793,1.9888941834723983
bandpass_gnorm,0.2,0.08,0.03,63.32016542107752,117.25240685344598,116.22599485506939,117.25240685344598,0.6097560975609756,106.01675209034988,106.09235690795059,5.3014254175685736,5.3016211203719905,1.4641492538520282,1.4641503559314133,1.9888941674383793,1.9888941834723983
bandpass_gnorm,0.2,0.07,0.01,63.35105843140941,117.25240685344598,116.22599485506939,117.25240685344598,0.6097560975609756,106.01675209034988,106.09235690795059,5.327169749500612,5.327365295648569,1.4641492538520282,1.4641503559314133,1.9888941674383793,1.9888941834723983
bandpass_gnorm,0.25,0.09,0.04,63.40323745617626,117.25240685344598,116.22599485506939,117.25240685344598,0.6097560975609756,106.01675209034988,106.09235690795059,5.37065253800904,5.370847816287608,1.4641492538520282,1.4641503559314133,1.9888941674383793,1.9888941834723983
bandpass_gnorm,0.15,0.06,0.01,63.57831998536813,117.25240685344598,116.22599485506939,117.25240685344598,0.6097560975609756,106.01675209034988,106.09235690795059,5.516555575289658,5.516749923947501,1.4641492538520282,1.4641503559314133,1.9888941674383793,1.9888941834723983
