D,eta,mu_mumu_uv_rge,chi2_uv_rge,mu_mumu_release_bridge,mu_mumu_direct_y2,delta_mu_mumu_direct_minus_release,abs_delta_mu_mumu_direct_minus_release,chi2_release_bridge,chi2_direct_y2,accept_release,accept_direct_y2,acceptance_flip,acceptance_gain,acceptance_loss
6.4,3.43,59.8805279485709,21374.825932147385,59.8805279485592,56.743579333331944,-3.1369486152272543,3.1369486152272543,21374.825932138836,19143.198583905043,False,False,False,False,False
6.4,3.62,59.88068030856487,21374.93730845354,59.8806803085504,56.74371163816313,-3.136968670387276,3.136968670387276,21374.937308442968,19143.29011180095,False,False,False,False,False
6.4,3.81,59.88083266734209,21375.04868416041,59.880832667325215,56.743843941794026,-3.1369887255311895,3.1369887255311895,21375.048684148078,19143.381639085317,False,False,False,False,False
6.4,4.0,59.88098502500713,21375.16005934442,59.88098502500069,56.743976244333275,-3.137008780667415,3.137008780667415,21375.160059339716,19143.473165833286,False,False,False,False,False
7.2,0.2,3.5314919255891972,28.395361430324648,3.531491925587209,3.2084836756448523,-0.3230082499423568,0.3230082499423568,28.395361430271677,20.441332531711964,False,False,False,False,False
7.2,0.39,3.531492232104217,28.395369597003853,3.5314922321019044,3.2084838730124896,-0.32300835908941483,0.32300835908941483,28.395369596942242,20.441336993414094,False,False,False,False,False
7.2,0.5800000000000001,3.5314925386509124,28.395377764528195,3.531492538646794,3.2084840704132214,-0.32300846823357254,0.32300846823357254,28.39537776441846,20.44134145586483,False,False,False,False,False
7.2,0.77,3.5314928451253484,28.395385930128448,3.53149284512129,3.208484267753399,-0.323008577367891,0.323008577367891,28.39538593002032,20.44134591694717,False,False,False,False,False
7.2,0.96,3.5314931515723367,28.395394094998576,3.5314931515720787,3.208484465073489,-0.3230086864985897,0.3230086864985897,28.3953940949917,20.441350377575898,False,False,False,False,False
7.2,1.15,3.53149345807829,28.39540226144092,3.5314934580778625,3.208484662438456,-0.32300879563940654,0.32300879563940654,28.39540226142953,20.441354839219603,False,False,False,False,False
7.2,1.34,3.531493764556257,28.395410427138785,3.531493764552497,3.2084848597762274,-0.32300890477626965,0.32300890477626965,28.3954104270386,20.441359300249005,False,False,False,False,False
7.2,1.53,3.5314940709997975,28.395418591920556,3.5314940709985465,3.2084850570922994,-0.32300901390624714,0.32300901390624714,28.39541859188723,20.441363760788356,False,False,False,False,False
7.2,1.72,3.531494377484091,28.395426757789327,3.531494377482133,3.208485254438837,-0.3230091230432959,0.3230091230432959,28.395426757737162,20.441368222016912,False,False,False,False,False
7.2,1.91,3.531494683930879,28.395434922659984,3.5314946839284524,3.2084854517531305,-0.32300923217532196,0.32300923217532196,28.39543492259533,20.441372682517027,False,False,False,False,False
7.2,2.1,3.531494990419022,28.39544308863365,3.531494990413385,3.2084856491007083,-0.32300934131267667,0.32300934131267667,28.39544308848348,20.441377143770065,False,False,False,False,False
7.2,2.29,3.5314952968831004,28.395451253967355,3.531495296878132,3.208485846432072,-0.3230094504460599,0.3230094504460599,28.395451253834974,20.441381604657053,False,False,False,False,False
7.2,2.4800000000000004,3.5314956033556744,28.395459419528564,3.5314956033529366,3.2084860437712197,-0.32300955958171684,0.32300955958171684,28.395459419455623,20.44138606572049,False,False,False,False,False
7.2,2.6700000000000004,3.531495909825945,28.39546758502957,3.531495909825399,3.2084862411088806,-0.3230096687165185,0.3230096687165185,28.395467585015034,20.4413905267508,False,False,False,False,False
7.2,2.8600000000000003,3.5314962163088297,28.395475750867856,3.5314962163082035,3.2084864384550436,-0.32300977785316,0.32300977785316,28.395475750851176,20.4413949879738,False,False,False,False,False
7.2,3.0500000000000003,3.5314965227686694,28.39548391609331,3.5314965227657336,3.2084866357793422,-0.3230098869863913,0.3230098869863913,28.395483916015085,20.441399448703024,False,False,False,False,False
