family,peak,center_D,sigma_D,p95_abs_delta_mu,max_abs_delta_mu,D4p814_max_abs_delta_mu,D5p356_max_abs_delta_mu,D5p627_max_abs_delta_mu,D5p898_max_abs_delta_mu,D6p169_max_abs_delta_mu,D6p441_max_abs_delta_mu,D6p712_max_abs_delta_mu,hotspot_objective,guard_objective,joint_objective
pointamp3,0.75,6.24,0.1,27.53660973155158,27.53718894633439,8.95885793912742,3.082724186845642,10.272608773632903,1.3726267460980068,11.794609082279806,27.53718894633439,7.462488387050289,27.53718894633439,10.272608773632903,27.53718894633439
pointamp3,0.25,6.4,0.03,27.55232957755065,27.552909101592356,8.95885793912742,3.082724186845642,10.272608773798765,1.3721439395038004,25.890602779191298,27.552909101592356,7.462495924022775,27.552909101592356,10.272608773798765,27.552909101592356
partial2,0.25,6.24,0.15,27.576223418553184,27.576803412662095,8.958857939127423,3.082724159642627,10.27354823020454,1.2338686394789136,20.663801898460548,27.576803412662095,7.46204751776088,27.576803412662095,10.27354823020454,27.576803412662095
pointamp3,0.5,6.17,0.15,27.609183138569854,27.609763781100277,8.95885793912742,3.0827241982365052,10.272586082739238,1.3935489807842458,13.71340279480414,27.609763781100277,7.461992050699127,27.609763781100277,10.272586082739238,27.609763781100277
partial2,0.75,6.24,0.1,27.648105417205187,27.6486868254594,8.958857939127423,3.0827241868456454,10.272608856701943,1.3559626935794995,12.792407377212882,27.6486868254594,7.462493152407831,27.6486868254594,10.272608856701943,27.6486868254594
partial2,0.25,6.4,0.03,27.663369186179054,27.66395089471974,8.95885793912742,3.0827241868456454,10.272608773798773,1.3721439395038146,25.890602779191497,27.66395089471974,7.462495924022772,27.66395089471974,10.272608773798773,27.66395089471974
partial2,0.5,6.17,0.15,27.718572449129947,27.719155243692718,8.958857939127423,3.0827234232639533,10.283952164699762,0.6513464990905362,14.584257236440152,27.719155243692718,7.462310630746682,27.719155243692718,10.283952164699762,27.719155243692718
pointamp3,1.0,6.1,0.15,28.429404020363286,28.43000079922276,8.95885793912742,3.0827244440127757,10.272388429390993,1.4615074003549893,5.065321969413915,28.43000079922276,7.462328456647263,28.43000079922276,10.272388429390993,28.43000079922276
partial2,1.0,6.1,0.15,28.514842933655775,28.515441393367887,8.958857939127423,3.082706947767768,10.38285339724726,1.7297608650271883,6.48429371504173,28.515441393367887,7.462434340159568,28.515441393367887,10.38285339724726,28.515441393367887
pointamp3,0.5,6.24,0.1,28.765985234630502,28.766588635103055,8.95885793912742,3.082724186845642,10.272608773688226,1.3724658109062204,16.261837480599596,28.766588635103055,7.4624908993742665,28.766588635103055,10.272608773688226,28.766588635103055
