peak,center_D,sigma_D,p95_abs_delta_mu,max_abs_delta_mu,D5p627_max_abs_delta_mu,D5p898_max_abs_delta_mu,D6p169_max_abs_delta_mu,D6p441_max_abs_delta_mu,D6p712_max_abs_delta_mu,hotspot_objective,guard_objective,joint_objective
0.75,5.88,0.16,24.607215428321553,24.615089012614618,1.6003447459863125,24.615089012614618,15.897127354190829,4.914958290618927,2.6032076563232707,24.615089012614618,2.4574791453094633,24.615089012614618
0.75,5.92,0.16,24.62364954942837,24.63151911809848,1.3025474613565535,24.63151911809848,16.42367774026644,4.873860267424817,2.603200142618231,24.63151911809848,2.4369301337124085,24.63151911809848
1.0,5.96,0.08,24.626681511112487,24.63455033893281,0.7471973899526958,24.63455033893281,15.107696455940882,4.945935395944851,2.6032105963583376,24.63455033893281,2.4729676979724253,24.63455033893281
0.75,5.88,0.12,24.638760248050453,24.646626124471382,1.0682595312301828,24.646626124471382,15.166620126967914,4.945674327141177,2.603210596278359,24.646626124471382,2.4728371635705884,24.646626124471382
0.75,5.92,0.12,24.667781623330207,24.675640408474322,0.8970629778762458,24.675640408474322,15.483960786414215,4.944762202058087,2.603210595595545,24.675640408474322,2.4723811010290433,24.675640408474322
0.75,5.88,0.1,24.67030874554089,24.67816691319109,0.8674228936824591,24.67816691319109,14.960178984872357,4.945933528425179,2.6032105963583376,24.67816691319109,2.4729667642125897,24.67816691319109
0.75,5.92,0.1,24.71181940525821,24.7196674299163,0.7870744192728054,24.7196674299163,15.114290952573214,4.945917023494587,2.603210596358281,24.7196674299163,2.4729585117472936,24.7196674299163
0.75,5.88,0.08,24.727927161496275,24.735771250277537,0.7665099170888183,24.735771250277537,14.888101277478185,4.94593567309353,2.6032105963583376,24.735771250277537,2.472967836546765,24.735771250277537
0.75,5.92,0.08,24.79199014266843,24.79981857787253,0.7501447728158368,24.79981857787253,14.921201357881202,4.945935664299341,2.6032105963583376,24.79981857787253,2.4729678321496706,24.79981857787253
0.75,5.88,0.06,24.85040584777735,24.85822000929754,0.7469225938116324,24.85822000929754,14.880603550729049,4.945935673403689,2.6032105963583376,24.85822000929754,2.4729678367018444,24.85822000929754
0.75,5.92,0.06,24.961297013742183,24.969084079373545,0.7465318689390941,24.969084079373545,14.881482923849461,4.945935673403689,2.6032105963583376,24.969084079373545,2.4729678367018444,24.969084079373545
0.75,5.84,0.16,24.96726990294664,24.97505550912237,1.9790237731350828,24.97505550912237,15.509051840813257,4.933430943258948,2.603209819592763,24.97505550912237,2.466715471629474,24.97505550912237
0.75,5.96,0.16,25.01332298824607,25.02109734150301,1.086911240352805,25.02109734150301,17.078979480059274,4.788457584141753,2.6031756784955284,25.02109734150301,2.3942287920708765,25.02109734150301
0.75,5.88,0.04,25.185744450344224,25.193476672988382,0.746512080616867,25.193476672988382,14.880557200277494,4.945935673403689,2.6032105963583376,25.193476672988382,2.4729678367018444,25.193476672988382
0.75,5.84,0.12,25.259626113326085,25.267340283230894,1.3624607384295473,25.267340283230894,15.001783551729702,4.945883589619584,2.6032105963508236,25.267340283230894,2.472941794809792,25.267340283230894
0.75,5.96,0.12,25.33677553365707,25.34447085235678,0.8095942385532808,25.34447085235678,16.017753990974583,4.941220866406468,2.6032105898486186,25.34447085235678,2.470610433203234,25.34447085235678
0.75,5.92,0.04,25.41701204056996,25.424687753745104,0.7465120744336744,25.424687753745104,14.880557219015415,4.945935673403689,2.6032105963583376,25.424687753745104,2.4729678367018444,25.424687753745104
0.75,5.84,0.1,25.537601616024936,25.545247863537085,1.0539188070334333,25.545247863537085,14.903654461098427,4.945935463179801,2.6032105963583376,25.545247863537085,2.4729677315899004,25.545247863537085
