beta_peak,sigma_D,beta_eff,D,eta,effective_ref_amp,effective_ref_vs_raw_ratio,base_mu,cur_mu,mu_cf,delta_mu_cf,delta_log_mu_cf,acceptance_mismatch_cf
0.75,0.1,3.070979164966469e-07,5.898305084745763,0.77,4.5192953410691254e-05,0.9850124022215527,90.80181516046262,48.986279979730654,48.98627993616133,-41.81553522430129,-0.6171390185613159,0.0
1.0,0.1,4.094638886621959e-07,5.898305084745763,0.77,4.5192953410691254e-05,0.9850124022215527,90.80181516046262,48.986279979730654,48.98627992163808,-41.815535238824545,-0.6171390188577919,0.0
0.0,0.15,0.0,5.898305084745763,0.77,4.5192953410691254e-05,0.9850124022215527,90.80181516046262,48.986279979730654,48.98627997973061,-41.81553518073201,-0.6171390176718979,0.0
0.25,0.15,0.00036218021542526696,5.898305084745763,0.77,4.5192953410691254e-05,0.9850124022215527,90.80181516046262,48.986279979730654,48.9862285955948,-41.81558656486782,-0.6171400666219873,0.0
0.5,0.15,0.0007243604308505339,5.898305084745763,0.77,4.5192953410691254e-05,0.9850124022215527,90.80181516046262,48.986279979730654,48.98617721151305,-41.81563794894957,-0.6171411155720733,0.0
0.75,0.15,0.0010865406462758009,5.898305084745763,0.77,4.5192953410691254e-05,0.9850124022215527,90.80181516046262,48.986279979730654,48.98612582748503,-41.81568933297759,-0.6171421645221628,0.0
1.0,0.15,0.0014487208617010678,5.898305084745763,0.77,4.5192953410691254e-05,0.9850124022215527,90.80181516046262,48.986279979730654,48.98607444351101,-41.815740716951616,-0.6171432134722502,0.0
0.0,0.2,0.0,5.898305084745763,0.77,4.5192953410691254e-05,0.9850124022215527,90.80181516046262,48.986279979730654,48.98627997973061,-41.81553518073201,-0.6171390176718979,0.0
0.25,0.2,0.006324029837561282,5.898305084745763,0.77,4.5192953410691254e-05,0.9850124022215527,90.80181516046262,48.986279979730654,48.98538276892676,-41.81643239153586,-0.6171573333925605,0.0
0.5,0.2,0.012648059675122563,5.898305084745763,0.77,4.5192953410691254e-05,0.9850124022215527,90.80181516046262,48.986279979730654,48.98448557455589,-41.817329585906734,-0.6171756491132215,0.0
