ref_D,refamp2_peak,center_D,sigma_D,D,eta,target_mu,mu_new,delta_mu,acceptance_mismatch
9.694915254237287,0.0,5.9,0.1,6.4406779661016955,2.29,45.73917420367656,58.122995233471165,12.383821029794603,0.0
9.694915254237287,0.0,5.9,0.1,6.4406779661016955,2.4800000000000004,45.739293269983506,58.123151432434526,12.38385816245102,0.0
9.694915254237287,0.0,5.9,0.1,6.4406779661016955,2.6700000000000004,45.73941233567354,58.12330763212621,12.383895296452671,0.0
9.694915254237287,0.0,5.9,0.1,6.4406779661016955,2.8600000000000003,45.73953140077024,58.12346383255956,12.383932431789319,0.0
9.694915254237287,0.0,5.9,0.1,6.4406779661016955,3.0500000000000003,45.73965046526172,58.12362003370544,12.383969568443725,0.0
9.694915254237287,0.0,5.9,0.1,6.4406779661016955,3.24,45.739769529157535,58.123776235591045,12.38400670643351,0.0
9.694915254237287,0.0,5.9,0.1,6.4406779661016955,3.43,45.739888592403986,58.12393243818266,12.384043845778677,0.0
9.694915254237287,0.0,5.9,0.1,6.4406779661016955,3.62,45.74000765506223,58.124088641509616,12.384080986447387,0.0
9.694915254237287,0.0,5.9,0.1,6.4406779661016955,3.81,45.74012671713229,58.12424484555507,12.384118128422777,0.0
9.694915254237287,0.0,5.9,0.1,6.4406779661016955,4.0,45.74024577860031,58.12440105035036,12.384155271750046,0.0
9.694915254237287,0.0,5.9,0.1,6.711864406779661,0.2,21.2976797472918,21.419281039655687,0.12160129236388784,0.0
9.694915254237287,0.0,5.9,0.1,6.711864406779661,0.39,21.297700117949084,21.41931630433541,0.12161618638632632,0.0
9.694915254237287,0.0,5.9,0.1,6.711864406779661,0.5800000000000001,21.297720488349047,21.419351569161954,0.1216310808129073,0.0
9.694915254237287,0.0,5.9,0.1,6.711864406779661,0.77,21.297740858418138,21.419386833152384,0.12164597473424621,0.0
9.694915254237287,0.0,5.9,0.1,6.711864406779661,0.96,21.29776122863928,21.419422097201007,0.12166086856172598,0.0
9.694915254237287,0.0,5.9,0.1,6.711864406779661,1.15,21.297781598744447,21.419457360064094,0.12167576131964708,0.0
9.694915254237287,0.0,5.9,0.1,6.711864406779661,1.34,21.29780196873038,21.419492622670344,0.12169065393996448,0.0
9.694915254237287,0.0,5.9,0.1,6.711864406779661,1.53,21.297822338734797,21.41952788542647,0.12170554669167188,0.0
9.694915254237287,0.0,5.9,0.1,6.711864406779661,1.72,21.297842708698894,21.419563148331342,0.12172043963244761,0.0
