scenario,grid,D,eta,mu_mumu_full,mu_mumu_cmp,abs_delta_mu_mumu,chi2_mumu_full,chi2_mumu_cmp,accept_full,accept_cmp,acceptance_mismatch
large_full_vs_cell_direct_runtime_release_tuned,D60xE21,5.898305084745763,3.0500000000000003,73.31030686420101,77.65470004238804,4.344393178187033,32319.326458147218,36342.37049096609,False,False,False
large_full_vs_cell_direct_runtime_release_tuned,D60xE21,5.898305084745763,2.8600000000000003,73.30894252676417,77.65326276734417,4.344320240580004,32318.10009573419,36341.00051666023,False,False,False
large_full_vs_cell_direct_runtime_release_tuned,D60xE21,5.898305084745763,2.6700000000000004,73.307578171227,77.651825472803,4.344247301576004,32316.8737403195,36339.63054959254,False,False,False
large_full_vs_cell_direct_runtime_release_tuned,D60xE21,5.898305084745763,2.4800000000000004,73.30621379761986,77.65038815879655,4.344174361176684,32315.647391931347,36338.26058979462,False,False,False
large_full_vs_cell_direct_runtime_release_tuned,D60xE21,5.898305084745763,2.29,73.30484940592164,77.64895082530259,4.344101419380948,32314.421050551675,36336.89063724632,False,False,False
large_full_vs_cell_direct_runtime_release_tuned,D60xE21,5.898305084745763,2.1,73.30348499615062,77.64751347234032,4.344028476189706,32313.19471619785,36335.52069196699,False,False,False
large_full_vs_cell_direct_runtime_release_tuned,D60xE21,5.898305084745763,1.91,73.30212056828817,77.64607609988995,4.343955531601779,32311.96838885405,36334.1507539388,False,False,False
large_full_vs_cell_direct_runtime_release_tuned,D60xE21,5.898305084745763,1.72,73.30075612237763,77.64463870799754,4.343882585619909,32310.74206856015,36332.780823206725,False,False,False
large_full_vs_cell_direct_runtime_release_tuned,D60xE21,5.898305084745763,1.53,73.29939165838354,77.64320129662539,4.343809638241851,32309.5157552852,36331.41089973587,False,False,False
large_full_vs_cell_direct_runtime_release_tuned,D60xE21,5.898305084745763,1.34,73.29802717630976,77.6417638657776,4.343736689467846,32308.289449033593,36330.04098353119,False,False,False
large_full_vs_cell_direct_runtime_release_tuned,D60xE21,5.898305084745763,1.15,73.29666267615853,77.64032641545673,4.343663739298194,32307.063149808284,36328.67107459617,False,False,False
large_full_vs_cell_direct_runtime_release_tuned,D60xE21,5.898305084745763,0.96,73.29529815797706,77.6388889457123,4.343590787735238,32305.83685765261,36327.301172979074,False,False,False
large_full_vs_cell_direct_runtime_release_tuned,D60xE21,5.898305084745763,0.77,73.2939336216711,77.63745145644509,4.343517834773991,32304.610572482805,36325.93127858637,False,False,False
