center_D,sigma_D,D,eta,mu,base_mu,delta_mu,delta_log_mu,acceptance_mismatch
6.0,0.1,4.813559322033898,3.0500000000000003,14.918756401641039,13.595450514485956,1.3233058871550831,0.09288402442157624,0.0
6.0,0.15,4.813559322033898,3.0500000000000003,14.91875640164109,13.595450514485956,1.3233058871551346,0.09288402442157968,0.0
6.0,0.2,4.813559322033898,3.0500000000000003,14.918756432916869,13.595450514485956,1.323305918430913,0.09288402651798623,0.0
6.2,0.1,4.813559322033898,3.0500000000000003,14.918756401641039,13.595450514485956,1.3233058871550831,0.09288402442157624,0.0
6.2,0.15,4.813559322033898,3.0500000000000003,14.918756401641039,13.595450514485956,1.3233058871550831,0.09288402442157624,0.0
6.2,0.2,4.813559322033898,3.0500000000000003,14.918756401691338,13.595450514485956,1.3233058872053824,0.0928840244249478,0.0
5.8,0.1,4.813559322033898,3.24,14.931763060131352,13.607110716307453,1.3246523438238995,0.09289819010803813,0.0
5.8,0.15,4.813559322033898,3.24,14.931763060688784,13.607110716307453,1.324652344381331,0.09289819014537,0.0
5.8,0.2,4.813559322033898,3.24,14.931770217671513,13.607110716307453,1.32465950136406,0.09289866945789217,0.0
6.0,0.1,4.813559322033898,3.24,14.931763060131352,13.607110716307453,1.3246523438238995,0.09289819010803813,0.0
6.0,0.15,4.813559322033898,3.24,14.931763060131404,13.607110716307453,1.324652343823951,0.09289819010804157,0.0
6.0,0.2,4.813559322033898,3.24,14.931763091434453,13.607110716307453,1.324652375127,0.09289819220444817,0.0
6.2,0.1,4.813559322033898,3.24,14.931763060131352,13.607110716307453,1.3246523438238995,0.09289819010803813,0.0
6.2,0.15,4.813559322033898,3.24,14.931763060131352,13.607110716307453,1.3246523438238995,0.09289819010803813,0.0
6.2,0.2,4.813559322033898,3.24,14.931763060181698,13.607110716307453,1.324652343874245,0.09289819011140983,0.0
5.8,0.1,4.813559322033898,3.43,14.9447822104404,13.618772693665822,1.3260095167745778,0.09291303682843483,0.0
5.8,0.15,4.813559322033898,3.43,14.944782210998314,13.618772693665822,1.3260095173324924,0.09291303686576655,0.0
5.8,0.2,4.813559322033898,3.43,14.944789374221282,13.618772693665822,1.32601668055546,0.09291351617828836,0.0
6.0,0.1,4.813559322033898,3.43,14.9447822104404,13.618772693665822,1.3260095167745778,0.09291303682843483,0.0
6.0,0.15,4.813559322033898,3.43,14.94478221044045,13.618772693665822,1.3260095167746293,0.09291303682843827,0.0
6.0,0.2,4.813559322033898,3.43,14.944782241770783,13.618772693665822,1.3260095481049614,0.0929130389248443,0.0
6.2,0.1,4.813559322033898,3.43,14.9447822104404,13.618772693665822,1.3260095167745778,0.09291303682843483,0.0
6.2,0.15,4.813559322033898,3.43,14.9447822104404,13.618772693665822,1.3260095167745778,0.09291303682843483,0.0
6.2,0.2,4.813559322033898,3.43,14.944782210490782,13.618772693665822,1.3260095168249606,0.09291303683180607,0.0
5.8,0.1,4.813559322033898,3.62,14.957813881779055,13.63043643420853,1.327377447570525,0.09292856565722714,0.0
5.8,0.15,4.813559322033898,3.62,14.957813882337456,13.63043643420853,1.3273774481289262,0.09292856569455887,0.0
5.8,0.2,4.813559322033898,3.62,14.957821051806674,13.63043643420853,1.3273846175981436,0.09292904500708125,0.0
6.0,0.1,4.813559322033898,3.62,14.957813881779055,13.63043643420853,1.327377447570525,0.09292856565722714,0.0
6.0,0.15,4.813559322033898,3.62,14.957813881779106,13.63043643420853,1.3273774475705764,0.09292856565723057,0.0
6.0,0.2,4.813559322033898,3.62,14.957813913136768,13.63043643420853,1.3273774789282378,0.09292856775363743,0.0
6.2,0.1,4.813559322033898,3.62,14.957813881779055,13.63043643420853,1.327377447570525,0.09292856565722714,0.0
6.2,0.15,4.813559322033898,3.62,14.957813881779055,13.63043643420853,1.327377447570525,0.09292856565722714,0.0
6.2,0.2,4.813559322033898,3.62,14.957813881829486,13.63043643420853,1.3273774476209557,0.09292856566059872,0.0
5.8,0.1,4.813559322033898,3.81,14.970858103456283,13.6421019255771,1.3287561778791837,0.09294477767015022,0.0
5.8,0.15,4.813559322033898,3.81,14.970858104015175,13.6421019255771,1.3287561784380753,0.09294477770748218,0.0
5.8,0.2,4.813559322033898,3.81,14.970865279736648,13.6421019255771,1.3287633541595483,0.09294525702000414,0.0
6.0,0.1,4.813559322033898,3.81,14.970858103456283,13.6421019255771,1.3287561778791837,0.09294477767015022,0.0
6.0,0.15,4.813559322033898,3.81,14.970858103456337,13.6421019255771,1.328756177879237,0.09294477767015366,0.0
6.0,0.2,4.813559322033898,3.81,14.97085813484134,13.6421019255771,1.32875620926424,0.09294477976656013,0.0
6.2,0.1,4.813559322033898,3.81,14.970858103456283,13.6421019255771,1.3287561778791837,0.09294477767015022,0.0
6.2,0.15,4.813559322033898,3.81,14.970858103456283,13.6421019255771,1.3287561778791837,0.09294477767015022,0.0
6.2,0.2,4.813559322033898,3.81,14.97085810350676,13.6421019255771,1.3287561779296606,0.09294477767352176,0.0
5.8,0.1,4.813559322033898,4.0,14.983914904879429,13.653769155407037,1.3301457494723916,0.09296167394422215,0.0
5.8,0.15,4.813559322033898,4.0,14.983914905438803,13.653769155407037,1.3301457500317664,0.09296167398155367,0.0
5.8,0.2,4.813559322033898,4.0,14.983922087418568,13.653769155407037,1.330152932011531,0.0929621532940757,0.0
6.0,0.1,4.813559322033898,4.0,14.983914904879429,13.653769155407037,1.3301457494723916,0.09296167394422215,0.0
6.0,0.15,4.813559322033898,4.0,14.98391490487948,13.653769155407037,1.3301457494724431,0.0929616739442256,0.0
6.0,0.2,4.813559322033898,4.0,14.983914936291853,13.653769155407037,1.3301457808848163,0.09296167604063184,0.0
6.2,0.1,4.813559322033898,4.0,14.983914904879429,13.653769155407037,1.3301457494723916,0.09296167394422215,0.0
6.2,0.15,4.813559322033898,4.0,14.983914904879429,13.653769155407037,1.3301457494723916,0.09296167394422215,0.0
6.2,0.2,4.813559322033898,4.0,14.983914904929948,13.653769155407037,1.3301457495229112,0.09296167394759364,0.0
5.8,0.1,5.3559322033898304,0.2,23.253727586091404,37.44422247444693,-14.190494888355527,-0.4763869795504609,0.0
