D,eta,mu_mumu_center,mu_mumu_min,mu_mumu_max,mu_mumu_half_width,mu_mumu_full_span,case_at_min,case_at_max
19.200000000000003,0.29500000000000004,5.455700779212423e-08,5.361672046099409e-08,5.5522248782164476e-08,9.527641605851941e-10,1.9055283211703883e-09,mu_low_minus,mu_low_plus
20.0,0.29500000000000004,5.455700779212423e-08,5.361672046099409e-08,5.5522248782164476e-08,9.527641605851941e-10,1.9055283211703883e-09,mu_low_minus,mu_low_plus
4.0,0.39,1.8694113603439748,1.869407719129091,1.8694150051008964,3.6429859027187206e-06,7.285971805437441e-06,gamma_diag_plus,gamma_diag_minus
4.8,0.39,11.509590904681525,11.509509341553654,11.509672594298069,8.16263722072108e-05,0.0001632527444144216,gamma_diag_plus,gamma_diag_minus
5.6,0.39,52.955564209266754,52.95407069227579,52.957060815508655,0.0014950616164313146,0.0029901232328626293,gamma_diag_plus,gamma_diag_minus
6.4,0.39,57.79765719848297,57.793771791419495,57.80155213122409,0.0038901699022986236,0.007780339804597247,gamma_diag_plus,gamma_diag_minus
7.2,0.39,3.484454010836722,3.4841118808077804,3.4847970326120974,0.00034257590215847067,0.0006851518043169413,gamma_diag_plus,gamma_diag_minus
8.0,0.39,2.3187707030025724,2.3183265304323712,2.3192160420371772,0.0004447558024029963,0.0008895116048059926,gamma_diag_plus,gamma_diag_minus
8.8,0.39,1.5837709991563786,1.5837697243421271,1.583772270467473,1.2730626729462458e-06,2.5461253458924915e-06,gamma_diag_minus,gamma_diag_plus
9.600000000000001,0.39,1.0000000045016861,1.0000000045016861,1.0000000045016866,2.220446049250313e-16,4.440892098500626e-16,center_nonzero,kappa_diag_minus
10.4,0.39,0.493937679950464,0.4938882423816274,0.49398725609382876,4.950685610069505e-05,9.90137122013901e-05,gamma_diag_plus,gamma_diag_minus
11.2,0.39,0.1508633652710151,0.15083334919868063,0.15089346703169287,3.005891650612047e-05,6.011783301224094e-05,gamma_diag_plus,gamma_diag_minus
12.0,0.39,0.03759241997884533,0.03758154023884091,0.0376033312761014,1.0895518630246737e-05,2.1791037260493473e-05,gamma_diag_plus,gamma_diag_minus
12.8,0.39,0.0023379087207684554,0.0023376263242342863,0.0023381903582202672,2.8201699299045153e-07,5.640339859809031e-07,gamma_diag_minus,gamma_diag_plus
13.600000000000001,0.39,0.00017663129301888754,0.00017660617840770663,0.00017665634039022599,2.508099125967929e-08,5.016198251935858e-08,gamma_diag_minus,gamma_diag_plus
14.4,0.39,4.365775222628266e-05,4.3655478345582424e-05,4.366001991706423e-05,2.2707857409041347e-09,4.541571481808269e-09,gamma_diag_minus,gamma_diag_plus
15.200000000000001,0.39,1.2039170906295497e-05,1.2038777255426557e-05,1.2039565648406831e-05,3.941964901370374e-10,7.883929802740748e-10,gamma_diag_plus,gamma_diag_minus
16.0,0.39,1.7598536621398222e-06,1.7596535727661635e-06,1.7600543143171403e-06,2.0037077548839601e-10,4.0074155097679203e-10,gamma_diag_plus,gamma_diag_minus
16.8,0.39,3.383992857714392e-07,3.383344816034369e-07,3.3846427475036623e-07,6.489657346466572e-11,1.2979314692933144e-10,gamma_diag_plus,gamma_diag_minus
17.6,0.39,5.455700779212423e-08,5.361672046099409e-08,5.5522248782164476e-08,9.527641605851941e-10,1.9055283211703883e-09,mu_low_minus,mu_low_plus
18.4,0.39,5.455700779212423e-08,5.361672046099409e-08,5.5522248782164476e-08,9.527641605851941e-10,1.9055283211703883e-09,mu_low_minus,mu_low_plus
19.200000000000003,0.39,5.455700779212423e-08,5.361672046099409e-08,5.5522248782164476e-08,9.527641605851941e-10,1.9055283211703883e-09,mu_low_minus,mu_low_plus
20.0,0.39,5.455700779212423e-08,5.361672046099409e-08,5.5522248782164476e-08,9.527641605851941e-10,1.9055283211703883e-09,mu_low_minus,mu_low_plus
4.0,0.48500000000000004,1.8834750003050624,1.8834713142922341,1.883478689903574,3.6878056699496398e-06,7.3756113398992795e-06,gamma_diag_plus,gamma_diag_minus
4.8,0.48500000000000004,11.514737772637506,11.514656141319453,11.51481953055044,8.169461549378809e-05,0.00016338923098757618,gamma_diag_plus,gamma_diag_minus
5.6,0.48500000000000004,52.956941340220766,52.955447740061025,52.95843802980602,0.0014951448724964678,0.0029902897449929355,gamma_diag_plus,gamma_diag_minus
6.4,0.48500000000000004,57.79773165082286,57.79384623080824,57.801626596547926,0.003890182869842107,0.007780365739684214,gamma_diag_plus,gamma_diag_minus
7.2,0.48500000000000004,3.4844541650192964,3.4841120349277714,3.4847971868574312,0.0003425759648298943,0.0006851519296597885,gamma_diag_plus,gamma_diag_minus
8.0,0.48500000000000004,2.3187707020900623,2.318326529515481,2.319216041129063,0.00044475580679104176,0.0008895116135820835,gamma_diag_plus,gamma_diag_minus
8.8,0.48500000000000004,1.583770997287736,1.5837697224734864,1.5837722685988294,1.2730626715029558e-06,2.5461253430059116e-06,gamma_diag_minus,gamma_diag_plus
9.600000000000001,0.48500000000000004,1.0000000030000584,1.0000000030000584,1.0000000030000589,2.220446049250313e-16,4.440892098500626e-16,center_nonzero,mu_low_minus
10.4,0.48500000000000004,0.49393771818733856,0.4938882806146643,0.49398729433455174,4.950685994373205e-05,9.90137198874641e-05,gamma_diag_plus,gamma_diag_minus
11.2,0.48500000000000004,0.1508634733620614,0.15083345726820518,0.15089357514432236,3.0058938058588613e-05,6.011787611717723e-05,gamma_diag_plus,gamma_diag_minus
12.0,0.48500000000000004,0.037592388483644455,0.03758150875277312,0.03760329977174094,1.089550948391027e-05,2.179101896782054e-05,gamma_diag_plus,gamma_diag_minus
12.8,0.48500000000000004,0.0023379317166258807,0.0023376493173115527,0.002338213356850381,2.820197694140738e-07,5.640395388281476e-07,gamma_diag_minus,gamma_diag_plus
13.600000000000001,0.48500000000000004,0.00017665129385452597,0.00017662617639955112,0.00017667634406204477,2.5083831246822314e-08,5.016766249364463e-08,gamma_diag_minus,gamma_diag_plus
14.4,0.48500000000000004,4.365809652946181e-05,4.3655822630826076e-05,4.366036423813008e-05,2.270803652001951e-09,4.541607304003902e-09,gamma_diag_minus,gamma_diag_plus
15.200000000000001,0.48500000000000004,1.2049030732787027e-05,1.204863675952542e-05,1.2049425798184737e-05,3.945193296586057e-10,7.890386593172114e-10,gamma_diag_plus,gamma_diag_minus
16.0,0.48500000000000004,1.7372661287314109e-06,1.7370686074834483e-06,1.7374642055595086e-06,1.97799038030163e-10,3.95598076060326e-10,gamma_diag_plus,gamma_diag_minus
16.8,0.48500000000000004,3.3839928577143903e-07,3.383344816034368e-07,3.384642747503661e-07,6.489657346463925e-11,1.297931469292785e-10,gamma_diag_plus,gamma_diag_minus
17.6,0.48500000000000004,5.455700779212423e-08,5.361672046099409e-08,5.5522248782164476e-08,9.527641605851941e-10,1.9055283211703883e-09,mu_low_minus,mu_low_plus
18.4,0.48500000000000004,5.455700779212423e-08,5.361672046099409e-08,5.5522248782164476e-08,9.527641605851941e-10,1.9055283211703883e-09,mu_low_minus,mu_low_plus
19.200000000000003,0.48500000000000004,5.455700779212423e-08,5.361672046099409e-08,5.5522248782164476e-08,9.527641605851941e-10,1.9055283211703883e-09,mu_low_minus,mu_low_plus
20.0,0.48500000000000004,5.455700779212423e-08,5.361672046099409e-08,5.5522248782164476e-08,9.527641605851941e-10,1.9055283211703883e-09,mu_low_minus,mu_low_plus
4.0,0.5800000000000001,1.8975881710511835,1.8975844398120663,1.8975919059200463,3.7330539900404247e-06,7.466107980080849e-06,gamma_diag_plus,gamma_diag_minus
