beta_peak,sigma_D,D,eta,mu,base_mu,delta_mu,delta_log_mu,acceptance_mismatch
1.0,0.6,4.8,1.0,14.926930542813226,13.790954693731495,1.1359758490817313,0.07915408023460975,0.0
1.0,0.8,4.8,1.0,15.561009659760531,13.790954693731495,1.7700549660290363,0.12075548452317324,0.0
0.0,0.2,4.8,2.0,13.7401353724059,13.855641930084026,-0.11550655767812579,-0.008371370080859681,0.0
0.0,0.3,4.8,2.0,13.7401353724059,13.855641930084026,-0.11550655767812579,-0.008371370080859681,0.0
0.0,0.4,4.8,2.0,13.7401353724059,13.855641930084026,-0.11550655767812579,-0.008371370080859681,0.0
0.0,0.6,4.8,2.0,13.7401353724059,13.855641930084026,-0.11550655767812579,-0.008371370080859681,0.0
0.0,0.8,4.8,2.0,13.7401353724059,13.855641930084026,-0.11550655767812579,-0.008371370080859681,0.0
0.25,0.2,4.8,2.0,13.740380686018453,13.855641930084026,-0.11526124406557336,-0.008353516441427488,0.0
0.25,0.3,4.8,2.0,13.761040154048871,13.855641930084026,-0.09460177603515518,-0.006851087018833741,0.0
0.25,0.4,4.8,2.0,13.839458329637075,13.855641930084026,-0.016183600446950663,-0.0011686978662088315,0.0
0.25,0.6,4.8,2.0,14.044079589543275,13.855641930084026,0.1884376594592485,0.013508416188625243,0.0
0.25,0.8,4.8,2.0,14.190905142935845,13.855641930084026,0.33526321285181915,0.023908767260767967,0.0
0.5,0.2,4.8,2.0,13.740626004010768,13.855641930084026,-0.11501592607325861,-0.008335662801996655,0.0
0.5,0.3,4.8,2.0,13.781976741047616,13.855641930084026,-0.07366518903640973,-0.005330803956816271,0.0
0.5,0.4,4.8,2.0,13.939499260131658,13.855641930084026,0.08385733004763196,0.0060339743484411415,0.0
0.5,0.6,4.8,2.0,14.354747327565105,13.855641930084026,0.4991053974810793,0.03538820245811204,0.0
0.5,0.8,4.8,2.0,14.65646322380743,13.855641930084026,0.8008212937234038,0.05618890460239417,0.0
0.75,0.2,4.8,2.0,13.740871326382889,13.855641930084026,-0.11477060370113712,-0.008317809162569401,0.0
0.75,0.3,4.8,2.0,13.802945181792225,13.855641930084026,-0.05269674829180104,-0.003810520894795052,0.0
0.75,0.4,4.8,2.0,14.040263353884251,13.855641930084026,0.18462142380022506,0.01323664656309409,0.0
0.75,0.6,4.8,2.0,14.672287316832188,13.855641930084026,0.8166453867481618,0.05726798872759933,0.0
0.75,0.8,4.8,2.0,15.137294772049962,13.855641930084026,1.2816528419659363,0.08846904194402029,0.0
1.0,0.2,4.8,2.0,13.741116653134997,13.855641930084026,-0.11452527694902948,-0.008299955523138655,0.0
1.0,0.3,4.8,2.0,13.823945524746179,13.855641930084026,-0.03169640533784701,-0.0022902378327741856,0.0
1.0,0.4,4.8,2.0,14.141755838406104,13.855641930084026,0.2861139083220774,0.020439318777743753,0.0
1.0,0.6,4.8,2.0,14.996851577755335,13.855641930084026,1.1412096476713085,0.07914777499708277,0.0
1.0,0.8,4.8,2.0,15.633900861138725,13.855641930084026,1.7782589310546992,0.12074917928564606,0.0
0.0,0.2,4.8,4.0,13.868423494374237,13.985185434428539,-0.1167619400543014,-0.008384021209075719,0.0
0.0,0.3,4.8,4.0,13.868423494374237,13.985185434428539,-0.1167619400543014,-0.008384021209075719,0.0
0.0,0.4,4.8,4.0,13.868423494374237,13.985185434428539,-0.1167619400543014,-0.008384021209075719,0.0
0.0,0.6,4.8,4.0,13.868423494374237,13.985185434428539,-0.1167619400543014,-0.008384021209075719,0.0
0.0,0.8,4.8,4.0,13.868423494374237,13.985185434428539,-0.1167619400543014,-0.008384021209075719,0.0
0.25,0.2,4.8,4.0,13.86867109841711,13.985185434428539,-0.11651433601142891,-0.008366167569643474,0.0
0.25,0.3,4.8,4.0,13.889523458604891,13.985185434428539,-0.09566197582364744,-0.006863738147049875,0.0
0.25,0.4,4.8,4.0,13.968673804597666,13.985185434428539,-0.016511629830873176,-0.0011813489944246562,0.0
0.25,0.6,4.8,4.0,14.175205560757117,13.985185434428539,0.19002012632857834,0.013495765060409342,0.0
0.25,0.8,4.8,4.0,14.323401986705965,13.985185434428539,0.33821655227742653,0.023896116132551548,0.0
0.5,0.2,4.8,4.0,13.868918706880638,13.985185434428539,-0.11626672754790057,-0.00834831393021236,0.0
0.5,0.3,4.8,4.0,13.910655525149778,13.985185434428539,-0.0745299092787608,-0.005343455085032259,0.0
0.5,0.4,4.8,4.0,14.069648791616814,13.985185434428539,0.08446335718827491,0.006021323220224849,0.0
