D,eta,mu_full,mu_detlin_map,mu_detlin_path,chi2_full,chi2_detlin,acceptance_mismatch,width_full,width_detlin,c_uv22_full,c_uv22_detlin,delta_log_mu,delta_log_uv_ratio,delta_log_fin_ratio,delta_log_rge_ratio,delta_log_width_term,identity_residual,delta_log_uv_g_only,delta_log_uv_p_only,delta_log_uv_m2_only,dominant_component,abs_width_component,abs_uv_component,abs_fin_component,abs_rge_component
4.8,1.2449999999999999,11.555929252234794,79.81562418322801,79.8156241832292,644.6431186024897,38431.31322528282,0.0,93.55255608717974,14.651437347437852,0.001568800279956465,0.001657959810332629,1.7545582202428758,-0.05127195205737145,0.0,0.0015585959474005173,1.8539849324628181,-4.440892098500626e-16,-0.05062563949037813,0.0,-0.0006463125669933234,width,1.8539849324628181,0.1025439041147429,0.0,0.0031171918948010345
4.8,1.34,11.561080232777922,79.80928213735196,79.80928213735318,645.2971968559389,38425.09703309287,0.0,93.51608853315292,14.653407916008215,0.0015688434427182862,0.0016580054261610532,1.7540338484818334,-0.05127195205737145,0.0,0.0015585959474005173,1.8534605607017767,-1.3322676295501878e-15,-0.05062563949037813,0.0,-0.0006463125669933234,width,1.8534605607017767,0.1025439041147429,0.0,0.0031171918948010345
4.8,1.435,11.566231663138169,79.8029449614159,79.80294496141715,645.9516639287064,38418.88611639256,0.0,93.47964056178573,14.655376447881702,0.0015688865263820346,0.0016580509583960289,1.753509691194795,-0.05127195205737056,0.0,0.0015585959474005173,1.8529364034147382,-3.1086244689504383e-15,-0.05062563949037813,0.0,-0.0006463125669933234,width,1.8529364034147382,0.10254390411474112,0.0,0.0031171918948010345
4.8,1.53,11.571383541886435,79.79661265281725,79.79661265281848,646.6065197259892,38412.680471474145,0.0,93.44321216596771,14.65734294320588,0.0015689295309817973,0.00165809640707358,1.752985748361203,-0.05127195205737145,0.0,0.0015585959474005173,1.8524124605811463,-1.3322676295501878e-15,-0.05062563949037813,0.0,-0.0006463125669933234,width,1.8524124605811463,0.1025439041147429,0.0,0.0031171918948010345
4.8,1.625,11.576535867593762,79.7902852089525,79.79028520895373,647.2617641526393,38406.48009463072,0.0,93.40680333858275,14.659307402130265,0.0015689724565516865,0.001658141772229758,1.7524620199603982,-0.05127195205737145,0.0,0.0015585959474005173,1.851888732180341,-8.881784197001252e-16,-0.05062563949037813,0.0,-0.0006463125669933234,width,1.851888732180341,0.1025439041147429,0.0,0.0031171918948010345
4.8,1.72,11.581688638830398,79.78396262721795,79.78396262721917,647.9173971130499,38400.28498215686,0.0,93.3704140725121,14.661269824805661,0.0015690153031258096,0.0016581870539006077,1.7519385059716899,-0.05127195205737145,0.0,0.0015585959474005173,1.8513652181916322,-4.440892098500626e-16,-0.05062563949037813,0.0,-0.0006463125669933234,width,1.8513652181916322,0.1025439041147429,0.0,0.0031171918948010345
4.8,1.815,11.586841854166297,79.77764490500867,79.77764490500992,648.5734185112135,38394.09513034769,0.0,93.33404436063131,14.663230211384375,0.0015690580707382706,0.0016582322521221725,1.7514152063743125,-0.05127195205737145,0.0,0.0015585959474005173,1.8508419185942553,-8.881784197001252e-16,-0.05062563949037813,0.0,-0.0006463125669933234,width,1.8508419185942553,0.1025439041147429,0.0,0.0031171918948010345
4.8,1.91,11.59199551217099,79.77133203972002,79.77133203972126,649.22982825071,38387.91053550028,0.0,93.29769419581464,14.665188562020596,0.001569100759423203,0.0016582773669305253,1.7508921211474493,-0.05127195205737056,0.0,0.0015585959474005173,1.8503188333673921,-2.6645352591003757e-15,-0.05062563949037724,0.0,-0.0006463125669924352,width,1.8503188333673921,0.10254390411474112,0.0,0.0031171918948010345
4.8,2.005,11.59714961141356,79.76502402874665,79.76502402874787,649.8866262346982,38381.73119391274,0.0,93.26136357093296,14.667144876870013,0.0015691433692147452,0.0016583223983617445,1.7503692502702286,-0.05127195205737056,0.0,0.0015585959474005173,1.8497959624901714,-2.6645352591003757e-15,-0.05062563949037813,0.0,-0.0006463125669924352,width,1.8497959624901714,0.10254390411474112,0.0,0.0031171918948010345
4.8,2.1,11.602304150462675,79.75872086948267,79.75872086948391,650.5438123659245,38375.557101884355,0.0,93.22505247885306,14.669099156089912,0.0015691859001470418,0.0016583673464519158,1.7498465937217182,-0.05127195205737056,0.0,0.0015585959474005173,1.849273305941661,-2.6645352591003757e-15,-0.05062563949037813,0.0,-0.0006463125669924352,width,1.849273305941661,0.10254390411474112,0.0,0.0031171918948010345
4.8,2.1950000000000003,11.607459127886951,79.7524225593215,79.75242255932271,651.2013865467666,38369.38825571545,0.0,93.18876091243645,14.671051399839357,0.0015692283522542553,0.001658412211237142,1.7493241514808897,-0.05127195205737145,0.0,0.0015585959474005173,1.8487508637008334,-1.7763568394002505e-15,-0.05062563949037813,0.0,-0.0006463125669933234,width,1.8487508637008334,0.1025439041147429,0.0,0.0031171918948010345
