D_left,D_right,delta_D,N,lambda_left_fixed,lambda_right_fixed,lambda_displacement_fixed,overlap_signed,overlap_abs,actual_rank_one_projector_sin,rank_one_drift_pass,rayleigh_shift_mean_deltaU,rayleigh_mu,residual_rms_centered_deltaU,raw_davis_kahan_gap,raw_davis_kahan_bound,raw_davis_kahan_bound_clipped,raw_davis_kahan_pass_unclipped,t3a_endpoint_max_Pprime_bound,t3a_integrated_path_bound,t3a_path_bound_pass
12.8,13.6,0.7999999999999989,1,0.6768949660568173,0.6754435671933448,0.0014513988634725639,0.9995776842015613,0.9995776842015613,0.029059477735219448,True,-0.001363697193362706,0.6755312688634546,0.0486368419762773,0.03298985189091208,1.4742970698112043,1.0,False,0.0428927984315419,0.034314238745233476,True
12.8,13.6,0.7999999999999989,2,0.7074917299328825,0.7085211207543667,0.0010293908214842329,0.9997793670989571,0.9997793670989571,0.021005168964061446,True,0.0011171636188834803,0.7086088935517659,0.05837516042314856,0.03316532635842118,1.7601262171305674,1.0,False,0.0724496208710012,0.05795969669680088,True
12.8,13.6,0.7999999999999989,3,0.7427470505123537,0.7438634394717241,0.0011163889593703846,0.999586709541373,0.999586709541373,0.028747349586542893,True,0.0010695396793531336,0.7438165901917068,0.022813512989436277,0.03529546943734008,0.6463581120499623,0.6463581120499623,False,0.0559175963002863,0.044734077040228984,True
13.6,14.4,0.8000000000000007,1,0.6754435671933448,0.6739257176354359,0.0015178495579089013,0.9997000287273448,0.9997000287273448,0.024491887688498443,True,-0.0014470539563423113,0.6739965132370025,0.046201064760274316,0.035293018656002983,1.3090709301630108,1.0,False,0.0396650331179481,0.03173202649435851,True
13.6,14.4,0.8000000000000007,2,0.7085211207543667,0.7092895318930055,0.0007684111386387915,0.9997024990234104,0.9997024990234104,0.024390847593886746,True,0.0008719662740267984,0.7093930870283934,0.0606804151069017,0.03546736939295758,1.7108800608976213,1.0,False,0.0723949219288815,0.05791593754310525,True
13.6,14.4,0.8000000000000007,3,0.7438634394717241,0.7453114079316381,0.0014479684599140175,0.9997099309776754,0.9997099309776754,0.024084308265166703,True,0.0014216013159524337,0.7452850407876765,0.030822557804314827,0.03599550889467107,0.8562889857872779,0.8562889857872779,False,0.0593021585256666,0.047441726820533325,True
14.4,15.2,0.7999999999999989,1,0.6739257176354359,0.6723784454234032,0.0015472722120326576,0.9997972250845794,0.9997972250845794,0.02013724691150749,True,-0.0014909093163065978,0.6724348083191293,0.04361703073700202,0.037310324453792565,1.1690338096904003,1.0,False,0.0375335944596272,0.03002687556770172,True
14.4,15.2,0.7999999999999989,2,0.7092895318930055,0.7097451327729218,0.00045560087991636244,0.9996342869991405,0.9996342869991405,0.027042415863234304,True,0.0005725185668985417,0.709862050459904,0.062419850656888244,0.037123707921731475,1.6814012972111796,1.0,False,0.0723949219288815,0.057915937543105124,True
14.4,15.2,0.7999999999999989,3,0.7453114079316381,0.7469857583816355,0.0016743504499974193,0.9998038754442569,0.9998038754442569,0.01980430878988115,True,0.0016686019932690944,0.7469800099249072,0.038323132950085215,0.03723487715198537,1.029226786318048,1.0,False,0.0630300840289047,0.05042406722312369,True
15.2,16.0,0.8000000000000007,1,0.6723784454234032,0.6708317506049222,0.0015466948184810203,0.9998683715459675,0.9998683715459675,0.016224659688727463,True,-0.001501967115661293,0.6708764783077419,0.0409804686102579,0.038974327082816895,1.0514734102574275,1.0,False,0.0357519219706791,0.028601537576543306,True
