D,N,lambda_N,lambda_ref,lambda_abs_diff_vs_ref,hf_lambda_prime_diag,hf_abs_diag,weighted_rms_dD_U,weighted_std_dD_U,included_basis_coupling_power,tail_residual_coupling,tail_gap_floor_reserved_last_mode,nearest_gap_within_computed,max_offdiag_abs_A_mn,included_projector_derivative_bound,tail_projector_derivative_bound,total_projector_derivative_bound,n_eigs,reserved_tail_mode_index,fd_slope_ref_placeholder
8.0,2,0.7808718904158027,0.7808718904158005,2.220446049250313e-15,0.001937205274594646,0.001937205274594646,0.3551903864805248,0.35518510369089057,0.00010073826610838432,0.35504854933104035,8.601861102693995,0.07479321421512708,0.004480301052154051,0.01655037237944501,0.041275782658225395,0.057826155037670406,40,40,nan
8.0,3,0.890105588635145,0.8901055886351561,1.1102230246251565e-14,0.0014835830661600335,0.0014835830661600335,0.11322729459790395,0.11321757471014089,4.172009330793513e-05,0.11304291286344578,8.492627404474653,0.10923369821934226,0.004758116765838885,0.025954867263196128,0.01331071145354675,0.039265578716742876,40,40,nan
8.8,1,0.7014845758182582,0.7014845758182553,2.886579864025407e-15,-0.0032128654737406314,0.0032128654737406314,0.28778134336279504,0.28776340817265594,8.112015156726832e-05,0.28764036823110845,8.296372951728571,0.07182754923234502,0.004281196301271822,0.02453673505460895,0.03467061689544439,0.05920735195005333,40,40,nan
8.8,2,0.7733121250506032,0.773312125050611,7.771561172376096e-15,0.0014535487758272976,0.0014535487758272976,0.35766650623862495,0.35766355263138094,0.00010208063834778572,0.35752377409984437,8.224545402496226,0.07182754923234502,0.004793685056744485,0.01926729770437311,0.043470338675658915,0.06273763638003202,40,40,nan
8.8,3,0.8735285896544129,0.8735285896544218,8.881784197001252e-15,0.0020421355584800387,0.0020421355584800387,0.15314874187582772,0.15313512601787255,4.324168664807464e-05,0.1530075012916061,8.124328937892416,0.10021646460380973,0.00415116103294697,0.02431735892625712,0.01883324794715891,0.04315060687341603,40,40,nan
9.6,1,0.6971714776157556,0.6971714776158304,7.482903185973555e-14,-0.003150631788707968,0.003150631788707968,0.27131860502717314,0.27130031137693733,7.226625459595704e-05,0.2711853963237977,8.057090935467663,0.06887519525519625,0.00404012094225973,0.022705779122163518,0.03365797885314013,0.05636375797530365,40,40,nan
9.6,2,0.7660466728709519,0.7660466728709487,3.1086244689504383e-15,0.000993388641359639,0.000993388641359639,0.35713770271582274,0.3571363211438212,0.00010168200865562942,0.3569953174657614,7.988215740212467,0.06887519525519625,0.005024568700307483,0.021677716814998783,0.044690244865152606,0.06636796168015138,40,40,nan
9.6,3,0.8583549285020677,0.8583549285020315,3.6193270602780103e-14,0.0024101706392474077,0.0024101706392474077,0.18600062865595415,0.18598501267010698,4.604287430151069e-05,0.18587681669887893,7.895907484581351,0.09230825563111589,0.0035678851263236198,0.022516491064858295,0.023540906103807307,0.0460573971686656,40,40,nan
10.4,1,0.6931953315764114,0.6931953315764028,8.659739592076221e-15,-0.003060167368660312,0.003060167368660312,0.2555048038277062,0.25548647744002106,6.44647099886901e-05,0.2553786210101502,7.8127455685456475,0.06614438465942274,0.0036184154983322815,0.020725443270696108,0.03268743603251491,0.053412879303211015,40,40,nan
10.4,2,0.7593397162358342,0.7593397162358391,4.884981308350689e-15,0.0005573828921775646,0.0005573828921775646,0.3545684099571744,0.3545679718528881,0.00010014486897208231,0.354427161022666,7.746601183886225,0.06614438465942274,0.0051122198230196415,0.02374258697448412,0.0457526020262813,0.06949518900076543,40,40,nan
