D,mode,E_ritz,omega_ritz,S_adapter,r_eta1,n_turning,status,z_left,z_right,component_width,U_center_minus_E,source_spectral_suspicious
12.75,2,1.071592926979065,1.4393029309283938,3.1961312999540112,0.0016744632716217311,8,NEAREST_FORBIDDEN_ISLAND,3.424891630543513,6.220156718906299,2.795265088362786,-0.3461449520765437,False
13.0,0,0.8027675151824951,1.3426717823736727,4.058071340420589,0.000298678539743787,8,NEAREST_FORBIDDEN_ISLAND,-6.337112370790264,-2.093697899299766,4.243414471490498,-0.09310857626440971,False
13.0,1,0.8033626079559326,1.3428933717745175,4.055318190893587,0.00030032768929317427,8,NEAREST_FORBIDDEN_ISLAND,-6.337112370790264,-2.093697899299766,4.243414471490498,-0.09370366903784721,False
13.0,2,1.0792076587677002,1.4419457891223582,3.1536544889004747,0.0018229321956595207,8,NEAREST_FORBIDDEN_ISLAND,-6.337112370790264,-3.5921973991330454,2.7449149716572183,-0.3695487198496148,False
13.25,0,0.806023359298706,1.3438836851821314,4.013517491591025,0.00032651489725031243,8,NEAREST_FORBIDDEN_ISLAND,2.331193731243747,6.469239746582193,4.138046015338446,-0.11149004847958255,False
13.25,1,0.8068002462387085,1.34417269955862,4.010097291027861,0.00032875604656255495,8,NEAREST_FORBIDDEN_ISLAND,2.331193731243747,6.469239746582193,4.138046015338446,-0.11226693541958499,False
13.25,2,1.087616205215454,1.4448585415934163,3.1246348020275154,0.0019318646471537828,8,NEAREST_FORBIDDEN_ISLAND,3.776675558519507,6.469239746582193,2.6925641880626863,-0.3930828943963306,False
13.5,0,0.8094791769981384,1.3451688284368393,3.9588206624129776,0.00036426048620288745,8,NEAREST_FORBIDDEN_ISLAND,-6.588362787595864,-2.5593531177059,4.029009669889964,-0.12944859872098247,False
13.5,1,0.810453474521637,1.3455309266314308,3.954786590214291,0.0003672112801127065,8,NEAREST_FORBIDDEN_ISLAND,-6.588362787595864,-2.5593531177059,4.029009669889964,-0.130422896244481,False
13.5,2,1.0966585874557495,1.4479843187879313,3.084363453788059,0.0020939000326436617,8,NEAREST_FORBIDDEN_ISLAND,-6.588362787595864,-3.9501500500166706,2.6382127375791935,-0.41662800917859355,False
13.75,0,0.8131079077720642,1.3465169541346533,3.921012680922709,0.00039287252528861084,8,NEAREST_FORBIDDEN_ISLAND,2.7631710570190045,6.722990996998998,3.959819939979994,-0.146994473783858,False
13.75,1,0.81437748670578,1.3469883023641223,3.916614030792548,0.00039634399022856766,8,NEAREST_FORBIDDEN_ISLAND,2.7776758919639875,6.722990996998998,3.945315105035011,-0.1482640527175738,False
13.75,2,1.1049201488494873,1.4508342940699628,3.046838068699697,0.00225709624898995,8,NEAREST_FORBIDDEN_ISLAND,4.112120706902299,6.708486162054019,2.5963654551517195,-0.4388067148612811,False
14.0,0,0.8168712854385376,1.3479136787786292,3.8774641796970215,0.0004286249090402754,8,NEAREST_FORBIDDEN_ISLAND,-6.844281427142381,-2.9709903301100375,3.873291097032343,-0.16412381837493129,False
14.0,1,0.8185067176818848,1.348520195503903,3.8707535523437424,0.0004344163705234853,8,NEAREST_FORBIDDEN_ISLAND,-6.844281427142381,-2.985661887295766,3.8586195398466145,-0.16575925061827845,False
14.0,2,1.1093039512634277,1.452344295015279,3.0359113747947815,0.0023069643575889436,8,NEAREST_FORBIDDEN_ISLAND,-6.844281427142381,-4.2620873624541495,2.582194064688231,-0.4565564841998214,False
14.25,0,0.8207600116729736,1.3493554059894575,3.8350252138679615,0.00046659429381599223,8,NEAREST_FORBIDDEN_ISLAND,-6.966572190730243,-3.167972657552518,3.7985995331777254,-0.1808591224727677,False
14.25,1,0.822648286819458,1.3500549199271332,3.827588865967572,0.00047358567024553344,8,NEAREST_FORBIDDEN_ISLAND,-6.966572190730243,-3.182810936978992,3.7837612537512513,-0.18274739761925207,False
14.25,2,1.1067394018173218,1.4514611265264123,3.026425580661905,0.0023511489361013878,8,NEAREST_FORBIDDEN_ISLAND,4.399549849949981,6.966572190730243,2.5670223407802624,-0.46683851261711584,False
14.5,0,0.8247621059417725,1.3508375571998923,3.7950668024806213,0.0005054135236988662,8,NEAREST_FORBIDDEN_ISLAND,-7.0898632877625865,-3.368622874291429,3.7212404134711576,-0.1972178147779371,False
14.5,1,0.8266510367393494,1.3515365465792442,3.787794367063583,0.0005128184191994668,8,NEAREST_FORBIDDEN_ISLAND,-7.0898632877625865,-3.383627875958652,3.7062354118039345,-0.199106745575514,False
14.5,2,1.0970264673233032,1.4481113449328762,3.034365843012559,0.0023141063635697644,8,NEAREST_FORBIDDEN_ISLAND,-7.0898632877625865,-4.509003001000334,2.5808602867622525,-0.46948217615946786,False
